Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
2023,548077,Ryan Smith,LB,Duke,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,Coastal,2.2,11,2,9,0,10,1,9,0,5,1,4,0,6,1,5,0,237,11,23,20,11,11,0,36,19,0,704,35,2441,390,219,9,11,62,554,18806,1,212,18,438,19,1724,31,67,65,168,4165,39,,No
2023,3121655,Justus Reed,DL,Virginia Tech,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,7.0,,6.5,17.0,,0.0,9.0,29.0,,,,,,,,Coastal,6.8,11,5,6,0,10,5,5,0,6,3,3,0,5,2,3,0,246,7,12,8,5,11,0,140,6,0,546,23,2212,253,157,12,13,58,514,19894,0,66,17,472,27,2648,36,75,51,133,4860,14,,No
2023,3858274,Luc Bequette,DL,Boston College,Big Ten,,,,,,,,,,,,,,,0.0,,,,0.0,,,1.0,,0.0,1.0,1.0,7.0,,0.0,3.0,18.0,,,,,,,,Atlantic,4.3,11,6,5,0,10,5,5,0,6,4,2,0,5,2,3,0,239,9,14,6,12,11,0,148,8,0,406,23,3126,390,242,9,23,85,740,20116,0,55,12,361,11,1119,24,52,65,147,4245,14,3.0,Yes
2023,3895797,Tre Tipton,WR,Pittsburgh,Big Ten,0.0186,0.0343,0.0,0.0202,0.011,0.029,0.0,0.029,,,,,,,,,,20.0,,,,0.0,,0.0,11.0,0.0,1.0,,0.0,0.0,1.0,,,104.0,,,,9.5,Coastal,6.1,11,6,5,0,10,5,5,0,6,4,2,0,5,2,3,0,226,9,18,4,5,11,1,150,12,0,370,17,2857,426,246,14,14,86,753,20552,1,179,19,388,20,1343,45,110,63,173,4200,16,,No
2023,3914537,Miles Fox,DL,Wake Forest,Big Ten,,,,,,,,,,,,,,,0.0,,,,0.0,,,1.0,,1.0,1.0,3.5,17.0,,0.0,11.0,24.0,,,,,,,,Atlantic,4.7,9,4,5,0,7,3,4,0,4,3,1,0,4,1,3,0,212,10,21,2,4,9,3,132,5,1,352,15,2533,310,175,13,14,48,401,14795,0,96,10,378,22,1491,16,68,56,139,4024,7,,No
2023,3914628,Jarrid Williams,OL,Miami,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,Coastal,6.8,11,8,3,0,9,7,2,0,5,4,1,0,5,4,1,0,250,13,19,6,9,11,0,11,6,0,452,22,3050,381,239,7,26,86,794,17950,0,52,15,419,18,1800,31,93,65,162,4850,12,,No
2023,3915771,Ean Pfeifer,TE,Louisville,Big Ten,0.0124,0.0267,0.0,0.0181,0.009,0.007,0.007,0.008,,,,,,,,,,28.0,,,,,,,6.0,,,,2.0,,,,,96.0,,,,16.0,Atlantic,5.5,11,4,7,0,10,3,7,0,6,4,2,0,5,0,5,0,229,13,24,12,7,11,0,54,12,0,661,33,2686,315,202,5,20,69,577,20775,0,22,7,420,21,2199,21,62,64,143,4885,24,,No
2023,3916437,Tyrone Riley,OT,NC State,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,Atlantic,6.2,12,8,4,0,10,7,3,0,6,5,1,0,5,3,2,0,267,8,12,4,3,12,1,67,15,1,526,23,3143,400,251,9,24,97,891,21565,1,130,12,434,20,1480,33,91,71,161,4623,19,,No
2023,3917818,David Curry,LB,Georgia Tech,Big Ten,,,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,1.0,1.0,1.5,41.0,,0.0,9.0,84.0,,,,,,,,Coastal,4.2,10,3,7,0,9,3,6,0,6,2,4,0,4,1,3,0,199,9,25,12,12,10,0,77,13,0,403,21,1991,283,152,6,14,89,749,16221,0,65,16,407,18,1904,21,62,60,146,3895,25,,No
2023,3917820,Meiko Dotson,DB,Florida State,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,6.0,,0.0,0.0,9.0,,,,,,,,Atlantic,3.2,9,3,6,0,8,2,6,0,5,3,2,0,4,0,4,0,185,15,28,4,6,9,1,124,13,0,604,29,1770,293,160,8,10,80,713,16466,0,65,8,351,19,1789,10,49,47,132,3559,17,,No
