,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4576297,A.J. Barner,TE,Indiana,Big10,0.0515,0.0882,0.0,0.0545,0.045,0.063,0.034,0.059,,,,,,,,,,43.0,,,,0.0,,0.0,27.0,0.0,0.0,,3.0,0.0,1.0,,,193.0,,,,7.1,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
1,2022,4682760,Aaron Steinfeldt,TE,Indiana,Big10,0.0092,0.0157,0.0,0.0109,0.007,0.01,0.005,0.01,,,,,,,,,,17.0,,,,,,,6.0,,,,1.0,,,,,52.0,,,,8.7,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
2,2022,4875209,Andison Coby,WR,Indiana,Big10,0.0401,0.0667,0.0028,0.0436,0.024,0.063,0.029,0.042,,,,,,,1.0,,,49.0,1.0,,,0.0,,0.0,18.0,0.0,1.0,,1.0,0.0,1.0,,,237.0,,,,13.2,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
3,2022,4899046,Brendan Sorsby,QB,Indiana,Big10,0.0092,0.0157,0.0,0.0054,0.01,0.016,0.015,0.01,6.0,,2.0,3.0,,,,1.0,,0.0,,,0.5,,,,,,,,0.0,,,,,0.0,1.3,-4.0,,,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
4,2022,5081322,Cam Camper,WR,Indiana,Big10,0.0848,0.1451,0.0,0.0872,0.076,0.104,0.063,0.098,,,,,,,1.0,,,40.0,1.0,,,,,,46.0,,,,2.0,,,,,569.0,,,,12.4,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
5,2022,4426444,Connor Bazelak,QB,Indiana,Big10,0.5292,0.8588,0.0672,0.5395,0.49,0.578,0.383,0.611,425.0,,47.0,234.0,,,4.0,10.0,,35.0,2.0,,0.551,,,,1.0,,,,14.0,,,,,2175.0,5.4,-3.4,,23.0,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,4.0,Yes
6,2022,4240034,D.J. Matthews,WR,Indiana,Big10,0.0504,0.0784,0.0112,0.0463,0.066,0.036,0.068,0.046,,16.0,4.0,,,,1.0,,,79.0,0.0,7.0,,0.0,,0.0,23.0,0.0,0.0,,2.0,0.0,1.0,,,255.0,,0.0,,9.7,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
7,2022,4565355,Dexter Williams II,QB,Indiana,Big10,0.0882,0.0882,0.0896,0.0845,0.073,0.12,0.087,0.092,38.0,,40.0,13.0,,,,2.0,,34.0,,,0.342,0.0,,0.0,,0.0,1.0,,3.0,0.0,1.0,,,349.0,4.8,4.1,,,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
8,2022,4596347,Donaven McCulley,WR,Indiana,Big10,0.0435,0.0667,0.0112,0.0463,0.035,0.047,0.034,0.049,1.0,,4.0,1.0,,,,0.0,,52.0,,,1.0,0.0,,0.0,16.0,0.0,0.0,,2.0,0.0,1.0,,,197.0,23.0,1.3,,10.6,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
9,2022,4428490,Emery Simmons,WR,Indiana,Big10,0.071,0.1176,0.0056,0.049,0.063,0.115,0.063,0.101,,,2.0,,,,,,,84.0,,,,0.0,,0.0,37.0,0.0,1.0,,1.0,0.0,1.0,,,462.0,,27.0,,11.0,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,3.0,Yes
10,2022,4361025,Jack Tuttle,QB,Indiana,Big10,0.0252,0.0314,0.0168,0.0191,0.028,0.036,0.024,0.033,12.0,,10.0,9.0,,,,0.0,,15.0,,,0.75,,,,,,,,1.0,,,,,90.0,6.8,0.8,,,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,3.0,Yes
11,2022,4565878,James Bomba,TE,Indiana,Big10,0.0069,0.0118,0.0,0.0109,0.007,0.0,0.005,0.003,,,,,,,,,,8.0,,,,,,,5.0,,,,0.0,,,,,22.0,,,,4.4,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,,No
12,2022,4431425,Javon Swinton,WR,Indiana,Big10,0.0241,0.0412,0.0,0.0327,0.021,0.016,0.01,0.023,,,,,,,,,,41.0,,,,0.0,,0.0,12.0,0.0,1.0,,0.0,0.0,1.0,,,128.0,,,,10.7,,,,,,,,,,,,84,East,1.7,12,4,8,0,9,2,7,0,7,3,4,0,5,1,4,0,230,9,23,5,7,12,0,10,13,2,721,31,2609,482,260,7,16,60,547,18459,0,45,14,396,15,1330,20,63,65,192,3939,18,3.0,Yes
