,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2020,4565193,Aidan Bitter,WR,Iowa State,Big12,0.0012,0.0026,0.0,0.0,0.004,0.0,0.0,0.004,,,,,,,,,,38.0,,,,,,,1.0,,,,0.0,,,,,38.0,,,,38.0,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
1,2020,4427366,Breece Hall,RB,Iowa State,Big12,0.3721,0.0727,0.6341,0.4553,0.358,0.199,0.448,0.169,,,279.0,,,,2.0,,,103.0,1.0,,,,,,23.0,,,,23.0,,,,,1753.0,,5.6,,7.8,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
2,2020,4361741,Brock Purdy,QB,Iowa State,Big12,0.5442,0.9766,0.1659,0.4342,0.571,0.758,0.461,0.8,364.0,,87.0,243.0,,,3.0,9.0,,29.0,2.0,,0.668,0.0,,0.0,0.0,0.0,1.0,,24.0,0.0,1.0,,,3132.0,7.6,4.4,,,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
3,2020,4241263,Charlie Kolar,TE,Iowa State,Big12,0.08,0.1714,0.0,0.0605,0.067,0.155,0.052,0.138,,,,,,,,,,44.0,,,,,,,44.0,,,,7.0,,,,,591.0,,,,13.4,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
4,2020,4035526,Chase Allen,TE,Iowa State,Big12,0.0339,0.0727,0.0,0.0289,0.022,0.056,0.026,0.049,,,,,,,,,,31.0,,,,,,,19.0,,,,2.0,,,,,236.0,,,,12.4,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
5,2020,4686424,Daniel Jackson,WR,Iowa State,Big12,0.0073,0.0156,0.0,0.0158,0.0,0.0,0.0,0.0,,,,,,,,,,10.0,,,,0.0,,0.0,5.0,0.0,1.0,,0.0,0.0,1.0,,,28.0,,,,5.6,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
6,2020,4569031,Darren Wilson,WR,Iowa State,Big12,0.0024,0.0052,0.0,0.0,0.007,0.0,0.004,0.004,,,,,,,,,,17.0,,,,,,,2.0,,,,1.0,,,,,27.0,,,,13.5,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
7,2020,4035559,Dylan Soehner,TE,Iowa State,Big12,0.0267,0.0571,0.0,0.0316,0.034,0.006,0.022,0.022,1.0,,,1.0,,,1.0,0.0,,26.0,1.0,,1.0,0.0,,0.0,18.0,0.0,1.0,,0.0,0.0,1.0,,,233.0,28.0,,,11.4,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
8,2020,4427052,Easton Dean,TE,Iowa State,Big12,0.0012,0.0026,0.0,0.0026,0.0,0.0,0.0,0.0,,,,,,,,,,25.0,,,,,,,1.0,,,,0.0,,,,,25.0,,,,25.0,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
9,2020,4565358,Hunter Dekkers,QB,Iowa State,Big12,0.0121,0.0208,0.0045,0.0132,0.011,0.012,0.004,0.018,7.0,,3.0,5.0,,,,0.0,,12.0,,,0.714,,,,,,,,2.0,,,,,130.0,16.9,4.0,,,66,,8.7,12,9,3,0,10,8,2,0,6,5,1,0,4,3,1,0,273,11,16,5,8,12,0,14,9,0,561,21,2896,372,249,9,20,62,512,23784,0,59,11,454,31,2343,28,81,73,161,5239,14,,No
