,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2020,4384187,Aaron Allen,QB,Louisiana Tech,CUSA,0.1971,0.3273,0.0381,0.1833,0.171,0.266,0.111,0.289,121.0,,17.0,73.0,,,2.0,8.0,,16.0,1.0,,0.603,,,,0.0,,,,4.0,,,,,592.0,5.0,-0.6,,,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
1,2020,4052236,Adrian Hardy,WR,Louisiana Tech,CUSA,0.0843,0.1532,0.0,0.0733,0.092,0.104,0.095,0.092,1.0,,,0.0,,,,0.0,,32.0,,,0.0,0.0,,0.0,33.0,0.0,1.0,,4.0,0.0,1.0,,,440.0,0.0,,,13.3,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
2,2020,4052238,Cee Jay Powell,WR,Louisiana Tech,CUSA,0.0714,0.1299,0.0,0.09,0.075,0.039,0.079,0.037,1.0,12.7,,0.0,,,1.0,0.0,,45.0,1.0,3.0,0.0,0.0,,0.0,37.0,0.0,3.0,,0.0,0.0,4.0,,,309.0,0.0,,,7.3,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,2.0,Yes
3,2020,4690939,Greg Garner,RB,Louisiana Tech,CUSA,0.0529,0.0104,0.1048,0.0533,0.057,0.045,0.084,0.032,,,33.0,,,,,,,38.0,,,,0.0,,0.0,3.0,0.0,2.0,,2.0,0.0,2.0,,,131.0,,3.5,,5.3,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
4,2020,4239691,Griffin Hebert,TE,Louisiana Tech,CUSA,0.0343,0.0623,0.0,0.0367,0.026,0.039,0.021,0.041,,,,,,,,,,50.0,,,,0.0,,0.0,19.0,0.0,1.0,,3.0,0.0,1.0,,,275.0,,,,14.5,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
5,2020,4431066,Harlan Dixon,RB,Louisiana Tech,CUSA,0.0171,0.0078,0.0286,0.0133,0.022,0.013,0.016,0.023,,,9.0,,,,,,,17.0,,,,0.0,,0.0,3.0,0.0,1.0,,0.0,0.0,2.0,,,43.0,,3.0,,5.3,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
6,2020,4038532,Isaiah Graham,WR,Louisiana Tech,CUSA,0.06,0.1091,0.0,0.0467,0.066,0.078,0.053,0.083,,13.9,,,,,,,,57.0,,8.0,,,,,20.0,,,,3.0,,,,,336.0,,,,11.3,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
7,2020,4040434,Israel Tucker,RB,Louisiana Tech,CUSA,0.2343,0.0416,0.4698,0.2567,0.237,0.188,0.295,0.156,,,148.0,,,,,,,48.0,,,,0.0,,0.0,10.0,0.0,1.0,,4.0,0.0,1.0,,,707.0,,4.4,,5.9,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
8,2020,4384204,Jacob Adams,FB,Louisiana Tech,CUSA,0.0057,0.0104,0.0,0.0033,0.004,0.006,0.011,0.005,,,,,,,,,,13.0,,,,0.0,,0.0,4.0,0.0,0.0,,1.0,0.0,2.0,,,16.0,,,,4.0,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
9,2020,4577726,Jawaun Johnson,WR,Louisiana Tech,CUSA,0.0229,0.039,0.0032,0.0233,0.026,0.019,0.011,0.032,,25.0,1.0,,,,,,,72.0,,1.0,,0.0,,0.0,14.0,0.0,1.0,,2.0,0.0,2.0,,,193.0,,6.0,,11.6,2348,West,2.8,10,5,5,0,6,4,2,0,4,3,1,0,5,2,3,0,198,16,18,2,5,10,1,207,14,0,854,43,2166,359,221,9,21,50,456,18162,0,177,9,342,10,992,17,52,60,154,3158,16,,No
