,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4567114,A.J. Gates,RB,UAB,CUSA,0.0147,0.0,0.0243,0.0205,0.008,0.014,0.006,0.013,,,11.0,,,,,,,6.0,,,,,,,,,,,0.0,,,,,13.0,,1.2,,,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
1,2022,4709651,Brody Dalton,TE,UAB,CUSA,0.0027,0.0069,0.0,0.0029,0.004,0.0,0.0,0.004,,,,,,,,,,32.0,,,,,,,4.0,,,,0.0,,,,,63.0,,,,15.8,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,3.0,Yes
2,2022,4880644,Bryce Damous,TE,UAB,CUSA,0.0187,0.0481,0.0,0.0146,0.017,0.034,0.0,0.038,,,,,,,,,,33.0,,,,,,,14.0,,,,1.0,,,,,163.0,,,,11.6,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
3,2022,5082370,Dallas Payne,TE,UAB,CUSA,0.004,0.0103,0.0,0.0029,0.008,0.0,0.006,0.004,,,,,,,,,,13.0,,,,,,,3.0,,,,0.0,,,,,20.0,,,,6.7,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
4,2022,4430388,DeWayne McBride,RB,UAB,CUSA,0.2634,0.0103,0.4292,0.3246,0.242,0.151,0.354,0.113,,,233.0,,,,5.0,,,74.0,4.0,,,,,,2.0,,,,19.0,,,,,1720.0,,7.3,,5.0,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
5,2022,4365433,Dexter Boykin,WR,UAB,CUSA,0.016,0.0412,0.0,0.0088,0.025,0.021,0.006,0.034,,,,,,,,,,15.0,,,,,,,13.0,,,,0.0,,,,,117.0,,,,9.0,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
6,2022,4363410,Dylan Hopkins,QB,UAB,CUSA,0.3436,0.7629,0.0774,0.2602,0.377,0.479,0.242,0.529,215.0,,48.0,136.0,,,4.0,4.0,,61.0,2.0,,0.633,,,,0.0,,,,12.0,,,,,2036.0,8.9,2.4,,,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,3.0,Yes
7,2022,4714290,Fred Farrier II,WR,UAB,CUSA,0.016,0.0412,0.0,0.0088,0.017,0.034,0.011,0.029,,0.0,,,,,,,,27.0,,1.0,,,,,11.0,,,,1.0,,,,,130.0,,,,11.8,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
8,2022,4912286,Iverson Hooks,WR,UAB,CUSA,0.0013,0.0034,0.0,0.0,0.004,0.0,0.0,0.004,,,,,,,,,,13.0,,,,,,,1.0,,,,0.0,,,,,13.0,,,,13.0,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,3.0,Yes
9,2022,4426417,Jacob Zeno,QB,UAB,CUSA,0.115,0.2337,0.0398,0.0994,0.106,0.158,0.073,0.164,102.0,,31.0,58.0,,,3.0,3.0,,23.0,0.0,,0.569,,,,0.0,,,,6.0,,,,,809.0,7.1,2.8,,,,,,,,,,,,,,5,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0,276,13,27,11,9,13,1,200,7,0,556,26,2641,321,194,10,15,91,787,24904,2,126,15,528,32,3056,25,61,74,165,5697,18,,No
