,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4879981,AJ Williams,TE,Army,Ind,0.0027,0.0,0.0032,0.0033,0.004,0.0,0.0,0.005,,,2.0,,,,,,,26.0,,,,,,,,,,,0.0,,,,,33.0,,16.5,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
1,2022,4689809,Ay'Juan Marshall,WR,Army,Ind,0.0457,0.0796,0.0399,0.0489,0.045,0.049,0.024,0.068,,,25.0,,,,,,,105.0,,,,,,,6.0,,,,3.0,,,,,467.0,,10.4,,34.7,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
2,2022,4577316,Braheam Murphy,RB,Army,Ind,0.0497,0.115,0.0383,0.0489,0.049,0.056,0.031,0.073,,16.5,25.0,,,,1.0,,,197.0,0.0,6.0,,0.0,,0.0,6.0,0.0,1.0,,3.0,0.0,1.0,,,490.0,,9.0,,27.5,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
3,2022,4879928,Bryson Daily,QB,Army,Ind,0.0175,0.0177,0.0175,0.0228,0.016,0.012,0.008,0.021,1.0,,12.0,0.0,,,1.0,0.0,,64.0,0.0,,0.0,,,,0.0,,,,2.0,,,,,163.0,0.0,13.6,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
4,2022,4577303,Cade Ballard,QB,Army,Ind,0.1156,0.3894,0.067,0.0814,0.107,0.185,0.079,0.215,46.0,,49.0,20.0,,,,2.0,,21.0,,,0.435,,,,,,,,3.0,,,,,559.0,7.9,4.0,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
5,2022,4577325,Cole Caterbone,WR,Army,Ind,0.0013,0.0088,0.0,0.0033,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,,,,,,,1.0,,,,0.0,,,,,7.0,,,,7.0,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
6,2022,5082144,Hayden Reed,RB,Army,Ind,0.0484,0.0,0.0574,0.0586,0.033,0.056,0.059,0.026,,,37.0,,,,,,,45.0,,,,,,,,,,,2.0,,,,,188.0,,5.1,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
7,2022,4689855,Isaiah Alston,WR,Army,Ind,0.0282,0.1858,0.0,0.0293,0.02,0.043,0.012,0.047,,,,,,,,,,67.0,,,,,,,16.0,,,,1.0,,,,,285.0,,,,17.8,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
8,2022,4577324,Jakobi Buchanan,RB,Army,Ind,0.1022,0.0,0.1212,0.1107,0.078,0.105,0.13,0.052,,,80.0,,,,2.0,,,55.0,2.0,,,,,,0.0,,,,6.0,,,,,332.0,,4.2,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
9,2022,4879929,Jarel Dickson,RB,Army,Ind,0.0148,0.0,0.0175,0.0065,0.02,0.019,0.02,0.021,,,11.0,,,,,,,7.0,,,,,,,,,,,0.0,,,,,40.0,,3.6,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
10,2022,4577305,Jemel Jones,QB,Army,Ind,0.1384,0.3363,0.1037,0.1205,0.152,0.154,0.13,0.178,35.0,,72.0,12.0,,,2.0,1.0,,75.0,1.0,,0.343,,,,0.0,,,,8.0,,,,,564.0,6.8,4.5,,,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
11,2022,4689828,Joshua Lingenfelter,TE,Army,Ind,0.004,0.0265,0.0,0.0033,0.008,0.0,0.0,0.01,,,,,,,,,,44.0,,,,,,,3.0,,,,0.0,,,,,105.0,,,,35.0,,,,,,,,,,,,349,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0,211,16,30,8,10,12,0,74,4,0,211,13,924,104,42,10,5,58,465,22773,3,167,15,645,38,3467,18,45,70,159,4391,12,,No
