,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2020,4363148,AJ Mayer,QB,Miami (OH),MAC,0.2342,0.463,0.0175,0.2128,0.182,0.345,0.048,0.349,49.0,,7.0,23.0,,,1.0,1.0,,13.0,0.0,,0.469,,,,0.0,,,,4.0,,,,,329.0,6.7,0.1,,,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
1,2020,4244326,Adam Mehelic,TE,Miami (OH),MAC,0.009,0.0185,0.0,0.0,0.0,0.034,0.0,0.023,,,,,,,,,,10.0,,,,,,,2.0,,,,0.0,,,,,19.0,,,,9.5,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
2,2020,4569252,Austin Robinson,WR,Miami (OH),MAC,0.018,0.037,0.0,0.0426,0.0,0.0,0.0,0.0,,,,,,,,,,29.0,,,,,,,1.0,,,,0.0,,,,,29.0,,,,29.0,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
3,2020,4576189,Aveon Smith,QB,Miami (OH),MAC,0.036,0.0185,0.0526,0.0426,0.0,0.069,0.048,0.023,1.0,,3.0,1.0,,,,0.0,,14.0,,,1.0,,,,,,,,0.0,,,,,31.0,3.0,9.3,,,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
4,2020,4427243,Brett Gabbert,QB,Miami (OH),MAC,0.2793,0.5185,0.0526,0.3191,0.121,0.414,0.19,0.279,35.0,,7.0,23.0,,,,0.0,,23.0,,,0.657,,,,,,,,4.0,,,,,442.0,11.0,8.3,,,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
5,2020,4244308,Davion Johnson,RB,Miami (OH),MAC,0.0541,0.0185,0.0877,0.0638,0.091,0.0,0.048,0.047,,,16.0,,,,,,,46.0,,,,,,,3.0,,,,0.0,,,,,104.0,,4.3,,12.0,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
6,2020,4426952,Jack Coldiron,TE,Miami (OH),MAC,0.036,0.0741,0.0,0.0,0.061,0.069,0.048,0.07,,,,,,,,,,22.0,,,,0.0,,0.0,6.0,0.0,1.0,,2.0,0.0,1.0,,,70.0,,,,11.7,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
7,2020,4038966,Jack Sorenson,WR,Miami (OH),MAC,0.1171,0.2407,0.0,0.1489,0.061,0.138,0.095,0.093,,,,,,,,,,61.0,,,,,,,18.0,,,,4.0,,,,,354.0,,,,19.7,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
8,2020,4244306,Jalen Walker,WR,Miami (OH),MAC,0.027,0.0556,0.0,0.0638,0.0,0.0,0.0,0.0,,24.5,,,,,,,,74.0,,7.0,,,,,3.0,,,,2.0,,,,,128.0,,,,16.3,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
9,2020,4431432,Kenny Tracy,RB,Miami (OH),MAC,0.0811,0.0185,0.1404,0.0851,0.121,0.0,0.238,0.0,,,8.0,,,,1.0,,,35.0,0.0,,,,,,1.0,,,,0.0,,,,,44.0,,5.1,,3.0,193,East,1.0,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,0,56.0,2.0,3.0,1.0,1.0,3.0,1.0,80.0,1.0,0.0,50.0,3.0,715.0,85.0,47.0,2.0,8.0,18.0,182.0,5171.0,0.0,50.0,5.0,100.0,2.0,381.0,13.0,20.0,17.0,42.0,1096.0,2.0,,No
