,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4372579,A.J. Abbott,WR,Western Michigan,MAC,0.0122,0.0265,0.0,0.0099,0.008,0.018,0.013,0.014,,,,,,,,,,31.0,,,,0.0,,0.0,5.0,0.0,1.0,,1.0,0.0,1.0,,,61.0,,,,12.2,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
1,2022,4565361,Anthony Sambucci,WR,Western Michigan,MAC,0.0448,0.0973,0.0,0.0397,0.046,0.047,0.039,0.052,1.0,5.0,,1.0,,,,0.0,,55.0,,3.0,1.0,0.0,,0.0,20.0,0.0,4.0,,2.0,0.0,5.0,,,322.0,31.0,,,13.8,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
2,2022,4880449,Blake Bosma,TE,Western Michigan,MAC,0.0312,0.0678,0.0,0.0199,0.038,0.047,0.033,0.042,,,,,,,,,,38.0,,,,,,,20.0,,,,1.0,,,,,145.0,,,,7.3,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
3,2022,4429479,Corey Crooms,WR,Western Michigan,MAC,0.1208,0.2596,0.0026,0.1225,0.118,0.123,0.099,0.128,,,2.0,,,,0.0,,,75.0,0.0,,,0.0,,0.0,59.0,0.0,2.0,,5.0,0.0,2.0,,,809.0,,-2.5,,14.3,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,3.0,Yes
4,2022,4430699,Jack Salopek,QB,Western Michigan,MAC,0.3582,0.6755,0.0911,0.3113,0.345,0.456,0.289,0.439,212.0,,58.0,104.0,,,4.0,11.0,,61.0,2.0,,0.491,,,,0.0,,,,8.0,,,,,1337.0,6.1,0.9,,,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
5,2022,5085006,Jalen Buckley,RB,Western Michigan,MAC,0.0109,0.0,0.0208,0.0166,0.008,0.006,0.0,0.01,,,9.0,,,,,,,11.0,,,,,,,,,,,0.0,,,,,27.0,,3.0,,,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
6,2022,4360225,Jehlani Galloway,WR,Western Michigan,MAC,0.0611,0.1327,0.0,0.0464,0.076,0.07,0.053,0.08,,,,,,,,,,34.0,,,,,,,28.0,,,,0.0,,,,,344.0,,,,12.3,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
7,2022,4250162,Josh Burgett,TE,Western Michigan,MAC,0.0054,0.0118,0.0,0.0033,0.013,0.0,0.013,0.007,,0.0,,,,,,,,21.0,,1.0,,,,,4.0,,,,1.0,,,,,48.0,,,,12.0,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
8,2022,4432367,Kaevion Mack,WR,Western Michigan,MAC,0.0027,0.0059,0.0,0.0033,0.004,0.0,0.007,0.0,,,,,,,,,,12.0,,,,,,,2.0,,,,0.0,,,,,21.0,,,,10.5,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
9,2022,4382468,La'Darius Jefferson,RB,Western Michigan,MAC,0.095,0.0324,0.1536,0.1258,0.101,0.035,0.125,0.055,,,56.0,,,,,,,42.0,,,,,,,5.0,,,,5.0,,,,,290.0,,4.2,,11.0,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
10,2022,4710744,Malique Dieudonne,WR,Western Michigan,MAC,0.0136,0.0295,0.0,0.0199,0.004,0.018,0.007,0.01,,,,,,,,,,28.0,,,,0.0,,0.0,5.0,0.0,1.0,,0.0,0.0,1.0,,,63.0,,,,12.6,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
11,2022,4683561,Mareyohn Hrabowski,QB,Western Michigan,MAC,0.0421,0.0324,0.0521,0.0364,0.042,0.047,0.059,0.038,8.0,,26.0,4.0,,,2.0,0.0,,15.0,0.0,,0.5,,,,0.0,,,,0.0,,,,,119.0,7.0,2.4,,,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
12,2022,4808740,Nate Anderson,WR,Western Michigan,MAC,0.0149,0.0324,0.0,0.0132,0.017,0.006,0.013,0.017,,,,,,,,,,11.0,,,,1.0,,0.0,7.0,0.0,1.0,,0.0,0.0,1.0,,,44.0,,,,6.3,,,,,,,,,,,,2711,West,4.3,12,5,7,0,8,4,4,0,6,2,4,0,6,3,3,0,199,13,27,8,16,12,2,180,13,1,664,34,1988,335,167,11,10,80,755,21911,0,47,10,465,14,1635,31,80,58,185,3623,21,,No
