,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2021,4361287,A'Jon Vivens,RB,Colorado State,MW,0.1056,0.0241,0.1733,0.1243,0.137,0.038,0.131,0.061,,,90.0,,,,1.0,,,57.0,1.0,,,0.0,,0.0,10.0,0.0,1.0,,0.0,0.0,1.0,,,397.0,,3.6,,7.3,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
1,2021,4683220,Alex Berrouet,RB,Colorado State,MW,0.0085,0.0,0.0156,0.0085,0.011,0.005,0.015,0.004,,,7.0,,,,1.0,,,26.0,1.0,,,,,,0.0,,,,0.0,,,,,50.0,,7.1,,,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
2,2021,4256032,Cameron Butler,TE,Colorado State,MW,0.0121,0.0268,0.0,0.0113,0.008,0.022,0.005,0.018,,,,,,,,,,69.0,,,,,,,10.0,,,,3.0,,,,,164.0,,,,16.4,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
3,2021,4428938,Dante Wright,WR,Colorado State,MW,0.0461,0.0938,0.0067,0.0367,0.053,0.054,0.045,0.057,,5.3,3.0,,,,2.0,,,84.0,0.0,9.0,,,,,44.0,,,,3.0,,,,,597.0,,-1.7,,12.6,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
4,2021,4360205,David Bailey,RB,Colorado State,MW,0.2124,0.0322,0.3622,0.2655,0.248,0.075,0.251,0.129,,,197.0,,,,1.0,,,59.0,1.0,,,0.0,,1.0,15.0,0.0,1.0,,11.0,0.0,1.0,,,886.0,,3.8,,8.9,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
5,2021,4256049,E.J. Scott,WR,Colorado State,MW,0.0121,0.0161,0.0089,0.0141,0.004,0.016,0.015,0.007,,,4.0,,,,,,,47.0,,,,,,,12.0,,,,0.0,,,,,188.0,,8.3,,12.9,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
6,2021,4683792,Evan Olaes,QB,Colorado State,MW,0.0218,0.0161,0.0267,0.0169,0.019,0.027,0.025,0.025,12.0,,18.0,7.0,,,,1.0,,12.0,,,0.583,,,,,,,,0.0,,,,,134.0,4.2,4.7,,,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,3.0,Yes
7,2021,4361306,Gary Williams,TE,Colorado State,MW,0.0231,0.0509,0.0,0.0254,0.027,0.016,0.025,0.025,,,,,,,,,,43.0,,,,,,,21.0,,,,5.0,,,,,287.0,,,,13.7,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
8,2021,4683297,Gerick Robinson,WR,Colorado State,MW,0.0012,0.0027,0.0,0.0,0.0,0.005,0.0,0.004,,3.0,,,,,2.0,,,12.0,1.0,4.0,,,,,1.0,,,,0.0,,,,,17.0,,,,5.0,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
9,2021,4569024,Jaylen Thomas,RB,Colorado State,MW,0.0498,0.0027,0.0889,0.0424,0.076,0.027,0.07,0.043,,,44.0,,,,1.0,,,23.0,1.0,,,0.0,,0.0,1.0,0.0,2.0,,2.0,0.0,2.0,,,186.0,,4.1,,6.0,36,Mountain,6.0,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0,254,10,25,8,9,12,0,106,11,0,461,19,3020,396,237,6,15,85,822,20906,1,166,24,515,14,1969,39,83,82,202,4989,19,,No
