,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4361287,A'Jon Vivens,RB,Colorado State,MW,0.0635,0.0131,0.1238,0.0741,0.083,0.026,0.07,0.048,,22.2,39.0,,,,2.0,,,63.0,2.0,6.0,,,,,4.0,,,,0.0,,,,,263.0,,2.7,,6.5,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,3.0,Yes
1,2022,4432431,Avery Morrow,RB,Colorado State,MW,0.244,0.0551,0.4706,0.303,0.266,0.113,0.287,0.165,,,173.0,,,,2.0,,,83.0,2.0,,,,,,18.0,,,,4.0,,,,,897.0,,4.8,,3.5,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
2,2022,4833597,Brayden Fowler-Nicolosi,QB,Colorado State,MW,0.0592,0.1024,0.0093,0.0404,0.052,0.106,0.035,0.092,37.0,,5.0,17.0,,,,2.0,,14.0,,,0.459,,,,,,,,1.0,,,,,200.0,5.2,1.2,,,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
3,2022,4432733,Clay Millen,QB,Colorado State,MW,0.4062,0.6588,0.1146,0.3098,0.424,0.556,0.343,0.538,234.0,,100.0,169.0,,,7.0,6.0,,36.0,3.0,,0.722,,,,1.0,,,,10.0,,,,,1898.0,8.2,-0.3,,16.0,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
4,2022,4591746,Dane Olson,WR,Colorado State,MW,0.0028,0.0052,0.0,0.0034,0.0,0.007,0.0,0.004,,20.0,,,,,,,,35.0,,1.0,,,,,2.0,,,,0.0,,,,,38.0,,,,9.0,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
5,2022,4569025,David Aggrey,RB,Colorado State,MW,0.0014,0.0,0.0031,0.0,0.004,0.0,0.007,0.0,,,1.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,-1.0,,-1.0,,,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
6,2022,4360205,David Bailey,RB,Colorado State,MW,0.031,0.0079,0.0588,0.0404,0.031,0.02,0.035,0.018,,0.0,20.0,,,,,,,23.0,,1.0,,,,,3.0,,,,0.0,,,,,60.0,,3.1,,-0.3,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,3.0,Yes
7,2022,4361306,Gary Williams,TE,Colorado State,MW,0.0014,0.0026,0.0,0.0,0.004,0.0,0.007,0.0,,0.0,,,,,,,,23.0,,1.0,,,,,2.0,,,,0.0,,,,,24.0,,,,12.0,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
8,2022,4880252,Giles Pooler,QB,Colorado State,MW,0.0508,0.0892,0.0062,0.0404,0.048,0.073,0.049,0.062,32.0,,5.0,11.0,,,1.0,1.0,,4.0,0.0,,0.344,,,,0.0,,,,0.0,,,,,130.0,4.5,-2.8,,,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
9,2022,4836471,Jackson Stratton,QB,Colorado State,MW,0.0085,0.0157,0.0,0.0034,0.009,0.02,0.014,0.011,17.0,,1.0,4.0,,,,2.0,,18.0,,,0.235,,,,,,,,1.0,,,,,96.0,4.6,18.0,,,,,,,,,,,,,,36,Mountain,4.0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0,176,13,33,8,12,12,1,79,11,0,319,19,2361,322,203,8,12,83,725,21218,1,202,20,385,4,1068,22,65,34,151,3429,19,,No
