,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,4038961,Cam McCormick,TE,Oregon,PAC12,0.0106,0.0231,0.0,0.0137,0.013,0.0,0.018,0.0,,,,,,,,,,17.0,,,,0.0,,0.0,10.0,0.0,1.0,,3.0,0.0,1.0,,,66.0,,,,6.6,,,,,,,,,,,,2483,,10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0,340,20,32,3,10,13,1,207,9,0,523,28,3703,432,308,16,30,88,744,24462,0,64,13,508,34,2804,17,51,75,162,6507,12,3.0,Yes
1,2022,4055165,Renard Bell,WR,Washington State,PAC12,0.0327,0.05,0.0034,0.0514,0.023,0.013,0.03,0.015,,27.8,1.0,,,,,,,122.0,,5.0,,,,,28.0,,,,2.0,,,,,447.0,,-2.0,,11.1,,,,,,,,,,,,265,,5.4,13,7,6,0,9,4,5,0,7,4,3,0,5,3,2,0,253,13,29,8,16,13,2,245,9,0,603,28,3286,499,322,12,24,70,592,21586,0,218,24,365,17,1395,30,75,64,175,4681,17,,No
2,2022,4240350,Xazavian Valladay,RB,Arizona State,PAC12,0.3298,0.0949,0.6431,0.4186,0.279,0.23,0.378,0.184,,,215.0,,,,1.0,,,79.0,1.0,,,0.0,,0.0,37.0,0.0,1.0,,18.0,0.0,1.0,,,1481.0,,5.5,,7.8,,,,,,,,,,,,9,,4.3,12,3,9,0,9,2,7,0,6,2,4,0,6,1,5,0,254,12,19,8,1,12,1,114,10,0,757,34,3023,403,270,11,18,87,868,22137,0,63,19,385,21,1623,17,50,59,151,4646,18,,No
3,2022,4240796,Tristan Gebbia,QB,Oregon State,PAC12,0.0143,0.0368,0.0,0.0051,0.015,0.033,0.013,0.031,11.0,,1.0,10.0,,,,0.0,,0.0,,,0.909,,,,,,,,0.0,,,,,67.0,7.2,-12.0,,,,,,,,,,,,,,204,,11.2,13,10,3,0,9,6,3,0,6,5,1,0,5,3,2,0,289,16,23,5,9,13,2,105,13,0,667,30,2594,323,201,12,16,78,711,24925,2,319,20,523,36,2554,21,64,67,153,5148,18,3.0,Yes
4,2022,4240801,Tyjon Lindsey,WR,Oregon State,PAC12,0.0442,0.1074,0.004,0.028,0.041,0.086,0.022,0.093,2.0,,2.0,1.0,,,,0.0,,60.0,,,0.5,0.0,,0.0,30.0,0.0,2.0,,2.0,0.0,2.0,,,365.0,13.5,10.5,,10.6,,,,,,,,,,,,204,,11.2,13,10,3,0,9,6,3,0,6,5,1,0,5,3,2,0,289,16,23,5,9,13,2,105,13,0,667,30,2594,323,201,12,16,78,711,24925,2,319,20,523,36,2554,21,64,67,153,5148,18,,No
5,2022,4241225,R.J. Sneed,WR,Colorado,PAC12,0.0386,0.0727,0.0031,0.0396,0.037,0.047,0.03,0.042,,7.5,1.0,,,,1.0,,,37.0,0.0,2.0,,,,,20.0,,,,0.0,,,,,189.0,,6.0,,8.4,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
6,2022,4243163,Alex Fontenot,RB,Colorado,PAC12,0.0862,0.0174,0.1625,0.1007,0.089,0.06,0.097,0.063,,,65.0,,,,1.0,,,53.0,1.0,,,,,,6.0,,,,2.0,,,,,371.0,,4.8,,9.3,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
7,2022,4243165,Jaylon Jackson,WR,Colorado,PAC12,0.0059,0.0116,0.0,0.0036,0.005,0.0,0.006,0.008,,,,,,,,,,28.0,,,,0.0,,0.0,3.0,0.0,1.0,,0.0,0.0,1.0,,,46.0,,,,15.3,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
8,2022,4243170,Maurice Bell,WR,Colorado,PAC12,0.0238,0.0378,0.0094,0.0324,0.023,0.013,0.018,0.017,,18.7,3.0,,,,,,,50.0,,3.0,,,,,13.0,,,,0.0,,,,,115.0,,5.7,,3.2,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
9,2022,4243176,Brady Russell,TE,Colorado,PAC12,0.0386,0.0698,0.0063,0.036,0.042,0.033,0.018,0.055,,,2.0,,,,,,,15.0,,,,0.0,,0.0,20.0,0.0,1.0,,0.0,0.0,1.0,,,153.0,,0.0,,7.7,,,,,,,,,,,,38,,1.0,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0,190,11,30,12,7,12,0,57,10,0,750,35,2075,360,179,6,10,64,579,19718,1,177,11,387,11,1300,10,49,52,164,3375,22,,No
10,2022,4243247,Jaylen Dixon,WR,Utah,PAC12,0.0475,0.0814,0.0191,0.0543,0.042,0.046,0.034,0.048,,,10.0,,,,1.0,,,53.0,1.0,,,,,,33.0,,,,7.0,,,,,462.0,,11.8,,10.4,,,,,,,,,,,,254,,9.6,14,10,4,0,10,8,2,0,6,6,0,0,6,3,3,0,363,18,29,8,20,14,3,293,10,0,160,8,3489,446,288,12,31,63,563,28286,0,234,31,560,38,3048,41,82,91,180,6537,18,,No
