,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2022,102597,Will Rogers,QB,Mississippi State,SEC,0.6971,0.9614,0.0709,0.6394,0.752,0.766,0.652,0.821,610.0,,44.0,414.0,,,8.0,8.0,,28.0,5.0,,0.679,,,,1.0,,,,35.0,,,,,3811.0,6.5,-3.8,,13.0,,,,,,,,,,,,344,West,6.9,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0,296,15,29,10,11,13,3,294,9,1,807,31,4035,634,427,14,36,82,790,23380,1,213,21,296,12,1071,31,83,69,176,5106,19,,No
1,2022,107494,Trey Sanders,RB,Alabama,SEC,0.0179,0.0044,0.0321,0.0165,0.014,0.03,0.023,0.015,,,14.0,,,,,,,21.0,,,,,,,2.0,,,,1.0,,,,,93.0,,5.7,,6.5,,,,,,,,,,,,333,West,10.5,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0,310,9,15,8,9,13,1,74,8,0,372,21,3660,438,280,7,37,103,893,23330,2,456,30,458,26,2544,38,84,74,162,6204,16,3.0,Yes
2,2022,4040407,Jack Abraham,QB,Missouri,SEC,0.0075,0.0159,0.0,0.0059,0.007,0.012,0.005,0.011,8.0,,,3.0,,,,2.0,,,,,0.375,,,,,,,,0.0,,,,,44.0,5.5,,,,,,,,,,,,,,,142,East,5.5,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,241,9,18,11,12,13,2,99,9,0,229,14,2771,391,247,11,13,101,828,24245,1,147,13,493,21,2034,35,91,77,193,4805,20,,No
3,2022,4240418,Christian Beal-Smith,RB,South Carolina,SEC,0.0528,0.0116,0.1013,0.0519,0.055,0.051,0.08,0.034,,,39.0,,,,,,,61.0,,,,0.0,,0.0,5.0,0.0,1.0,,5.0,0.0,1.0,,,182.0,,4.0,,5.2,,,,,,,,,,,,2579,East,6.8,13,8,5,0,8,4,4,0,7,5,2,0,5,3,2,0,246,13,21,13,11,13,2,299,14,1,578,23,3379,419,281,15,23,88,814,22366,2,278,19,410,27,1555,20,56,62,159,4934,27,,No
4,2022,4240858,Hendon Hooker,QB,Tennessee,SEC,0.4569,0.7825,0.1623,0.4664,0.409,0.509,0.354,0.539,329.0,,104.0,229.0,,,6.0,2.0,,44.0,3.0,,0.696,,,,0.0,,,,32.0,,,,,3565.0,9.5,4.1,,,,,,,,,,,,,,2633,East,9.7,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0,330,23,34,8,13,13,0,70,3,0,340,18,4239,422,290,11,38,105,904,19684,1,331,20,523,40,2593,31,91,68,166,6832,11,,No
5,2022,4242248,Austin Williams,WR,Mississippi State,SEC,0.0423,0.0602,0.0,0.0409,0.027,0.063,0.037,0.048,,1.3,,,,,1.0,,,27.0,1.0,4.0,,0.0,,0.0,34.0,0.0,0.0,,5.0,0.0,1.0,,,295.0,,,,8.6,,,,,,,,,,,,344,West,6.9,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0,296,15,29,10,11,13,3,294,9,1,807,31,4035,634,427,14,36,82,790,23380,1,213,21,296,12,1071,31,83,69,176,5106,19,,No
6,2022,4242442,Princeton Fant,TE,Tennessee,SEC,0.0362,0.0628,0.0122,0.0348,0.019,0.055,0.04,0.034,1.0,,6.0,1.0,,,1.0,0.0,,52.0,1.0,,1.0,,,,22.0,,,,9.0,,,,,324.0,66.0,2.8,,11.0,,,,,,,,,,,,2633,East,9.7,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0,330,23,34,8,13,13,0,70,3,0,340,18,4239,422,290,11,38,105,904,19684,1,331,20,523,40,2593,31,91,68,166,6832,11,,No
7,2022,4242526,John Samuel Shenker,TE,Auburn,SEC,0.0344,0.0769,0.0044,0.0234,0.045,0.034,0.043,0.045,,8.0,2.0,,,,,,,37.0,,1.0,,0.0,,0.0,20.0,0.0,0.0,,1.0,0.0,1.0,,,213.0,,-1.5,,10.4,,,,,,,,,,,,2,West,6.7,12,5,7,0,8,2,6,0,8,5,3,0,4,0,4,0,217,13,22,10,12,12,1,60,12,0,396,24,2072,308,159,6,9,90,688,21757,0,170,20,488,25,2470,26,62,64,178,4542,22,,No
8,2022,4245147,Jamire Calvin,WR,Mississippi State,SEC,0.0109,0.0154,0.0,0.0168,0.007,0.006,0.015,0.0,,,,,,,1.0,,,9.0,1.0,,,,,,11.0,,,,1.0,,,,,58.0,,,,5.3,,,,,,,,,,,,344,West,6.9,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0,296,15,29,10,11,13,3,294,9,1,807,31,4035,634,427,14,36,82,790,23380,1,213,21,296,12,1071,31,83,69,176,5106,19,,No
9,2022,4250013,Ramon Jefferson,RB,Kentucky,SEC,0.0025,0.0,0.0049,0.0058,0.0,0.0,0.0,0.0,,,2.0,,,,,,,8.0,,,,,,,,,,,0.0,,,,,10.0,,5.0,,,,,,,,,,,,,,96,East,7.2,13,7,6,0,8,3,5,0,8,5,3,0,4,2,2,0,229,16,26,6,10,13,1,144,13,1,506,27,2710,349,224,10,21,74,514,25845,0,114,23,463,9,1511,19,52,58,170,4221,19,,No
