,Unnamed: 0,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal,Weight,Height,Jersey,Year,Home City,Home State,Home Country,Home Latitude,Home Longitude,Home County Fips,Recruit Ids
0,0,2023,3682406,Daniel Imatorbhebhe,TE,Illinois,Big Ten,0.0058,0.0146,0.0,0.009,0.0,0.009,0.0,0.005,,,,,,,,,,28.0,,,,,,,3.0,,,,1.0,,,,,54.0,,,,18.0,356.0,West,2.3,8,2,6,0,8,2,6,0,3,0,3,0,5,2,3,0,144,7,15,5,8,8,0,61,4,0,400,24,1223,194,91,7,10,39,401,12983,0,32,4,325,9,1559,18,45,43,114,2782,9,3.0,Yes,,,,,,,,,,,
1,1,2023,3728271,Bryce Witham,TE,Minnesota,Big Ten,0.0063,0.0155,0.0,0.0046,0.006,0.011,0.015,0.0,,,,,,,,,,20.0,,,,0.0,,0.0,3.0,0.0,2.0,,0.0,0.0,2.0,,,30.0,,,,10.0,135.0,West,3.3,7,3,4,0,7,3,4,0,3,1,2,0,4,2,2,0,151,7,13,2,2,7,0,30,5,0,248,14,1394,184,107,4,7,32,288,14263,0,21,6,298,19,1350,8,15,41,86,2744,7,,No,,,,,,,,,,,
2,2,2023,3863052,Micah Dew-Treadway,DL,Minnesota,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.5,8.0,,0.0,1.5,10.0,,,,,,,,135.0,West,3.3,7,3,4,0,7,3,4,0,3,1,2,0,4,2,2,0,151,7,13,2,2,7,0,30,5,0,248,14,1394,184,107,4,7,32,288,14263,0,21,6,298,19,1350,8,15,41,86,2744,7,,No,,,,,,,,,,,
3,3,2023,3915523,Justin Hilliard,LB,Ohio State,Big Ten,,,,,,,,,,0.0,,,,,0.0,1.0,,,0.0,,,1.0,,0.0,3.0,0.0,20.0,,0.0,5.0,33.0,,,0.0,,,,,194.0,East,6.9,8,7,1,0,6,6,0,0,3,3,0,0,2,2,0,0,200,5,9,3,11,8,2,105,6,0,93,7,2100,225,158,7,22,49,437,15442,0,62,10,344,19,2050,21,46,52,106,4150,9,,No,,,,,,,,,,,
4,4,2023,4029426,Chris Booker,WR,Ohio State,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,194.0,East,6.9,8,7,1,0,6,6,0,0,3,3,0,0,2,2,0,0,200,5,9,3,11,8,2,105,6,0,93,7,2100,225,158,7,22,49,437,15442,0,62,10,344,19,2050,21,46,52,106,4150,9,,No,,,,,,,,,,,
5,5,2023,4033798,Elorm Lumor,DL,Rutgers,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,1.5,9.0,,0.0,2.5,21.0,,,,,,,,164.0,East,2.0,9,3,6,0,9,3,6,0,5,0,5,0,4,3,1,0,171,11,22,5,12,9,0,54,8,2,851,33,1787,309,195,8,14,66,537,15093,1,99,10,343,13,1261,20,71,49,144,3048,13,,No,,,,,,,,,,,
6,6,2023,4033806,James McCourt,PK,Illinois,Big Ten,,,,,,,,,,,,,10.0,6.0,,,,47.0,,,0.6,,33.0,,,,,,,,,15.0,15.0,,,,,,356.0,West,2.3,8,2,6,0,8,2,6,0,3,0,3,0,5,2,3,0,144,7,15,5,8,8,0,61,4,0,400,24,1223,194,91,7,10,39,401,12983,0,32,4,325,9,1559,18,45,43,114,2782,9,,No,,,,,,,,,,,
7,7,2023,4033810,Christian Bobak,DB,Illinois,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,4.0,,0.0,0.0,7.0,,,,,,,,356.0,West,2.3,8,2,6,0,8,2,6,0,3,0,3,0,5,2,3,0,144,7,15,5,8,8,0,61,4,0,400,24,1223,194,91,7,10,39,401,12983,0,32,4,325,9,1559,18,45,43,114,2782,9,,No,,,,,,,,,,,
8,8,2023,4033812,Jake Hansen,LB,Illinois,Big Ten,,,,,,,,,,6.0,,,,,0.0,2.0,,,0.0,,,2.0,,0.0,2.0,2.5,37.0,,0.0,10.0,67.0,,,12.0,,,,,356.0,West,2.3,8,2,6,0,8,2,6,0,3,0,3,0,5,2,3,0,144,7,15,5,8,8,0,61,4,0,400,24,1223,194,91,7,10,39,401,12983,0,32,4,325,9,1559,18,45,43,114,2782,9,,No,,,,,,,,,,,
9,9,2023,4034769,Coney Durr,DB,Minnesota,Big Ten,,,,,,,,,,,,,,,,,,,,,,5.0,,0.0,,0.0,22.0,,0.0,1.0,24.0,,,,,,,,135.0,West,3.3,7,3,4,0,7,3,4,0,3,1,2,0,4,2,2,0,151,7,13,2,2,7,0,30,5,0,248,14,1394,184,107,4,7,32,288,14263,0,21,6,298,19,1350,8,15,41,86,2744,7,,No,,,,,,,,,,,
