"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","2","Auburn","SEC","West","6.4","13","6","7","0","8","3","5","0","7","3","4","0","5","3","2","0"
"2023","5","UAB","American Athletic","","6.1","12","4","8","0","8","3","5","0","6","4","2","0","6","0","6","0"
"2023","6","South Alabama","Sun Belt","West","7.8","13","7","6","0","8","4","4","0","6","4","2","0","7","3","4","0"
"2023","8","Arkansas","SEC","West","5.5","12","4","8","0","8","1","7","0","6","2","4","0","4","1","3","0"
"2023","9","Arizona State","Pac-12","","3.6","12","3","9","0","9","2","7","0","8","2","6","0","4","1","3","0"
"2023","12","Arizona","Pac-12","","8.7","13","10","3","0","9","7","2","0","6","5","1","0","6","4","2","0"
"2023","21","San Diego State","Mountain West","West","5.6","12","4","8","0","8","2","6","0","7","3","4","0","5","1","4","0"
"2023","23","San José State","Mountain West","West","7.1","13","7","6","0","8","6","2","0","6","4","2","0","6","3","3","0"
"2023","24","Stanford","Pac-12","","2.4","12","3","9","0","9","2","7","0","7","0","7","0","5","3","2","0"
"2023","25","California","Pac-12","","6.4","13","6","7","0","9","4","5","0","6","3","3","0","6","3","3","0"
"2023","26","UCLA","Pac-12","","8.6","13","8","5","0","9","4","5","0","6","4","2","0","6","3","3","0"
"2023","30","USC","Pac-12","","6.3","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2023","36","Colorado State","Mountain West","Mountain","4.6","12","5","7","0","8","3","5","0","6","4","2","0","6","1","5","0"
"2023","38","Colorado","Pac-12","","3.3","12","4","8","0","9","1","8","0","6","2","4","0","6","2","4","0"
"2023","41","Connecticut","FBS Independents","","3.6","12","3","9","0","1","1","0","0","6","1","5","0","6","2","4","0"
"2023","52","Florida State","ACC","Atlantic","10.5","14","13","1","0","9","9","0","0","6","6","0","0","5","5","0","0"
"2023","55","Jacksonville State","Conference USA","","7.6","13","9","4","0","8","6","2","0","6","5","1","0","6","3","3","0"
"2023","57","Florida","SEC","East","5.9","12","5","7","0","8","3","5","0","6","4","2","0","5","1","4","0"
"2023","58","South Florida","American Athletic","","6.8","13","7","6","0","8","4","4","0","6","4","2","0","6","2","4","0"
"2023","59","Georgia Tech","ACC","Coastal","5.8","13","7","6","0","8","5","3","0","6","3","3","0","5","3","2","0"
"2023","61","Georgia","SEC","East","12.6","14","13","1","0","9","8","1","0","7","7","0","0","4","4","0","0"
"2023","62","Hawai'i","Mountain West","West","4","13","5","8","0","8","3","5","0","7","4","3","0","6","1","5","0"
"2023","66","Iowa State","Big 12","","8","13","7","6","0","9","6","3","0","7","3","4","0","6","4","2","0"
"2023","68","Boise State","Mountain West","Mountain","9.1","14","8","6","0","9","7","2","0","6","5","1","0","7","3","4","0"
"2023","77","Northwestern","Big Ten","West","4.9","13","8","5","0","9","5","4","0","6","5","1","0","5","2","3","0"
"2023","84","Indiana","Big Ten","East","4.2","12","3","9","0","9","1","8","0","6","3","3","0","5","0","5","0"
"2023","87","Notre Dame","FBS Independents","","10.6","13","10","3","0","0","0","0","0","6","5","1","0","5","3","2","0"
"2023","96","Kentucky","SEC","East","6.9","13","7","6","0","8","3","5","0","7","4","3","0","5","3","2","0"
"2023","97","Louisville","ACC","Atlantic","9.7","14","10","4","0","9","7","2","0","7","6","1","0","3","2","1","0"
"2023","98","Western Kentucky","Conference USA","","6.2","13","8","5","0","8","5","3","0","6","4","2","0","6","3","3","0"
"2023","99","LSU","SEC","West","8.9","13","10","3","0","8","6","2","0","7","7","0","0","4","2","2","0"
"2023","103","Boston College","ACC","Atlantic","6","13","7","6","0","8","3","5","0","7","3","4","0","5","3","2","0"
"2023","113","UMass","FBS Independents","","4.2","12","3","9","0","2","1","1","0","6","1","5","0","6","2","4","0"
"2023","120","Maryland","Big Ten","East","8.7","13","8","5","0","9","4","5","0","7","4","3","0","5","3","2","0"
"2023","127","Michigan State","Big Ten","East","4.3","12","4","8","0","9","2","7","0","6","3","3","0","5","1","4","0"
"2023","130","Michigan","Big Ten","East","14.1","15","15","0","0","10","10","0","0","7","7","0","0","5","5","0","0"
"2023","135","Minnesota","Big Ten","West","6.3","13","6","7","0","9","3","6","0","7","4","3","0","5","1","4","0"
"2023","142","Missouri","SEC","East","10.4","13","11","2","0","8","6","2","0","7","6","1","0","4","3","1","0"
"2023","145","Ole Miss","SEC","West","8.4","13","11","2","0","8","6","2","0","7","7","0","0","5","3","2","0"
"2023","150","Duke","ACC","Coastal","6.9","13","8","5","0","8","4","4","0","7","6","1","0","5","1","4","0"
"2023","151","East Carolina","American Athletic","","3.5","12","2","10","0","8","1","7","0","6","1","5","0","6","1","5","0"
"2023","152","NC State","ACC","Atlantic","7.4","13","9","4","0","8","6","2","0","7","5","2","0","5","4","1","0"
"2023","153","North Carolina","ACC","Coastal","6.9","13","8","5","0","8","4","4","0","7","6","1","0","4","1","3","0"
"2023","154","Wake Forest","ACC","Atlantic","4.2","12","4","8","0","8","1","7","0","6","3","3","0","6","1","5","0"
"2023","158","Nebraska","Big Ten","West","8.1","12","5","7","0","9","3","6","0","7","4","3","0","5","1","4","0"
"2023","164","Rutgers","Big Ten","East","6.3","13","7","6","0","9","3","6","0","7","5","2","0","5","1","4","0"
