"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4709977","Brayden Schager","QB","Hawai'i","Mountain West","0.7034","0.9532","0.2294","0.6548","0.709","0.806","0.632","0.818"
"2023","4688380","Cameron Ward","QB","Washington State","Pac-12","0.7018","0.9583","0.2676","0.6799","0.721","0.755","0.611","0.802"
"2023","4682518","Nick Vattiato","QB","Middle Tennessee","Conference USA","0.6752","0.98","0.307","0.5793","0.701","0.802","0.632","0.824"
"2023","4690977","Donovan Smith","QB","Houston","Big 12","0.6684","0.9531","0.3188","0.5727","0.683","0.832","0.649","0.795"
"2023","4362365","Davis Brin","QB","Georgia Southern","Sun Belt","0.6467","0.9623","0.1276","0.565","0.684","0.768","0.616","0.777"
"2023","4432762","Shedeur Sanders","QB","Colorado","Pac-12","0.6429","0.905","0.1913","0.5887","0.659","0.738","0.593","0.741"
"2023","4426339","Spencer Rattler","QB","South Carolina","SEC","0.6273","0.9637","0.1801","0.5266","0.631","0.824","0.543","0.788"
"2023","4606194","Seth Henigan","QB","Memphis","American Athletic","0.6237","0.9897","0.1895","0.5441","0.682","0.727","0.529","0.836"
"2023","4571819","Keegan Shoemaker","QB","Sam Houston State","Conference USA","0.6138","0.9389","0.2197","0.5355","0.606","0.764","0.538","0.75"
"2023","4880272","Byrum Brown","QB","South Florida","American Athletic","0.6024","0.9474","0.3011","0.5413","0.593","0.722","0.548","0.697"
"2023","4360423","Michael Penix Jr.","QB","Washington","Pac-12","0.5934","0.9684","0.0657","0.5739","0.552","0.735","0.442","0.746"
"2023","4431611","Caleb Williams","QB","USC","Pac-12","0.588","0.8499","0.213","0.5116","0.622","0.718","0.597","0.697"
"2023","5084180","Diego Pavia","QB","New Mexico State","Conference USA","0.5877","0.9333","0.3112","0.5012","0.623","0.746","0.552","0.754"
"2023","4570554","Chandler Rogers","QB","North Texas","American Athletic","0.5787","0.9118","0.1935","0.5179","0.571","0.704","0.544","0.682"
"2023","4685413","Cade Klubnik","QB","Clemson","ACC","0.5761","0.9611","0.19","0.5228","0.547","0.75","0.515","0.702"
"2023","4833597","Brayden Fowler-Nicolosi","QB","Colorado State","Mountain West","0.5754","0.917","0.0633","0.4834","0.6","0.717","0.521","0.737"
"2023","4369448","Darren Grainger","QB","Georgia State","Sun Belt","0.5746","0.976","0.2707","0.4987","0.591","0.701","0.5","0.734"
