Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal,PositionId,TeamId,ConferenceId
2023.0,102597,Will Rogers,QB,Mississippi State,SEC,0.3518,0.6759,0.0429,0.2921,0.355,0.453,0.325,0.433,237.0,,29.0,142.0,,,2.0,4.0,,15.0,1.0,,0.599,,,,0.0,,,,13.0,,,,,1613.0,6.9,-0.4,,,West,4.8,12,5,7,0,8,1,7,0,8,4,4,0,4,1,3,0,199,10,24,4,5,12,0,61,10,1,550,23,2182,348,201,7,15,75,682,20641,1,200,17,401,12,1761,27,67,49,159,3943,14,,No,0,0,0
2023.0,107494,Trey Sanders,RB,TCU,Big 12,0.0594,0.0123,0.1253,0.047,0.083,0.047,0.112,0.037,,,48.0,,,,,,,26.0,,,,,,,5.0,,,,6.0,,,,,196.0,,3.7,,4.0,,6.2,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0,300,16,32,4,4,12,1,129,15,0,700,32,3746,503,319,8,27,74,643,19699,1,152,15,406,19,1854,22,60,82,177,5600,19,,No,1,1,1
2023.0,146583,John Adams,WR,Temple,American Athletic,0.0218,0.0337,0.0032,0.0172,0.03,0.024,0.025,0.024,,,1.0,,,,,,,47.0,,,,0.0,,0.0,15.0,0.0,1.0,,2.0,0.0,1.0,,,165.0,,16.0,,9.9,,2.8,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0,247,23,45,9,2,12,0,2,16,1,688,39,3320,508,283,3,23,54,440,20416,0,76,14,331,9,1155,22,67,66,173,4475,25,,No,2,2,2
,169499,Ryan Johnson,DL,Akron,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,2.0,,,,,,,,East,3.8,12,2,10,0,8,1,7,0,5,2,3,0,7,0,7,0,200,8,23,6,5,12,1,191,15,0,632,36,2371,425,258,6,10,83,722,21285,0,110,18,346,12,972,19,62,57,171,3343,21,,No,3,3,3
,174194,Brett Johnson,DB,California,,,,,,,,,,,,,,,,0.0,,,,0.0,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,6.4,13,6,7,0,9,4,5,0,6,3,3,0,6,3,3,0,278,17,33,12,16,13,0,68,16,1,486,25,2836,434,258,12,22,72,583,22364,0,30,11,497,26,2250,25,58,74,191,5086,28,,No,4,4,3
,191729,Michael Williams,DB,Florida International,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,,3.2,12,4,8,0,8,1,7,0,6,2,4,0,6,2,4,0,184,16,33,9,6,12,1,118,12,0,480,27,2760,383,220,6,12,70,607,19643,0,103,14,380,17,1083,12,61,48,169,3843,21,,No,4,5,3
,245322,Marcus Patterson,DE,Western Kentucky,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,3.0,,,,,,,,,6.2,13,8,5,0,8,5,3,0,6,4,2,0,6,3,3,0,263,16,26,9,9,13,1,131,14,0,461,24,3837,539,343,15,38,59,478,23043,0,40,11,357,12,1386,26,57,83,191,5223,23,,No,5,6,3
,479316,Jonathan Jones,DB,East Carolina,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2.0,,0.0,1.0,0.0,2.0,,0.0,0.0,6.0,,,,,,,,,3.5,12,2,10,0,8,1,7,0,6,1,5,0,6,1,5,0,181,9,26,7,10,12,2,73,14,0,330,21,1967,388,208,6,7,70,651,20874,0,103,14,386,12,1340,18,83,53,175,3307,21,,No,4,7,3
,545273,Isaiah Johnson,DB,Syracuse,,,,,,,,,,,6.0,,,,,,1.0,,,,,,5.0,,0.0,,0.0,37.0,,0.0,1.0,58.0,,,6.0,,,,,Atlantic,6.1,13,6,7,0,8,2,6,0,6,4,2,0,5,1,4,0,232,10,20,9,13,13,3,215,15,0,381,21,2237,315,191,9,17,95,801,22057,0,272,27,530,20,2230,29,78,70,179,4467,24,,No,4,8,3
,2094390,Michael Dansby,DB,San José State,,,,,,,,,,,98.0,,,,,,1.0,,,,,,3.0,,0.0,,0.0,10.0,,2.0,1.0,15.0,,,98.0,,,,,West,7.1,13,7,6,0,8,6,2,0,6,4,2,0,6,3,3,0,269,7,19,6,9,13,1,230,4,0,284,21,2853,376,230,12,21,74,638,23863,2,182,11,429,31,2393,22,64,68,153,5246,10,,No,4,9,3
,3821571,Jordan Morgan,OL,Arizona,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,2.0,,,,,,,,,8.7,13,10,3,0,9,7,2,0,6,5,1,0,6,4,2,0,299,10,15,3,9,13,0,88,11,0,166,12,4008,464,332,9,36,82,689,24059,1,101,15,398,17,1816,34,74,80,163,5824,14,,No,6,10,3
2023.0,3949586,Jake Taylor,TE,Duke,ACC,0.0013,0.0028,0.0,0.0,0.0,0.006,0.0,0.004,,,,,,,,,,14.0,,,,,,,1.0,,,,0.0,,,,,14.0,,,,14.0,Coastal,6.9,13,8,5,0,8,4,4,0,7,6,1,0,5,1,4,0,243,12,20,7,5,13,1,53,8,0,338,16,2351,357,200,10,14,73,598,22615,0,149,17,448,26,2168,29,77,60,166,4519,15,,No,7,11,4
,4036672,Alex Smith,P,Georgia Southern,,,,,,,,,,,,2.0,,,,1.0,,18.0,76.0,0.0,45.0,,,,,0.0,,,4.0,0.0,,,,,1823.0,,12.5,40.0,,East,4.9,13,6,7,0,8,3,5,0,6,5,1,0,6,1,5,0,300,13,22,11,8,13,3,154,20,1,967,43,3929,577,376,13,26,76,673,24261,0,206,29,377,16,1522,23,91,85,185,5451,31,,No,8,12,3
2023.0,4038961,Cam McCormick,TE,Miami,ACC,0.0127,0.0251,0.0,0.0076,0.01,0.031,0.0,0.031,,,,,,,,,,20.0,,,,,,,8.0,,,,0.0,,,,,62.0,,,,7.8,Coastal,8.4,13,7,6,0,8,3,5,0,7,5,2,0,5,2,3,0,285,11,21,8,6,13,1,118,14,1,791,33,3354,436,283,12,23,79,751,24860,0,79,12,440,24,2251,34,83,67,164,5605,22,,No,7,13,4
,4040630,Jahsen Wint,S,Marshall,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,1.0,1.0,1.0,4.0,,0.0,1.5,14.0,,,,,,,,East,6.2,13,6,7,0,8,3,5,0,6,5,1,0,6,1,5,0,236,6,25,11,5,13,2,131,18,2,807,33,2940,425,268,13,12,85,766,22974,0,19,9,452,21,1725,33,85,56,181,4665,29,,No,9,14,3
,4046654,Keenan Pili,LB,Tennessee,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,4.0,,,,,,,,East,8.8,13,9,4,0,8,4,4,0,7,6,1,0,4,1,3,0,284,7,18,7,6,13,4,239,5,0,293,15,3163,411,263,12,22,101,883,19457,1,251,23,489,23,2662,41,101,74,176,5825,12,,No,10,15,3
,4239389,Taijh Alston,DE,Colorado,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.5,14.0,,0.0,5.0,23.0,,,,,,,,,3.3,12,4,8,0,9,1,8,0,6,2,4,0,6,2,4,0,254,10,15,7,11,12,1,74,4,0,319,17,3536,474,323,10,29,107,854,19854,0,176,18,358,12,827,28,66,68,177,4363,11,,No,5,16,3
2023.0,4240094,Micah Leon,QB,Florida,SEC,0.0038,0.0073,0.0,0.0,0.008,0.007,0.005,0.008,3.0,,,2.0,,,,0.0,,,,,0.667,,,,,,,,0.0,,,,,16.0,5.3,,,,East,5.9,12,5,7,0,8,3,5,0,6,4,2,0,5,1,4,0,259,9,22,7,4,12,0,38,5,0,331,16,3086,389,281,3,20,79,595,23838,0,151,14,422,21,1819,22,59,55,150,4905,12,,No,0,17,0
,4240235,Zachary Ford,S,Toledo,,,,,,,,,,,,,,,,0.0,,,,0.0,,,4.0,,1.0,1.0,0.0,29.0,,0.0,0.5,56.0,,,,,,,,West,10.7,14,11,3,0,9,8,1,0,6,6,0,0,6,5,1,0,284,13,22,11,7,14,1,96,10,1,868,42,3083,377,232,11,26,93,866,23459,0,108,20,524,31,2784,38,80,79,179,5867,21,,No,9,18,3
,4240648,Kai-Leon Herbert,OL,Tulsa,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,5.4,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0,238,7,16,5,10,12,0,-1,19,0,320,15,2456,334,190,10,20,61,519,21386,0,67,7,527,13,2171,21,65,87,195,4627,24,,No,6,19,3
