"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4875846","Jack Collins","Tulane","American Athletic","defensive","TOT","2"
"4430909","Sammy Anderson","Cincinnati","American Athletic","defensive","QB HUR","0"
"4686176","Romaine Robinson","Navy","American Athletic","fumbles","FUM","0"
"4569394","Alex Hogan","Houston","American Athletic","interceptions","TD","1"
"-6175"," Team","Houston","American Athletic","passing","YPA","0.0"
"4575836","Kobe Wilson","Temple","American Athletic","defensive","SOLO","22"
"4360176","Ike Ogbogu","Houston","American Athletic","rushing","YDS","4"
"4372378","Anthony Goodlow","Tulsa","American Athletic","fumbles","REC","1"
"4880675","Rayuan Lane","Navy","American Athletic","interceptions","YDS","0"
"4372377","Jaxon Player","Tulsa","American Athletic","defensive","PD","1"
"4371975","Matthew Hill","South Florida","American Athletic","interceptions","AVG","27.0"
"-6175"," Team","Houston","American Athletic","passing","PCT","0.000"
"4567463","Chad Stephens","East Carolina","American Athletic","defensive","SACKS","0"
"4710711","D'Andre Rogers","SMU","American Athletic","defensive","TFL","0"
"4035198","Brandon Edward Johnson","UCF","American Athletic","defensive","SACKS","0"
"4366031","Nathaniel Dell","Houston","American Athletic","rushing","YPC","5.0"
"4431306","Deshawn Pace","Cincinnati","American Athletic","defensive","TOT","95"
"4243536","Zamari Maxwell","UCF","American Athletic","defensive","SOLO","2"
"4360873","Chris Carter","South Florida","American Athletic","defensive","PD","0"
"4241387","Ryan Jones","East Carolina","American Athletic","receiving","LONG","38"
"4382578","Tyler Snead","East Carolina","American Athletic","passing","COMPLETIONS","3"
"4245348","Jon Powell","UCF","American Athletic","defensive","TOT","28"
"4360199","Christian Trahan","Houston","American Athletic","receiving","REC","37"
"4709652","Mandel Eugene Jr.","Tulane","American Athletic","defensive","QB HUR","1"
"4360876","Randall Copeland","South Florida","American Athletic","fumbles","LOST","1"
"4568627","Darius Hodges","Tulane","American Athletic","defensive","SACKS","5"
"4244608","Daiquain Jackson","Tulsa","American Athletic","defensive","TD","0"
"4875827","Rudy Dyson","Tulane","American Athletic","fumbles","LOST","0"
"4574746","Liam Crowley","East Carolina","American Athletic","defensive","TFL","0.5"
"4568635","Eric Hicks Jr.","Tulane","American Athletic","defensive","SOLO","7"
"4432429","Demerick Morris","Temple","American Athletic","defensive","QB HUR","1"
"4371846","Tyger Goslin","Navy","American Athletic","rushing","TD","0"
"4362184","KeSean Carter","Houston","American Athletic","defensive","TD","0"
"4243913","Marvin Moody","Tulane","American Athletic","defensive","SOLO","24"
"4432429","Demerick Morris","Temple","American Athletic","defensive","SOLO","6"
"4708067","Kai Horton","Tulane","American Athletic","rushing","YDS","-11"
"4360974","Kadas Reams","Temple","American Athletic","kickReturns","TD","0"
"4686167","Xavier Arline","Navy","American Athletic","rushing","LONG","40"
"4430909","Sammy Anderson","Cincinnati","American Athletic","defensive","TD","0"
"4243826","Tre Siggers","SMU","American Athletic","defensive","SACKS","0"
"4687040","Brendan Hall","SMU","American Athletic","defensive","TD","0"
"4691710","Joshua Green","South Florida","American Athletic","defensive","TOT","7"
"4361527","Eddie Lewis","Memphis","American Athletic","fumbles","REC","0"
"4044132","William Kwenkeu","Temple","American Athletic","defensive","SACKS","3"
"4361823","Ryan Wright","Tulane","American Athletic","passing","TD","0"
"4428718","Tre Tucker","Cincinnati","American Athletic","puntReturns","YDS","-5"
"4427250","Ahmad Gardner","Cincinnati","American Athletic","defensive","QB HUR","1"
"3932443","Elijah Taylor","Tulsa","American Athletic","defensive","TFL","3"
"4239390","Bruce Bivens","East Carolina","American Athletic","defensive","PD","0"
"4690120","Johnny Richardson","UCF","American Athletic","defensive","TD","0"
"4239390","Bruce Bivens","East Carolina","American Athletic","defensive","TFL","4.5"
"4596334","Keaton Mitchell","East Carolina","American Athletic","kickReturns","LONG","5"
"4567223","Mark-Antony Richards","UCF","American Athletic","receiving","TD","0"
"4567473","Immanuel Hickman","East Carolina","American Athletic","defensive","SACKS","3"
"4362421","Alec Holler","UCF","American Athletic","defensive","SOLO","1"
"4360057","Charles McClelland","Cincinnati","American Athletic","rushing","LONG","28"
"4360898","Rashawn Yates","South Florida","American Athletic","defensive","PD","0"
"4360993","Jordan Smith","Temple","American Athletic","defensive","PD","0"
"4360057","Charles McClelland","Cincinnati","American Athletic","fumbles","LOST","1"
"4687493","Brandon Thomas","Memphis","American Athletic","receiving","YPR","6.5"
"4426676","Jowon Briggs","Cincinnati","American Athletic","defensive","TOT","42"
"4686167","Xavier Arline","Navy","American Athletic","fumbles","FUM","5"
"4362128","Justin Bryant","UCF","American Athletic","defensive","SACKS","0"
"4428857","Logan Berryhill","South Florida","American Athletic","defensive","TD","0"
"4360057","Charles McClelland","Cincinnati","American Athletic","receiving","YDS","34"
"4371886","John Kelly III","Navy","American Athletic","defensive","TD","0"
"4360975","Layton Jordan","Temple","American Athletic","defensive","SOLO","11"
"4568992","Ryan O'Keefe","UCF","American Athletic","passing","YPA","22.0"
"4569394","Alex Hogan","Houston","American Athletic","defensive","QB HUR","0"
"4039382","John Tate","Memphis","American Athletic","defensive","TD","0"
"4567528","Wardalis Ducksworth","Memphis","American Athletic","defensive","QB HUR","5"
"4243921","Will Wallace","Tulane","American Athletic","kickReturns","YDS","0"
"4565872","Adonis Friloux","Tulane","American Athletic","defensive","QB HUR","0"
"4431131","Devin Hightower","Cincinnati","American Athletic","defensive","TD","0"
"4077773","Blake Green","South Florida","American Athletic","defensive","TD","0"
"4361001","Devin Brumfield","Tulane","American Athletic","defensive","TD","0"
"4565303","Katravis Marsh","South Florida","American Athletic","fumbles","FUM","1"
"4037522","D.J. Ford","East Carolina","American Athletic","defensive","QB HUR","0"
"4428058","Tre'Mon Morris-Brash","UCF","American Athletic","interceptions","INT","1"
"4708067","Kai Horton","Tulane","American Athletic","fumbles","FUM","1"
"4362365","Davis Brin","Tulsa","American Athletic","passing","YPA","7.9"
"4360869","Tyrone Barber","South Florida","American Athletic","defensive","TFL","0"
"4684959","John Williams","Cincinnati","American Athletic","defensive","SACKS","0"
"4687512","John Cartwright","Memphis","American Athletic","defensive","SACKS","1"
"4686161","Johnny Hodges","Navy","American Athletic","kickReturns","NO","1"
"4568625","Jonathan Mestayer II","Tulane","American Athletic","defensive","SACKS","0"
"4429480","Brandon Crossley","SMU","American Athletic","defensive","QB HUR","1"
"4433896","Everitt Rogers","Tulsa","American Athletic","defensive","SACKS","0"
"4710344","Titus Mokiao-Atimalala","UCF","American Athletic","kickReturns","YDS","68"
"4242456","Joe Doyle","Memphis","American Athletic","kicking","XPA","31"
"4243381","Preston Brady","Memphis","American Athletic","fumbles","FUM","0"
"4360547","Darren Brown","SMU","American Athletic","defensive","SOLO","1"
"4428811","Xavier Weaver","South Florida","American Athletic","puntReturns","LONG","45"
"4360653","L.J. Wallace","Tulsa","American Athletic","kickReturns","TD","0"
"4880684","Maquel Haywood","Navy","American Athletic","defensive","TFL","0"
"4360271","Tanner Mordecai","SMU","American Athletic","passing","TD","39"
"552949","Xavier Smith","East Carolina","American Athletic","defensive","QB HUR","3"
"4685826","Brandon Adams","UCF","American Athletic","defensive","TD","0"
"4360180","Shaun Lewis","Houston","American Athletic","defensive","TOT","7"
"4360176","Ike Ogbogu","Houston","American Athletic","rushing","LONG","10"
"4241374","Grant Calcaterra","SMU","American Athletic","defensive","TD","0"
"4685043","Kevaris Hall","Tulane","American Athletic","defensive","TOT","1"
"4361991","Cam Goode","UCF","American Athletic","defensive","PD","3"
"4610131","Parker Navarro","UCF","American Athletic","rushing","LONG","32"
"4361991","Cam Goode","UCF","American Athletic","defensive","TOT","24"
"4382578","Tyler Snead","East Carolina","American Athletic","receiving","REC","67"
"4247726","Bryan Cook","Cincinnati","American Athletic","defensive","PD","9"
"4250967","Kylan Watkins","Memphis","American Athletic","receiving","LONG","5"
"4256907","Jabari Taylor","Cincinnati","American Athletic","kicking","XPM","1"
"4875846","Jack Collins","Tulane","American Athletic","defensive","SOLO","0"
"4875825","Shae Wyatt","Tulane","American Athletic","receiving","REC","33"
"4875972","Cameron Smith","Memphis","American Athletic","defensive","PD","0"
"-6810"," Team","Navy","American Athletic","passing","TD","0"
"4687493","Brandon Thomas","Memphis","American Athletic","rushing","YPC","5.8"
"4360559","Ben Redding","SMU","American Athletic","receiving","YPR","5.0"
"4361329","Joey Gatewood","UCF","American Athletic","passing","INT","0"
"4568586","Beau Barker","SMU","American Athletic","receiving","YDS","21"
"4241888","Reggie Roberson Jr.","SMU","American Athletic","receiving","YDS","625"
"4371859","Michael McMorris","Navy","American Athletic","defensive","SACKS","2"
"4686164","Tai Lavatai","Navy","American Athletic","rushing","LONG","20"
"4257587","Jadan Blue","Temple","American Athletic","receiving","YDS","185"
"4244615","Chris Paul","Tulsa","American Athletic","defensive","TD","0"
"4568992","Ryan O'Keefe","UCF","American Athletic","defensive","SACKS","0"
"4686208","Duke Paane","Navy","American Athletic","punting","TB","0"
"4258604","Michael Young","Cincinnati","American Athletic","receiving","TD","2"
"4569481","Anthony Watkins","Tulsa","American Athletic","rushing","CAR","86"
"4568616","Adam Barry","Temple","American Athletic","rushing","CAR","1"
"4362421","Alec Holler","UCF","American Athletic","kickReturns","YDS","4"
"4247491","Miles Manigault","Cincinnati","American Athletic","defensive","TOT","1"
"4687580","DeVere Levelston","SMU","American Athletic","fumbles","FUM","0"
"4568099","Justin Beadles","Houston","American Athletic","defensive","SOLO","1"
"4362365","Davis Brin","Tulsa","American Athletic","passing","YDS","3254"
"4430628","Jason Vaughn","South Florida","American Athletic","defensive","TD","0"
"4428811","Xavier Weaver","South Florida","American Athletic","passing","TD","0"
"4427575","Jha'Quan Jackson","Tulane","American Athletic","defensive","QB HUR","0"
"4427625","Amari Johnson","UCF","American Athletic","puntReturns","YDS","79"
"4689685","Sedrick Williams","Houston","American Athletic","defensive","TOT","7"
"4680023","Brandon Epton Jr.","SMU","American Athletic","receiving","YPR","10.0"
"4685082","Lachlan Wilson","Tulsa","American Athletic","punting","LONG","67"
"4893835","Lumumba Howard","Temple","American Athletic","defensive","SACKS","0"
"4360558","Jimmy Phillips Jr.","SMU","American Athletic","interceptions","TD","0"
"4608776","Luke Larsen","East Carolina","American Athletic","punting","YPP","41.6"
"4567490","Hakeem Ajijolaiya","Houston","American Athletic","defensive","PD","0"
"4687580","DeVere Levelston","SMU","American Athletic","defensive","TD","0"
"4362391","Jermaine McMillian","UCF","American Athletic","defensive","TFL","0"
"4428857","Logan Berryhill","South Florida","American Athletic","defensive","SACKS","0"
"4431426","Corey Thornton","UCF","American Athletic","defensive","SACKS","1"
"4362388","Dyllon Lester","UCF","American Athletic","interceptions","INT","2"
"4428549","Kenney Solomon","Tulsa","American Athletic","defensive","TFL","0"
"4880681","Amin Hassan","Navy","American Athletic","kickReturns","NO","5"
"4608529","Tyler Tipton","Tulsa","American Athletic","defensive","SOLO","2"
"4243826","Tre Siggers","SMU","American Athletic","defensive","TOT","2"
"4685049","Angelo Anderson","Tulane","American Athletic","defensive","TD","0"
"4360979","Jose Barbon","Temple","American Athletic","defensive","SACKS","0"
"4037655","Jon-Michael Terry","Tulsa","American Athletic","defensive","SACKS","1"
"4600403","Braylon Braxton","Tulsa","American Athletic","rushing","LONG","15"
"4243765","Austin Upshaw","SMU","American Athletic","receiving","YDS","103"
"4873237","Kaedin Robinson","UCF","American Athletic","receiving","YPR","30.0"
"-5625"," Team","Cincinnati","American Athletic","fumbles","LOST","0"
"4361807","Larry Brooks","Tulane","American Athletic","defensive","SACKS","1"
"4428811","Xavier Weaver","South Florida","American Athletic","puntReturns","AVG","12.9"
"4240259","Amaud Willis-Dalton","Houston","American Athletic","fumbles","FUM","0"
"4686176","Romaine Robinson","Navy","American Athletic","fumbles","LOST","0"
"4689678","D'Anthony Jones","Houston","American Athletic","fumbles","REC","1"
"4575900","Alex Odom","Temple","American Athletic","fumbles","FUM","0"
"4428718","Tre Tucker","Cincinnati","American Athletic","rushing","LONG","9"
"4567736","Taji Hudson","East Carolina","American Athletic","defensive","SACKS","0"
"4373896","Shawn Dourseau","East Carolina","American Athletic","defensive","TD","0"
"4360086","Josh Whyle","Cincinnati","American Athletic","receiving","TD","6"
"4362421","Alec Holler","UCF","American Athletic","kickReturns","NO","1"
"4433856","Tramel Logan Jr.","South Florida","American Athletic","defensive","TOT","15"
"4687509","Caden Prieskorn","Memphis","American Athletic","kickReturns","TD","0"
"4689546","Danny Gray","SMU","American Athletic","receiving","LONG","68"
"4372369","TieNeal Martin","Tulsa","American Athletic","defensive","PD","6"
"4686204","Xavier McDonald","Navy","American Athletic","defensive","QB HUR","0"
"4708067","Kai Horton","Tulane","American Athletic","passing","TD","0"
"4879869","Christian Lowery","Cincinnati","American Athletic","kicking","XPM","21"
"4880685","Marcus Bleazard","Navy","American Athletic","fumbles","LOST","0"
"4686164","Tai Lavatai","Navy","American Athletic","passing","INT","2"
"4571679","Garrett Williams","Temple","American Athletic","defensive","QB HUR","0"
"4880724","Riley Riethman","Navy","American Athletic","punting","YPP","42.7"
"4382578","Tyler Snead","East Carolina","American Athletic","passing","TD","2"
"4362149","Keyshawn Paul","Temple","American Athletic","interceptions","YDS","0"
"4360075","Ryan Montgomery","Cincinnati","American Athletic","receiving","REC","6"
"4046713","Noah Davis","Cincinnati","American Athletic","receiving","LONG","2"
"4239086","Desmond Ridder","Cincinnati","American Athletic","rushing","CAR","110"
"4360136","Warren Saba","East Carolina","American Athletic","defensive","SACKS","0"
"4371866","Diego Fagot","Navy","American Athletic","rushing","LONG","4"
"4243369","Marquavius Weaver","Memphis","American Athletic","receiving","LONG","19"
"4568638","Reggie Ellis","Tulsa","American Athletic","defensive","PD","0"
"4689674","Art Green","Houston","American Athletic","defensive","TFL","0"
"4035583","Jordan Jones","Cincinnati","American Athletic","receiving","TD","1"
"4568620","Ronald Gaines","Temple","American Athletic","defensive","PD","0"
"4427238","Dillon Gabriel","UCF","American Athletic","fumbles","LOST","0"
"4569320","Alex Bales","Cincinnati","American Athletic","kicking","LONG","52"
"4047647","Deontay Anderson","Houston","American Athletic","fumbles","REC","1"
"4366031","Nathaniel Dell","Houston","American Athletic","defensive","TOT","1"
"4687512","John Cartwright","Memphis","American Athletic","defensive","TFL","1"
"4360865","Dwayne Boyles","South Florida","American Athletic","defensive","SACKS","0"
"4685053","Rashad Green","Tulane","American Athletic","rushing","YPC","0"
"4257600","Alex Swenson","UCF","American Athletic","defensive","PD","0"
"4427244","Peter Parrish","Memphis","American Athletic","fumbles","FUM","1"
"4360141","Myles Berry","East Carolina","American Athletic","defensive","TD","0"
"4371852","Carlinos Acie","Navy","American Athletic","rushing","CAR","66"
"4690115","Davonte Brown","UCF","American Athletic","defensive","PD","13"
"4428857","Logan Berryhill","South Florida","American Athletic","defensive","SOLO","3"
"4568586","Beau Barker","SMU","American Athletic","defensive","TFL","0"
"4426689","Ulysses Bentley IV","SMU","American Athletic","fumbles","REC","0"
"4710344","Titus Mokiao-Atimalala","UCF","American Athletic","kickReturns","LONG","37"
"4685081","Hunter Rangel","Tulsa","American Athletic","defensive","TD","0"
"4379608","Bryce Miller","South Florida","American Athletic","receiving","TD","0"
"4047647","Deontay Anderson","Houston","American Athletic","defensive","TD","0"
"4568583","Tyler Lavine","SMU","American Athletic","defensive","TFL","0"
"4568099","Justin Beadles","Houston","American Athletic","defensive","PD","0"
"4567507","Rodrigues Clark","Memphis","American Athletic","passing","INT","0"
"4257587","Jadan Blue","Temple","American Athletic","defensive","TOT","1"
"4427238","Dillon Gabriel","UCF","American Athletic","passing","INT","3"
"4029846","Bryson Armstrong","UCF","American Athletic","defensive","TD","0"
"4684959","John Williams","Cincinnati","American Athletic","defensive","PD","0"
"4568643","Jett Hendrix","Tulsa","American Athletic","defensive","TOT","7"
"4427625","Amari Johnson","UCF","American Athletic","rushing","YPC","3.9"
"4685048","Rishi Rattan","Tulane","American Athletic","defensive","QB HUR","0"
"4371857","Mitchell West","Navy","American Athletic","defensive","TFL","0"
"4361816","Jeffery Johnson","Tulane","American Athletic","defensive","SOLO","20"
"4428149","Daniel Obarski","UCF","American Athletic","rushing","LONG","13"
"4568646","Abe Anderson","Tulsa","American Athletic","kickReturns","AVG","0.0"
"4569308","Justin Harris","Cincinnati","American Athletic","defensive","SOLO","0"
"4240256","D.J. Small","Houston","American Athletic","defensive","PD","1"
"4605851","Ben Knox","South Florida","American Athletic","defensive","TOT","1"
"4428549","Kenney Solomon","Tulsa","American Athletic","kickReturns","LONG","27"
"4613110","Joshua Hastings","Memphis","American Athletic","defensive","SOLO","1"
"4690120","Johnny Richardson","UCF","American Athletic","fumbles","REC","0"
"4570629","Quade Mosier","UCF","American Athletic","defensive","TOT","5"
"4430905","Jadon Thompson","Cincinnati","American Athletic","receiving","TD","0"
"4360877","Vincent Davis","South Florida","American Athletic","defensive","SACKS","0"
"4029857","Ezra Naylor","Tulsa","American Athletic","fumbles","REC","0"
"4428811","Xavier Weaver","South Florida","American Athletic","fumbles","FUM","1"
"4037655","Jon-Michael Terry","Tulsa","American Athletic","defensive","TFL","2"
"4568648","Mitchell Kulkin","Tulsa","American Athletic","defensive","QB HUR","1"
"4567471","Jeremy Lewis","East Carolina","American Athletic","defensive","TOT","49"
"4427238","Dillon Gabriel","UCF","American Athletic","passing","ATT","102"
"4610131","Parker Navarro","UCF","American Athletic","rushing","YPC","7.7"
"4568551","Mark Walker","Navy","American Athletic","kickReturns","AVG","17.0"
"4686161","Johnny Hodges","Navy","American Athletic","defensive","PD","4"
"4362149","Keyshawn Paul","Temple","American Athletic","defensive","TD","0"
"4571563","Sean Atkins","South Florida","American Athletic","receiving","LONG","23"
"4371888","Kevin Brennan","Navy","American Athletic","interceptions","AVG","15.0"
"4568613","Tayvon Ruley","Temple","American Athletic","rushing","TD","2"
"4241374","Grant Calcaterra","SMU","American Athletic","receiving","YPR","12.2"
"4029846","Bryson Armstrong","UCF","American Athletic","defensive","QB HUR","4"
"4360131","Holton Ahlers","East Carolina","American Athletic","punting","In 20","1"
"4898730"," Team","Cincinnati","American Athletic","rushing","YPC","-1.0"
"4433861","Xavier McIver","East Carolina","American Athletic","defensive","SACKS","0"
"4880682","Mbiti Williams Jr.","Navy","American Athletic","puntReturns","AVG","0.0"
"4360653","L.J. Wallace","Tulsa","American Athletic","kickReturns","NO","1"
"4689546","Danny Gray","SMU","American Athletic","receiving","YDS","803"
"4433896","Everitt Rogers","Tulsa","American Athletic","defensive","SOLO","4"
"4034772","Seth Green","Houston","American Athletic","passing","YDS","0"
"4360980","Kyle Dobbins","Temple","American Athletic","receiving","REC","3"
"4360075","Ryan Montgomery","Cincinnati","American Athletic","puntReturns","LONG","30"
"4431185","Malachi Jones","Tulsa","American Athletic","defensive","QB HUR","0"
"4372367","Kendarin Ray","Tulsa","American Athletic","defensive","PD","0"
"4568294","Christian Williams","South Florida","American Athletic","interceptions","TD","0"
"4567601","Darian Varner","Temple","American Athletic","defensive","SOLO","17"
"4360192","Ja'Kori Morgan","Houston","American Athletic","puntReturns","LONG","7"
"-7689"," Team","Tulane","American Athletic","fumbles","REC","0"
"4880562","Mack Gresham","South Florida","American Athletic","defensive","TD","0"
"4691710","Joshua Green","South Florida","American Athletic","defensive","SACKS","0"
"4608781","Suirad Ware","East Carolina","American Athletic","fumbles","REC","1"
"4371866","Diego Fagot","Navy","American Athletic","fumbles","REC","1"
"4371866","Diego Fagot","Navy","American Athletic","interceptions","AVG","0.0"
"4568643","Jett Hendrix","Tulsa","American Athletic","defensive","TFL","0"
"4428557","Tyjae Spears","Tulane","American Athletic","kickReturns","NO","2"
"4568537","Ebissa Sambo","Navy","American Athletic","defensive","TD","0"
"4360293","Keith Brown Jr.","Memphis","American Athletic","defensive","TD","0"
"4567471","Jeremy Lewis","East Carolina","American Athletic","defensive","QB HUR","5"
"4243912","Jaylon Monroe","Tulane","American Athletic","fumbles","LOST","0"
"4257600","Alex Swenson","UCF","American Athletic","defensive","TD","0"
