"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4568312","Jordan Houston","NC State","ACC","rushing","LONG","16"
"4426883","DeWayne Carter","Duke","ACC","fumbles","FUM","0"
"4426698","Tatum Bethune","Florida State","ACC","fumbles","REC","1"
"5092508","Colbie Young","Miami","ACC","receiving","TD","5"
"4361351","Jaelen Gill","Boston College","ACC","fumbles","FUM","1"
"4372765","C'Bo Flemister","Pittsburgh","ACC","fumbles","FUM","1"
"4360986","Khris Banks","Boston College","ACC","defensive","TOT","20"
"4427348","Te'Cory Couch","Miami","ACC","defensive","TOT","37"
"4360799","Jordan Travis","Florida State","ACC","passing","PCT","0.640"
"4701541","Ty Clemons","Boston College","ACC","defensive","TFL","1.5"
"4685374","Rodney Hill","Florida State","ACC","rushing","YDS","144"
"4432215","Stephen Gosnell","Virginia Tech","ACC","defensive","TFL","0"
"4374499","Nicario Harper","Louisville","ACC","defensive","SACKS","0"
"4690792","Brian Balom","Miami","ACC","defensive","TD","0"
"4688818","D.J. Jones","North Carolina","ACC","fumbles","LOST","1"
"4837474","Clayton Powell-Lee","Georgia Tech","ACC","defensive","TOT","46"
"4432703","Jake Garcia","Miami","ACC","rushing","LONG","14"
"4428484","Shitta Sillah","Boston College","ACC","defensive","SACKS","0"
"4430813","Chantz Williams","Miami","ACC","defensive","PD","0"
"4360801","Jarrett Jackson","Florida State","ACC","defensive","SOLO","2"
"4429020","D.J. Uiagalelei","Clemson","ACC","punting","In 20","0"
"4432387","Nate Mccollum","Georgia Tech","ACC","defensive","TFL","0"
"4608753","Wilfried Pene","Virginia Tech","ACC","defensive","QB HUR","1"
"4838514","Kyle Efford","Georgia Tech","ACC","defensive","QB HUR","0"
"4837391","Maurice Turner","Louisville","ACC","rushing","TD","0"
"4688817","Elijah Green","North Carolina","ACC","rushing","YDS","558"
"4431467","Marlowe Wax","Syracuse","ACC","fumbles","LOST","0"
"4426410","Mycah Pittman","Florida State","ACC","puntReturns","TD","0"
"4911851","Lequint Allen","Syracuse","ACC","defensive","SACKS","0"
"5081453","Jack Smith","Clemson","ACC","punting","LONG","47"
"4685444","Jeadyn Lukus","Clemson","ACC","defensive","QB HUR","0"
"4240723","Carter Warren","Pittsburgh","ACC","rushing","LONG","0"
"4688819","Jalen Brooks","North Carolina","ACC","kickReturns","NO","1"
"4567044","Taylor Morin","Wake Forest","ACC","defensive","TD","0"
"4362503","Dee Wiggins","Louisville","ACC","defensive","PD","0"
"4691888","K.J. Cloyd","Louisville","ACC","defensive","PD","0"
"4569658","Darian Chestnut","Syracuse","ACC","interceptions","YDS","0"
"4575862","Trebor Pena","Syracuse","ACC","puntReturns","YDS","182"
"4362498","Gilbert Frierson","Miami","ACC","interceptions","AVG","32.0"
"4426471","Keontra Smith","Miami","ACC","defensive","TD","0"
"4429939","Jawhar Jordan","Louisville","ACC","fumbles","LOST","1"
"4428237","Jalyn Phillips","Clemson","ACC","defensive","TOT","63"
"4685526","Adam Randall","Clemson","ACC","receiving","YPR","12.8"
"4372768","Phil Jurkovec","Boston College","ACC","rushing","YPC","-0.5"
"4568217","Tyler Davis","Clemson","ACC","fumbles","FUM","0"
"4360414","Rocky Shelton II","Duke","ACC","kickReturns","YDS","12"
"4360304","Xavier Thomas","Clemson","ACC","defensive","QB HUR","2"
"4683716","Khalil Anderson","Pittsburgh","ACC","puntReturns","AVG","3.0"
"4361665","Christopher Dunn","NC State","ACC","kicking","XPM","30"
"4568658","Daniel Carter","Pittsburgh","ACC","defensive","QB HUR","0"
"4372757","Derrik Allen","Georgia Tech","ACC","defensive","SACKS","0"
"4568222","Jonathan Weitz","Clemson","ACC","kicking","LONG","0"
"4710855","Konata Mumpfield","Pittsburgh","ACC","rushing","YDS","3"
"4249636","Darius Joiner","Duke","ACC","defensive","TOT","90"
"4568505","Mikel Jones","Syracuse","ACC","fumbles","FUM","0"
"4832874","Bryce Duke","Virginia Tech","ACC","defensive","QB HUR","0"
"4426464","KJ Wallace","Georgia Tech","ACC","defensive","TD","0"
"4690962","Ja'Had Carter","Syracuse","ACC","defensive","TFL","0.5"
"4431353","Xavier Restrepo","Miami","ACC","puntReturns","LONG","0"
"4565536","Dave Herard","Virginia","ACC","defensive","TFL","0"
"4707203","Shyheim Brown","Florida State","ACC","defensive","TOT","31"
"4880229","Caleb Junko","Pittsburgh","ACC","punting","YPP","48.7"
"4685334","A.J. Duffy","Florida State","ACC","rushing","YDS","5"
"4360572","Charlie Thomas","Georgia Tech","ACC","defensive","TOT","112"
"4696686","Deuce Spann","Florida State","ACC","rushing","LONG","16"
"4685488","MJ Morris","NC State","ACC","passing","YDS","648"
"4824124","Alex Broome","Boston College","ACC","rushing","YDS","225"
"4429531","Jared Dawson","Louisville","ACC","defensive","TFL","3.0"
"4246097","Jack Chambers","NC State","ACC","receiving","YPR","-5.0"
"4370799","Coen King","Virginia","ACC","defensive","TOT","44"
"4241944","Marcus Minor","Pittsburgh","ACC","defensive","TD","0"
"4873608","Joe Fusile","Georgia Tech","ACC","defensive","TFL","0"
"4873608","Joe Fusile","Georgia Tech","ACC","defensive","SOLO","1"
"4683182","Nate Yarnell","Pittsburgh","ACC","passing","TD","1"
"4565553","Elijah Howard","Virginia Tech","ACC","defensive","TD","0"
"4430885","Ja'Khi Douglas","Florida State","ACC","receiving","LONG","27"
"4688817","Elijah Green","North Carolina","ACC","receiving","YDS","107"
"4683567","Will Towns","Wake Forest","ACC","defensive","TFL","0"
"5081432","Antonio Williams","Clemson","ACC","kickReturns","LONG","26"
"4427789","Keyon Lesane","NC State","ACC","defensive","SOLO","3"
"4360805","Hassan Hall","Georgia Tech","ACC","kickReturns","LONG","41"
"4708487","Jaquez Moore","Duke","ACC","rushing","TD","5"
"4431045","John Copenhaver","North Carolina","ACC","defensive","TOT","1"
"4241884","Derrek Pitts","NC State","ACC","defensive","TD","0"
"4568457","Justin Pollock","Virginia Tech","ACC","defensive","SOLO","0"
"4568662","Brandon Hill","Pittsburgh","ACC","fumbles","LOST","0"
"4685405","Cam Johnson","Virginia Tech","ACC","defensive","PD","0"
"4362233","Wyatt Rector","Florida State","ACC","passing","YDS","2"
"4429249","Justin Barron","Syracuse","ACC","defensive","SACKS","1"
"4426466","Cam'Ron Kelly","North Carolina","ACC","defensive","TFL","0.5"
"4568661","Brandon George","Pittsburgh","ACC","defensive","TOT","9"
"4567044","Taylor Morin","Wake Forest","ACC","kickReturns","LONG","23"
"4427068","M.J. Devonshire","Pittsburgh","ACC","puntReturns","TD","1"
"4431008","Jasheen Davis","Wake Forest","ACC","defensive","SACKS","6.5"
"4806851","Sean FitzSimmons","Pittsburgh","ACC","defensive","SOLO","1"
"4686328","Malik Bowen-Sims","Duke","ACC","defensive","SOLO","1"
"4685382","Omarion Hampton","North Carolina","ACC","fumbles","REC","0"
"4432575","Akelo Stone","Georgia Tech","ACC","defensive","PD","1"
