"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4692810","Greg Rose","Maryland","Big Ten","defensive","TOT","0"
"4569439","David Ellis","Indiana","Big Ten","kickReturns","TD","0"
"4371949","Jamar Johnson","Indiana","Big Ten","defensive","SOLO","32"
"4430026","Michael Lantz","Minnesota","Big Ten","kicking","PCT","0"
"4240799","Damian Jackson","Nebraska","Big Ten","defensive","TOT","5"
"4426454","Lance LeGendre","Maryland","Big Ten","passing","YPA","5.2"
"4429110","Lathan Ransom","Ohio State","Big Ten","defensive","PD","1"
"4696693","Tre'von Riggins","Illinois","Big Ten","defensive","SACKS","0"
"4570411","Cam Allen","Purdue","Big Ten","defensive","SOLO","22"
"4360636","Jordan Mosley","Maryland","Big Ten","defensive","PD","2"
"4569499","Colton Spangler","Maryland","Big Ten","punting","TB","0"
"4259590","Tariq Castro-Fields","Penn State","Big Ten","defensive","QB HUR","0"
"4258210","Luiji Vilain","Michigan","Big Ten","defensive","TD","0"
"4362054","Mitchell Crawford","Michigan State","Big Ten","punting","NO","9"
"4687475","Cam Porter","Northwestern","Big Ten","receiving","YPR","6.3"
"4432552","Darius Snow","Michigan State","Big Ten","defensive","PD","0"
"4046533","Will Hart","Michigan","Big Ten","punting","NO","4"
"4046712","Matt Coghlin","Michigan State","Big Ten","kicking","PCT","0.750"
"4361266","Greg Newsome II","Northwestern","Big Ten","interceptions","YDS","0"
"4428113","Quinton Newsome","Nebraska","Big Ten","defensive","SACKS","0"
"4361361","Antwuan Jackson","Ohio State","Big Ten","defensive","TOT","11"
"4372505","Payne Durham","Purdue","Big Ten","receiving","YPR","10.4"
"4382465","Chris Jackson","Michigan State","Big Ten","defensive","TOT","3"
"4372046","Fa'Najae Gotay","Maryland","Big Ten","defensive","PD","0"
"4372559","Chase Wolf","Wisconsin","Big Ten","passing","COMPLETIONS","6"
"4240542","Nate Hobbs","Illinois","Big Ten","defensive","TD","0"
"4367207","Matt Alaimo","Rutgers","Big Ten","defensive","PD","0"
"4035730","Semisi Fakasiieiki","Purdue","Big Ten","defensive","TFL","1"
"4360956","Mariano Sori-Marin","Minnesota","Big Ten","defensive","PD","3"
"4430470","TJ Sheffield","Purdue","Big Ten","receiving","REC","2"
"4360508","Terry Roberts","Iowa","Big Ten","defensive","TOT","9"
"4693374","Jack Van Dyke","Wisconsin","Big Ten","kicking","XPM","0"
"4259305","Bo Melton","Rutgers","Big Ten","rushing","LONG","44"
"4429579","Michael Dixon","Minnesota","Big Ten","defensive","TOT","5"
"4427316","Marvin Grant","Purdue","Big Ten","defensive","TFL","3"
"4372071","Hassan Haskins","Michigan","Big Ten","passing","YDS","0"
"4258248","Peyton Hendershot","Indiana","Big Ten","defensive","QB HUR","0"
"4426454","Lance LeGendre","Maryland","Big Ten","passing","PCT","0.750"
"4036130","Keith Duncan","Iowa","Big Ten","kicking","XPA","27"
"4240573","Ihmir Smith-Marsette","Iowa","Big Ten","rushing","LONG","31"
"4241994","Marcus Williamson","Ohio State","Big Ten","defensive","SACKS","0"
"4382480","William Przystup","Nebraska","Big Ten","punting","YPP","41.3"
"4426388","Jameson Williams","Ohio State","Big Ten","receiving","LONG","45"
"4569536","Keonte Schad","Minnesota","Big Ten","defensive","TOT","8"
"4360935","Terell Smith","Minnesota","Big Ten","defensive","QB HUR","0"
"4360637","Jeshaun Jones","Maryland","Big Ten","receiving","TD","1"
"4360498","Logan Klemp","Iowa","Big Ten","defensive","SACKS","0"
"4360499","Tyler Linderbaum","Iowa","Big Ten","defensive","SOLO","3"
"4432237","Gus Hartwig","Purdue","Big Ten","defensive","PD","0"
"4240573","Ihmir Smith-Marsette","Iowa","Big Ten","fumbles","FUM","1"
"4241401","Trey Sermon","Ohio State","Big Ten","receiving","TD","0"
"4569371","Isaiah Williams","Illinois","Big Ten","passing","ATT","63"
"4385430","Xavier Johnson","Ohio State","Big Ten","kickReturns","NO","1"
"4240573","Ihmir Smith-Marsette","Iowa","Big Ten","rushing","CAR","7"
"4569499","Colton Spangler","Maryland","Big Ten","punting","In 20","5"
"4036124","Shaun Beyer","Iowa","Big Ten","receiving","YPR","14.4"
"4372506","Lawrence Johnson","Purdue","Big Ten","defensive","TFL","0"
"4260372","Alec McEachern","Illinois","Big Ten","kickReturns","NO","1"
"4360950","Brock Walker","Minnesota","Big Ten","kicking","FGA","3"
"4035767","Garrett Groshek","Wisconsin","Big Ten","rushing","TD","2"
"4259325","Tijaun Mason","Rutgers","Big Ten","defensive","SACKS","0"
"4241401","Trey Sermon","Ohio State","Big Ten","rushing","CAR","116"
"4361261","A.J. Hampton","Northwestern","Big Ten","defensive","QB HUR","0"
"4242292","Earnest Brown IV","Northwestern","Big Ten","defensive","SACKS","1"
"4430853","Darrion Henry","Ohio State","Big Ten","defensive","TOT","1"
"4428396","Hayden Rucci","Wisconsin","Big Ten","defensive","TD","0"
"4362238","Chase Brown","Illinois","Big Ten","rushing","TD","3"
"4361278","Raymond Niro III","Northwestern","Big Ten","receiving","REC","2"
"4033810","Christian Bobak","Illinois","Big Ten","defensive","TD","0"
"4240577","Brandon Smith","Iowa","Big Ten","receiving","TD","2"
"4360389","Khalan Tolson","Illinois","Big Ten","defensive","TD","0"
"4426385","Zach Charbonnet","Michigan","Big Ten","rushing","LONG","70"
"4242270","Kyric McGowan","Northwestern","Big Ten","defensive","TD","0"
"4241991","Jaylen Harris","Ohio State","Big Ten","defensive","PD","0"
"4429148","Theo Johnson","Penn State","Big Ten","receiving","LONG","23"
"4430073","Devin Chandler","Wisconsin","Big Ten","receiving","REC","2"
"4036130","Keith Duncan","Iowa","Big Ten","kicking","FGA","18"
"4570044","Jaquan Brisker","Penn State","Big Ten","defensive","SOLO","33"
"4360423","Michael Penix Jr.","Indiana","Big Ten","rushing","YPC","1.4"
"4427163","Myles Farmer","Nebraska","Big Ten","defensive","PD","0"
"4242339","Tyler Mais","Wisconsin","Big Ten","defensive","TOT","5"
"4372574","John Chenal","Wisconsin","Big Ten","defensive","TOT","8"
"4698116","Cedrice Paillant","Rutgers","Big Ten","defensive","SOLO","1"
"4565544","Clyde Washington","Purdue","Big Ten","defensive","PD","0"
"4034856","Collin Miller","Nebraska","Big Ten","defensive","SOLO","9"
"4382470","Elijah Collins","Michigan State","Big Ten","defensive","TFL","0"
"4034776","Phillip Howard","Minnesota","Big Ten","defensive","SACKS","0"
"4360400","Daniel Barker","Illinois","Big Ten","defensive","QB HUR","0"
"4373382","DeJuan Ellis","Maryland","Big Ten","kickReturns","NO","4"
"4035785","Noah Burks","Wisconsin","Big Ten","defensive","TFL","1"
"4430027","Sam LaPorta","Iowa","Big Ten","kickReturns","NO","2"
"4429006","Rakim Jarrett","Maryland","Big Ten","kickReturns","AVG","19.0"
"4700060","Jason Gold, Jr.","Northwestern","Big Ten","defensive","TFL","1"
"4361421","PJ Mustipher","Penn State","Big Ten","defensive","TOT","35"
"4696689","Hugh Robertson","Illinois","Big Ten","punting","LONG","38"
"4698112","Aaron Lewis","Rutgers","Big Ten","defensive","TFL","1.0"
"4259590","Tariq Castro-Fields","Penn State","Big Ten","defensive","SACKS","0"
"4360484","Daviyon Nixon","Iowa","Big Ten","defensive","SACKS","5.5"
"4260224","Jordan Stout","Penn State","Big Ten","kicking","FGM","2"
"4569500","Brandon Wright","Michigan State","Big Ten","receiving","TD","0"
"4260372","Alec McEachern","Illinois","Big Ten","kickReturns","YDS","1"
"4692806","Challen Faamatau","Maryland","Big Ten","receiving","TD","0"
"4036136","Dalles Jacobus","Iowa","Big Ten","defensive","TD","0"
"4685092","Ryan Watts","Ohio State","Big Ten","defensive","SOLO","5"
"4372054","David Brownlee","Maryland","Big Ten","defensive","SACKS","0"
"4258194","Kwity Paye","Michigan","Big Ten","defensive","SOLO","11"
"4427569","Giles Jackson","Michigan","Big Ten","defensive","TD","1"
"4241958","Noah Harvey","Michigan State","Big Ten","defensive","TFL","5.0"
"4431374","Marvin Scott III","Nebraska","Big Ten","defensive","PD","0"
"4426648","Hakeem Beamon","Penn State","Big Ten","defensive","TD","0"
"4385439","Trayvon Wilburn","Ohio State","Big Ten","defensive","TOT","1"
"4429888","Jestin Jacobs","Iowa","Big Ten","defensive","SOLO","2"
"4241966","Dominique Long","Michigan State","Big Ten","defensive","TFL","0"
"4427003","Kyron Cumby","Illinois","Big Ten","receiving","REC","3"
"4382472","David Kruse","Michigan State","Big Ten","defensive","SACKS","0"
"4427612","Rodas Johnson","Wisconsin","Big Ten","defensive","TOT","1"
