"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"5122147","Vaughn Blue","Liberty","Conference USA","rushing","YDS","116"
"4433945","Elijah Young","Western Kentucky","Conference USA","rushing","YDS","490"
"4605951","C.J. Daniels","Liberty","Conference USA","receiving","LONG","75"
"4875896","Desmyn Baker","Western Kentucky","Conference USA","interceptions","AVG","4.0"
"4433945","Elijah Young","Western Kentucky","Conference USA","kickReturns","TD","0"
"4905593","Brylan Green","Liberty","Conference USA","puntReturns","NO","8"
"4916954","Jibreel Al-Amin","Jacksonville State","Conference USA","defensive","TOT","16"
"4427841","Billy Lucas","Liberty","Conference USA","receiving","YDS","60"
"4363154","Cecil Singleton","Louisiana Tech","Conference USA","defensive","SOLO","43"
"4911952","Keyshaun Elliott","New Mexico State","Conference USA","fumbles","REC","1"
"4878503","Antonio Patterson","Florida International","Conference USA","rushing","CAR","14"
"4430820","Jayson Jones","Jacksonville State","Conference USA","rushing","CAR","1"
"4819240","Te'Sean Smoot","Jacksonville State","Conference USA","rushing","YDS","18"
"5085259","Ashton Frye","Jacksonville State","Conference USA","passing","COMPLETIONS","5"
"4578871","Brevin Randle","Louisiana Tech","Conference USA","defensive","TD","0"
"4879521","Christian Pavon","Sam Houston State","Conference USA","defensive","QB HUR","0"
"5099612","Dax Horany","Sam Houston State","Conference USA","defensive","TOT","2"
"4912218","Cyrus Allen","Louisiana Tech","Conference USA","kickReturns","NO","8"
"4685440","Kyle Lowe","Middle Tennessee","Conference USA","passing","YDS","-1"
"5151199","Malik Phillips","Sam Houston State","Conference USA","receiving","TD","1"
"4874450","Nick Brown","Liberty","Conference USA","kicking","PCT","0.500"
"5171077","Zack Dobson","Middle Tennessee","Conference USA","receiving","LONG","17"
"5159357","Yamil Oaxaca","UTEP","Conference USA","defensive","QB HUR","0"
"4914830","Easton Messer","Western Kentucky","Conference USA","defensive","TD","0"
"4608896","Chase Gabriel","Florida International","Conference USA","kicking","XPA","23"
"4714090","Tom Ellard","Western Kentucky","Conference USA","punting","In 20","15"
"-7905"," Team","Western Kentucky","Conference USA","rushing","YPC","-1.2"
"5151177","Kadarion Johnson","UTEP","Conference USA","defensive","TOT","18"
"4832806","Jonathan Brady","New Mexico State","Conference USA","defensive","PD","0"
"5151178","Oscar Moore","UTEP","Conference USA","interceptions","AVG","19.5"
"5088887","Amier Boyd-Matthews","UTEP","Conference USA","defensive","PD","3"
"5150909","Garrison Rippa","Jacksonville State","Conference USA","defensive","SOLO","1"
"5150905","Travis Franklin Jr.","Jacksonville State","Conference USA","defensive","SOLO","4"
"5150988","Marquis Bell","Liberty","Conference USA","defensive","QB HUR","0"
"4364487","Ryan Rivera","Louisiana Tech","Conference USA","defensive","PD","0"
"5158419","T.J. Snowden","Florida International","Conference USA","defensive","PD","0"
"4687358","J'Dan Burnett","Louisiana Tech","Conference USA","defensive","PD","0"
"4917627","Dakota Williams","Louisiana Tech","Conference USA","defensive","SACKS","0"
"5121623","Keith Willis","Louisiana Tech","Conference USA","defensive","PD","0"
"4917428","Jackson Lee","Florida International","Conference USA","defensive","SOLO","0"
"5162413","Nathan Pirolli","Liberty","Conference USA","defensive","PD","0"
"5085427","Denzil Alleyne","Western Kentucky","Conference USA","receiving","YDS","8"
"4833613","Joshua Wiggins","Liberty","Conference USA","defensive","TD","0"
