"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4427816","Marist Liufau","Notre Dame","FBS Independents","defensive","SACKS","3.0"
"4427288","Kevon Glenn","Connecticut","FBS Independents","defensive","TOT","4"
"4912052","Justin Joly","Connecticut","FBS Independents","receiving","REC","56"
"4690467","Joe McFadden","Connecticut","FBS Independents","defensive","PD","0"
"4577317","Quindrelin Hammonds","Army","FBS Independents","defensive","SACKS","2.5"
"5170890","John Burton","UMass","FBS Independents","defensive","SOLO","1"
"4361994","Sam Hartman","Notre Dame","FBS Independents","receiving","TD","0"
"5150300","Champ Harris","Army","FBS Independents","passing","TD","0"
"4689810","Aaron Bibbins","Army","FBS Independents","defensive","PD","0"
"4685694","Steven Angeli","Notre Dame","FBS Independents","rushing","YPC","3.4"
"4428398","Tyler Rudolph","UMass","FBS Independents","defensive","SOLO","23"
"4428926","Billy Wooden","UMass","FBS Independents","defensive","TD","0"
"4597005","Marcus Bradley","UMass","FBS Independents","defensive","TFL","3.0"
"5082148","Eric Ford","Army","FBS Independents","defensive","SACKS","0"
"4360462","Geordon Porter","Connecticut","FBS Independents","receiving","REC","22"
"4879953","Dre Miller","Army","FBS Independents","defensive","TFL","0"
"4569531","Durante Jones","Connecticut","FBS Independents","defensive","SOLO","44"
"4573522","Shawn Harris Jr.","UMass","FBS Independents","defensive","PD","1"
"4689806","Bo Nicolas-Paul","Army","FBS Independents","kickReturns","LONG","15"
"5082120","Jabril Williams","Army","FBS Independents","defensive","TD","1"
"4568683","Josh Atwood","UMass","FBS Independents","rushing","LONG","3"
"4906305","Bryce McFerson","Notre Dame","FBS Independents","punting","TB","2"
"4689826","Riley Tyson","Army","FBS Independents","rushing","TD","1"
"5082120","Jabril Williams","Army","FBS Independents","puntReturns","YDS","57"
"4870808","Jeremiyah Love","Notre Dame","FBS Independents","rushing","YPC","5.4"
"4569531","Durante Jones","Connecticut","FBS Independents","defensive","PD","1"
"4362499","Mark Pope","UMass","FBS Independents","defensive","PD","0"
"4360462","Geordon Porter","Connecticut","FBS Independents","receiving","LONG","28"
"4918125","Devan Houstan","Notre Dame","FBS Independents","defensive","SACKS","0"
