"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4701291","Donivan Wright","Eastern Michigan","Mid-American","defensive","TOT","1"
"4428358","Damari Roberson","Western Michigan","Mid-American","defensive","QB HUR","0"
"4257370","Jeremiah Knight","Akron","Mid-American","receiving","TD","0"
"4239937","Matt McDonald","Bowling Green","Mid-American","passing","PCT","0.439"
"4608750","Jonzell Norrils","Akron","Mid-American","receiving","YDS","32"
"4363529","Isaiah Watson","Eastern Michigan","Mid-American","defensive","TOT","3"
"4362318","Jack McCrory","Ohio","Mid-American","kickReturns","TD","0"
"4258185","Jaylen Kelly-Powell","Akron","Mid-American","defensive","SOLO","11"
"4244805","Jeff Hubbard","Eastern Michigan","Mid-American","interceptions","YDS","13"
"4038997","Ben Kimpler","Miami (OH)","Mid-American","defensive","SOLO","5"
"4569274","Rondarius Gregory","Northern Illinois","Mid-American","receiving","YPR","0.0"
"4570251","Tajay Ahmed","Buffalo","Mid-American","defensive","SACKS","0"
"4257370","Jeremiah Knight","Akron","Mid-American","kickReturns","AVG","20.5"
"4244720","Jimmy Daw","Ball State","Mid-American","kickReturns","LONG","8"
"4362560","Tyrone Scott","Central Michigan","Mid-American","defensive","SACKS","0"
"4244038","Andrew Clair","Bowling Green","Mid-American","rushing","CAR","52"
"4362244","Gavin Peddie","Western Michigan","Mid-American","kicking","LONG","24"
"4257370","Jeremiah Knight","Akron","Mid-American","fumbles","LOST","1"
"4569260","Henry Beckett","Miami (OH)","Mid-American","kicking","XPA","11"
"4569274","Rondarius Gregory","Northern Illinois","Mid-American","receiving","LONG","0"
"4244810","Karmi Mackey","Eastern Michigan","Mid-American","rushing","CAR","3"
"4574317","Rich Miller","Buffalo","Mid-American","defensive","QB HUR","0"
"4697845","Daniel Bangura","Kent State","Mid-American","rushing","TD","0"
"4570251","Tajay Ahmed","Buffalo","Mid-American","rushing","TD","1"
"4429630","MarShawn Foster","Western Michigan","Mid-American","defensive","TD","0"
"4373423","Karl Brooks","Bowling Green","Mid-American","defensive","QB HUR","0"
"4697845","Daniel Bangura","Kent State","Mid-American","rushing","YPC","6.4"
"4429083","Darius Boone","Eastern Michigan","Mid-American","receiving","LONG","13"
"4362276","Nate Bauer","Toledo","Mid-American","interceptions","INT","2"
"4244049","Quintin Morris","Bowling Green","Mid-American","receiving","YDS","248"
"3921960","Daniel Crawford","Northern Illinois","Mid-American","receiving","TD","1"
"4605957","Jordan Hansen","Northern Illinois","Mid-American","defensive","TOT","23"
"4686851","Charles Amankwaa","Akron","Mid-American","defensive","PD","1"
"4608004","Donte Kent","Central Michigan","Mid-American","defensive","TD","0"
"4056052","Armani Rogers","Ohio","Mid-American","passing","PCT","0.556"
"4039089","Cameron Odom","Ohio","Mid-American","rushing","YPC","2.0"
"4244818","Russ Vaden","Eastern Michigan","Mid-American","defensive","PD","1"
"4257184","Tim Terry Jr.","Buffalo","Mid-American","defensive","SACKS","0"
"4266602","Chukwudifu Ogbonna","Akron","Mid-American","defensive","TFL","0"
"4038752","Jerry Fitschen","Akron","Mid-American","punting","YDS","93"
"4570312","Josh Recker","Toledo","Mid-American","defensive","PD","0"
"4244811","Carthell Flowers","Eastern Michigan","Mid-American","defensive","TOT","15"
"4244810","Karmi Mackey","Eastern Michigan","Mid-American","fumbles","FUM","1"
"4257189","Kevin Marks","Buffalo","Mid-American","rushing","LONG","67"
