"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4429263","Leshaun Bell","UNLV","Mountain West","defensive","SACKS","0"
"4361708","Cameron Murray","Wyoming","Mountain West","defensive","SACKS","0"
"4571651","Matthew Anderson","Air Force","Mountain West","defensive","TD","0"
"4686918","Xavion Steele","Utah State","Mountain West","defensive","SACKS","0"
"4049389","Kenny Gagnon","Fresno State","Mountain West","defensive","PD","0"
"4432409","Gavin Meyer","Wyoming","Mountain West","defensive","PD","0"
"4699768","Jonah Dalmas","Boise State","Mountain West","defensive","TOT","1"
"4428423","Mathew Sanchez","Fresno State","Mountain West","defensive","TFL","0"
"4374062","Trae Hall","New Mexico","Mountain West","rushing","YPC","2.6"
"4374149","Cade Hall","San José State","Mountain West","defensive","TD","0"
"4374141","Jordan Byrd","San Diego State","Mountain West","puntReturns","YDS","28"
"4686848","Andy Peters","Boise State","Mountain West","passing","YDS","26"
"4056043","Giovanni Fauolo","UNLV","Mountain West","receiving","REC","11"
"4260703","Segun Olubi","San Diego State","Mountain West","defensive","TFL","0.5"
"4430570","Dominic Tatum","Utah State","Mountain West","defensive","PD","2"
"4693797","Michael Washington","Hawai'i","Mountain West","defensive","SOLO","10"
"4040903","Saevion Johnson","Fresno State","Mountain West","rushing","TD","0"
"4687006","Noah Wright","San José State","Mountain West","defensive","TFL","3"
"4373907","Carson King","Fresno State","Mountain West","punting","YPP","41.0"
"4256085","Miles Reed","Hawai'i","Mountain West","rushing","TD","1"
"4426519","Boone Abbott","Hawai'i","Mountain West","rushing","LONG","2"
"4608604","Wyett Ekeler","Wyoming","Mountain West","defensive","SACKS","0"
"4696870","Corvan Taylor","Air Force","Mountain West","defensive","SACKS","0"
"-7753"," Team","UNLV","Mountain West","punting","TB","0"
"4361504","BJ Busbee","San Diego State","Mountain West","defensive","SACKS","0"
"4569907","Teagan Liufau","Wyoming","Mountain West","defensive","TFL","0"
"3672865","Scott Patchan","Colorado State","Mountain West","defensive","SACKS","5.5"
"4256085","Miles Reed","Hawai'i","Mountain West","kickReturns","NO","1"
"4431053","Mac Dalena","Fresno State","Mountain West","kicking","PCT","0"
"4261173","Bobby Cole","New Mexico","Mountain West","rushing","LONG","36"
"4260437","Daniel Cantrell","Boise State","Mountain West","defensive","TD","0"
"4242994","Wylan Free","Fresno State","Mountain West","interceptions","TD","0"
"4242329","Tre White","San José State","Mountain West","defensive","TD","0"
"4685170","Wesley Kommer","Nevada","Mountain West","defensive","SOLO","1"
"4374192","Elijah Shelton","Utah State","Mountain West","fumbles","LOST","0"
"4361185","Justin McGriff","Utah State","Mountain West","defensive","SACKS","0"
"4570239","Isaiah Holiness","San José State","Mountain West","receiving","LONG","36"
"4612997","Bryce Santana","New Mexico","Mountain West","defensive","QB HUR","0"
"4361284","Quinn Brinnon","Colorado State","Mountain West","defensive","SACKS","0"
"4433844","Alex Lines","UNLV","Mountain West","kickReturns","YDS","2"
"4259240","Savon Scarver","Utah State","Mountain West","defensive","SOLO","0"
"3925446","Marshaun Cameron","Colorado State","Mountain West","interceptions","INT","1"
"4039393","Daevon Vigilant","New Mexico","Mountain West","rushing","CAR","15"
"4697231","Matthew Malloy","Air Force","Mountain West","defensive","SACKS","1"
"4382333","Ben Peterson","Air Force","Mountain West","puntReturns","TD","0"
"4500229","Christian Swint","Nevada","Mountain West","defensive","PD","1"
"4374076","Andrew Erickson","New Mexico","Mountain West","receiving","REC","18"
"4693815","Ethan Erickson","Air Force","Mountain West","defensive","PD","1"
"4361281","Rashad Ajayi","Colorado State","Mountain West","passing","TD","0"
"4700119","Jadon Pearson","Air Force","Mountain West","defensive","SOLO","2"
"4695624","Syaire Riley","New Mexico","Mountain West","defensive","QB HUR","0"
"4361496","Matt Araiza","San Diego State","Mountain West","kicking","XPM","23"
"4606179","Stephen Kotsanlee","Utah State","Mountain West","punting","LONG","63"
"4260703","Segun Olubi","San Diego State","Mountain West","rushing","TD","0"
"4570176","Aaron Lewis","UNLV","Mountain West","defensive","TOT","21"
"4608846","Tanner Hollens","Colorado State","Mountain West","rushing","YPC","-1.0"
"4361514","TJ Sullivan","San Diego State","Mountain West","receiving","LONG","27"
"4379525","Ben Bertram","New Mexico","Mountain West","defensive","TFL","1"
"4036817","Trenton Thompson","San Diego State","Mountain West","defensive","QB HUR","0"
"4246251","Kwami Jones","Fresno State","Mountain West","defensive","QB HUR","0"
"4427149","Nalu Emerson","Hawai'i","Mountain West","defensive","SOLO","0"
"4428240","Adam Plant Jr.","UNLV","Mountain West","defensive","TD","0"
"4697151","Corey Collins","Air Force","Mountain West","defensive","TD","0"
"4240350","Xazavian Valladay","Wyoming","Mountain West","receiving","TD","0"
"4242328","Tre Walker","San José State","Mountain West","fumbles","FUM","1"
"4048259","Avery Williams","Boise State","Mountain West","fumbles","LOST","2"
"4243534","Emmanuel Logan-Greene","New Mexico","Mountain West","rushing","YPC","5.6"
"4374176","Tavis Malakius","UNLV","Mountain West","defensive","TOT","20"
"4361432","Romeo Doubs","Nevada","Mountain West","puntReturns","TD","0"
"-5405"," Team","Boise State","Mountain West","passing","ATT","1"
"4361185","Justin McGriff","Utah State","Mountain West","receiving","TD","2"
"4259240","Savon Scarver","Utah State","Mountain West","receiving","LONG","26"
"4260450","Ezekiel Noa","Boise State","Mountain West","defensive","SOLO","13"
"4255937","Alii Matau","San José State","Mountain West","defensive","TD","0"
"4428767","Gavin Wale","Boise State","Mountain West","punting","NO","7"
"4362366","Malik Welch","San José State","Mountain West","defensive","PD","1"
"4570088","Connor Genal","New Mexico","Mountain West","defensive","SOLO","1"
"4256089","Penei Pavihi","Hawai'i","Mountain West","interceptions","TD","0"
"4256049","E.J. Scott","Colorado State","Mountain West","defensive","TD","0"
"4570217","James Phillips","Hawai'i","Mountain West","defensive","SOLO","0"
"4256049","E.J. Scott","Colorado State","Mountain West","defensive","QB HUR","0"
"4261182","Brandon Shook","New Mexico","Mountain West","interceptions","TD","0"
"4570454","Cesar Silva","Fresno State","Mountain West","kicking","FGA","5"
"4361496","Matt Araiza","San Diego State","Mountain West","kicking","FGM","10"
"4430570","Dominic Tatum","Utah State","Mountain West","defensive","QB HUR","0"
"4428602","Reggie Strong","Fresno State","Mountain West","defensive","QB HUR","0"
"4361287","A'Jon Vivens","Colorado State","Mountain West","rushing","YDS","208"
"4261180","Joshua Woisin","New Mexico","Mountain West","defensive","QB HUR","0"
"4038219","Jeremiah Pritchard","Hawai'i","Mountain West","defensive","TOT","31"
"4374039","Isaiah Tufaga","Hawai'i","Mountain West","defensive","QB HUR","1"
"4696738","Dondi Fuller","UNLV","Mountain West","defensive","TOT","2"
"4261608","Andrew Aleki","San Diego State","Mountain West","defensive","QB HUR","1"
"4428594","Melquan Stovall","Nevada","Mountain West","receiving","TD","0"
"4036798","Kameron Toomer","Nevada","Mountain West","fumbles","FUM","0"
"4048690","Justus Te'i","Utah State","Mountain West","defensive","TD","0"
"3722357","Sam Whitney","Boise State","Mountain West","defensive","TD","0"
"4570086","Michael LoVett III","New Mexico","Mountain West","kickReturns","LONG","25"
"4695627","Troy Sicaeros","New Mexico","Mountain West","defensive","SACKS","0"
"4570091","Reco Hannah","New Mexico","Mountain West","defensive","TFL","0.5"
"4248845","Jared Reed","Utah State","Mountain West","defensive","TFL","1"
