"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"5081694","Scotty Edwards","Stanford","Pac-12","interceptions","TD","0"
"4685472","Tetairoa Mcmillan","Arizona","Pac-12","defensive","PD","0"
"4361088","Colson Yankoff","UCLA","Pac-12","kickReturns","NO","16"
"4696981","Cameron Skattebo","Arizona State","Pac-12","punting","YDS","338"
"4362501","Brian Hightower","California","Pac-12","receiving","YDS","101"
"4870821","Cole Martin","Oregon","Pac-12","defensive","SOLO","13"
"4685333","Andre Dollar","Washington State","Pac-12","defensive","SACKS","0"
"4697633","Dylan Paine","Washington State","Pac-12","fumbles","LOST","0"
"5102800","Donavyn Pellot","UCLA","Pac-12","defensive","QB HUR","0"
"4914227","Tyler Turner","Oregon","Pac-12","defensive","TFL","0"
"4870611","Daylen Austin","Oregon","Pac-12","defensive","TFL","0"
"4837174","Darrian Anderson","Oregon","Pac-12","receiving","TD","0"
"5158471","Terrance Green","Oregon","Pac-12","defensive","SOLO","1"
"4696036","John Miller","Oregon State","Pac-12","defensive","TOT","11"
"4688380","Cameron Ward","Washington State","Pac-12","passing","YDS","3732"
"4907415","Leyton Smithson","Washington State","Pac-12","defensive","QB HUR","0"
"4426357","Kyle Ford","UCLA","Pac-12","receiving","REC","22"
"4360688","Steve Stephens","Oregon","Pac-12","defensive","SOLO","33"
"4362841","Deshaun Fenwick","Oregon State","Pac-12","passing","TD","0"
"4875267","George Hart III","Arizona State","Pac-12","receiving","LONG","5"
"4431619","Ceyair Wright","USC","Pac-12","defensive","TOT","10"
"4427874","Zahran Manley","Stanford","Pac-12","interceptions","INT","2"
"4696561","Jacob Conover","Arizona State","Pac-12","rushing","YDS","-5"
"4429189","Xavier Carlton","California","Pac-12","defensive","PD","2"
"4696981","Cameron Skattebo","Arizona State","Pac-12","punting","YPP","42.3"
"4373474","Jarrett Kingston","USC","Pac-12","defensive","TFL","0"
"4426353","Mase Funa","Oregon","Pac-12","defensive","TD","0"
"4685415","Travis Hunter","Colorado","Pac-12","fumbles","LOST","1"
"4431870","Casey Filkins","Stanford","Pac-12","receiving","REC","6"
"4432731","Moliki Matavao","UCLA","Pac-12","receiving","TD","2"
"4427090","Brandon Dorlus","Oregon","Pac-12","defensive","TFL","6.5"
"4426338","Bo Nix","Oregon","Pac-12","punting","YPP","37.0"
"4892332","Atticus Sappington","Oregon State","Pac-12","rushing","LONG","9"
"4361100","Jack Westover","Washington","Pac-12","rushing","YDS","1"
"5085883","Jake Reichle","Oregon State","Pac-12","receiving","REC","1"
