"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4712579","Dillon Bell","Georgia","SEC","rushing","LONG","29"
"4899671","Dijon Johnson","Florida","SEC","defensive","PD","0"
"5081130","Nathan Dibert","LSU","SEC","defensive","SOLO","1"
"4685471","Sam McCall","Texas A&M","SEC","defensive","SOLO","4"
"4243914","Monty Montgomery","Ole Miss","SEC","defensive","QB HUR","3"
"4869748","Zavion Thomas","Mississippi State","SEC","kickReturns","AVG","33.7"
"4685471","Sam McCall","Texas A&M","SEC","defensive","TD","0"
"4685477","Jamarion Miller","Alabama","SEC","defensive","SACKS","0"
"4907671","Anthony Evans III","Georgia","SEC","receiving","YDS","35"
"4432782","Brock Vandagriff","Georgia","SEC","passing","TD","2"
"4875079","Marcellas Dial","South Carolina","SEC","defensive","QB HUR","0"
"4426535","Theo Wease","Missouri","SEC","receiving","LONG","77"
"4691688","Robbie Ouzts","Alabama","SEC","receiving","REC","3"
"4685119","Nic Mitchell","Mississippi State","SEC","defensive","TFL","0"
"102597","Will Rogers","Mississippi State","SEC","rushing","YPC","-0.4"
"4870756","Ja'Keem Jackson","Florida","SEC","defensive","TFL","0"
"4883774","Jayden McGowan","Vanderbilt","SEC","puntReturns","LONG","29"
"4697512","Robby Ashford","Auburn","SEC","passing","PCT","0.519"
"4432725","Deontae Lawson","Alabama","SEC","defensive","QB HUR","4"
"4685171","Charlie Pollock","Ole Miss","SEC","passing","INT","1"
"5076106","Marquis Johnson","Missouri","SEC","kickReturns","YDS","147"
"-6704"," Team","Missouri","SEC","rushing","LONG","0"
"4426800","Ahmarean Brown","South Carolina","SEC","rushing","YPC","0.0"
"4426371","Nathan Pickering","Mississippi State","SEC","fumbles","REC","1"
"4431277","Koy Moore","Auburn","SEC","puntReturns","LONG","9"
"4689271","Gregory Clayton Jr.","LSU","SEC","kickReturns","TD","0"
"4362610","Kenneth Horsey","Kentucky","SEC","defensive","SOLO","1"
"5089062","BJ Diakite","Vanderbilt","SEC","defensive","PD","1"
"4694294","Debo Williams","South Carolina","SEC","fumbles","REC","1"
"4702577","Devin Moore","Florida","SEC","interceptions","TD","0"
"4808839","Isaiah Bond","Alabama","SEC","puntReturns","NO","1"
"4429141","Derek Wingo","Florida","SEC","defensive","QB HUR","2"
"4710341","Jarquez Hunter","Auburn","SEC","receiving","YDS","118"
"4427356","Kamal Hadden","Tennessee","SEC","defensive","SOLO","13"
"4871077","Javien Toviano","LSU","SEC","defensive","SOLO","18"
"4880985","Terrell Foster","Georgia","SEC","defensive","SACKS","0"
"4708488","Antonio Kite","Alabama","SEC","puntReturns","NO","1"
"4426926","Demani Richardson","Texas A&M","SEC","defensive","TD","0"
"4427080","Xavier Truss","Georgia","SEC","defensive","TOT","1"
"4717724","Rashod Dubinion","Arkansas","SEC","fumbles","LOST","0"
"5081362","Dee Williams","Tennessee","SEC","kickReturns","AVG","21.4"
"4431184","Jayson Jones","Auburn","SEC","defensive","TOT","19"
"4685524","J.D. Rhym","Auburn","SEC","defensive","TFL","0"
"5160110","Jahdae Walker","Texas A&M","SEC","receiving","TD","2"
"4565891","Will Norris","Missouri","SEC","defensive","PD","0"
"5081362","Dee Williams","Tennessee","SEC","defensive","SACKS","0"
"4611517","Demarko Williams","Ole Miss","SEC","defensive","SACKS","0"
"102597","Will Rogers","Mississippi State","SEC","passing","ATT","237"
"-6315"," Team","Kentucky","SEC","rushing","TD","0"
"5081362","Dee Williams","Tennessee","SEC","puntReturns","NO","21"
"4685144","Moose Muhammad III","Texas A&M","SEC","fumbles","LOST","0"
"4362786","BJ Anderson","Vanderbilt","SEC","defensive","TD","0"
"4595348","Malik Nabers","LSU","SEC","receiving","TD","14"
"4789907","Armand Membou","Missouri","SEC","defensive","SACKS","0"
"4608679","Will Sheppard","Vanderbilt","SEC","puntReturns","TD","0"
"4430065","Cedric Johnson","Ole Miss","SEC","defensive","TD","0"
"4917978","Cristian Conyer","Tennessee","SEC","defensive","SOLO","1"
"4606195","Demie Sumo","Kentucky","SEC","kickReturns","YDS","33"
"4432665","Brock Bowers","Georgia","SEC","receiving","YDS","714"
"4685270","Stone Blanton","South Carolina","SEC","defensive","TFL","1"
"4875181","Scooby Williams","Florida","SEC","defensive","TFL","4"
"4879617","Samuel Mathews","Texas A&M","SEC","defensive","TD","0"
"4567546","Nate Clifton","Vanderbilt","SEC","defensive","TOT","30"
"4870645","Rickie Collins","LSU","SEC","rushing","YDS","19"
"5081405","AJ Swann","Vanderbilt","SEC","passing","ATT","196"
"-7352"," Team","South Carolina","SEC","passing","COMPLETIONS","0"
"4870652","Marvin Burks Jr.","Missouri","SEC","defensive","QB HUR","0"
"4899342","Max Fletcher","Arkansas","SEC","punting","YPP","46.9"
"5119307","Daniel Blood","Missouri","SEC","receiving","TD","0"
"5089062","BJ Diakite","Vanderbilt","SEC","defensive","TFL","2.5"
"4431513","Tyler Buchner","Alabama","SEC","passing","YPA","3.2"
"4705474","Tyreese Fearbry","Kentucky","SEC","defensive","SOLO","4"
"4431219","Kyren Lacy","LSU","SEC","receiving","LONG","57"
"4578654","Jaden Walley","Mississippi State","SEC","receiving","TD","1"
"4429185","Austin Keys","Auburn","SEC","defensive","TOT","30"
"4567157","Malik Chavis","Arkansas","SEC","defensive","QB HUR","0"
"4870683","Ethan Davis","Tennessee","SEC","receiving","REC","2"
"4567416","Ja'Markis Weston","Florida","SEC","defensive","TOT","4"
"4870874","Lawson Luckie","Georgia","SEC","receiving","LONG","5"
"4431520","Chaz Chambliss","Georgia","SEC","defensive","TD","0"
"4426371","Nathan Pickering","Mississippi State","SEC","defensive","TD","0"
"4874407","DeShawn Page","Mississippi State","SEC","defensive","QB HUR","0"
