"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4606194","Seth Henigan","QB","Memphis","American Athletic","0.6237","0.9897","0.1895","0.5441","0.682","0.727","0.529","0.836"
"2023","4880272","Byrum Brown","QB","South Florida","American Athletic","0.6024","0.9474","0.3011","0.5413","0.593","0.722","0.548","0.697"
"2023","4570554","Chandler Rogers","QB","North Texas","American Athletic","0.5787","0.9118","0.1935","0.5179","0.571","0.704","0.544","0.682"
"2023","4916436","E.J. Warner","QB","Temple","American Athletic","0.5466","0.8614","0.055","0.4269","0.58","0.724","0.548","0.682"
"2023","4426417","Jacob Zeno","QB","UAB","American Athletic","0.5373","0.8861","0.1514","0.4491","0.603","0.65","0.487","0.722"
"2023","4567461","Alex Flinn","QB","East Carolina","American Athletic","0.4881","0.7531","0.1954","0.4534","0.424","0.61","0.363","0.592"
"2023","4570259","Daniel Richardson","QB","Florida Atlantic","American Athletic","0.4453","0.7733","0.0536","0.3704","0.423","0.61","0.39","0.564"
"2023","4245186","Frank Harris","QB","UT San Antonio","American Athletic","0.432","0.7467","0.1405","0.3937","0.414","0.524","0.371","0.53"
"2023","4685039","Michael Pratt","QB","Tulane","American Athletic","0.4211","0.7684","0.1596","0.3636","0.409","0.522","0.448","0.479"
"2023","4432767","Preston Stone","QB","SMU","American Athletic","0.3749","0.7044","0.0914","0.328","0.348","0.497","0.31","0.498"
"2023","4374303","JT Daniels","QB","Rice","American Athletic","0.362","0.6304","0.0341","0.3433","0.363","0.425","0.289","0.442"
"2023","4816098","Makhi Hughes","RB","Tulane","American Athletic","0.3019","0.0316","0.5131","0.3455","0.313","0.231","0.332","0.208"
"2023","4689585","Trexler Ivey","QB","Charlotte","American Athletic","0.2892","0.6129","0.0333","0.2377","0.269","0.414","0.292","0.348"
"2023","4361604","Blake Watson","RB","Memphis","American Athletic","0.2699","0.1111","0.4663","0.3088","0.252","0.227","0.276","0.189"
"2023","4574809","Jalon Jones","QB","Charlotte","American Athletic","0.2685","0.3343","0.2214","0.2191","0.277","0.352","0.243","0.337"
"2023","4569481","Anthony Watkins","RB","Tulsa","American Athletic","0.2437","0.0327","0.3947","0.3333","0.221","0.123","0.269","0.112"
"2023","4570130","Jermaine Brown Jr.","RB","UAB","American Athletic","0.2344","0.1002","0.3943","0.2794","0.202","0.178","0.272","0.128"
"2023","4686164","Tai Lavatai","QB","Navy","American Athletic","0.232","0.4839","0.1274","0.2193","0.216","0.249","0.22","0.266"
"2023","4430100","Larry McCammon III","RB","Florida Atlantic","American Athletic","0.2292","0.0668","0.4405","0.2778","0.24","0.14","0.257","0.158"
"2023","4872721","Cardell Williams","QB","Tulsa","American Athletic","0.2139","0.4077","0.0859","0.1836","0.2","0.289","0.197","0.263"
"2023","5082269","Dean Connors","RB","Rice","American Athletic","0.2072","0.1156","0.3267","0.2289","0.16","0.229","0.232","0.159"
"2023","4690143","LaJohntay Wester","WR","Florida Atlantic","American Athletic","0.194","0.3365","0.0238","0.1605","0.211","0.238","0.144","0.267"
"2023","5081526","Alex Tecza","FB","Navy","American Athletic","0.1927","0.0737","0.2432","0.2392","0.199","0.116","0.21","0.114"
"2023","4432138","Mason Garcia","QB","East Carolina","American Athletic","0.1873","0.2369","0.1351","0.1511","0.188","0.25","0.187","0.225"
"2023","4567400","Nay'Quan Wright","RB","South Florida","American Athletic","0.1869","0.0253","0.3352","0.2179","0.198","0.127","0.235","0.126"
"2023","4869321","AJ Padgett","QB","Rice","American Athletic","0.1848","0.288","0.0597","0.1499","0.211","0.216","0.149","0.255"
"2023","4590347","Rahjai Harris","RB","East Carolina","American Athletic","0.1807","0.0249","0.3649","0.2347","0.2","0.07","0.228","0.102"
"2023","4688595","Kevorian Barnes","RB","UT San Antonio","American Athletic","0.1654","0.0306","0.2955","0.1836","0.176","0.111","0.192","0.123"
"2023","4875861","Ayo Adeyi","RB","North Texas","American Athletic","0.1653","0.0168","0.3467","0.2168","0.16","0.083","0.165","0.1"
"2023","4686167","Xavier Arline","QB","Navy","American Athletic","0.1615","0.235","0.1313","0.1329","0.148","0.231","0.166","0.194"
"2023","5151618","Kirk Francis","QB","Tulsa","American Athletic","0.1553","0.3631","0.0164","0.1158","0.157","0.23","0.106","0.241"
"2023","5151317","Robert Henry","RB","UT San Antonio","American Athletic","0.1528","0.0437","0.2583","0.1691","0.166","0.106","0.184","0.107"
"2023","4429043","Jaylan Knighton","RB","SMU","American Athletic","0.1473","0.0356","0.2471","0.1651","0.166","0.086","0.199","0.073"
"2023","4427630","Oscar Adaway III","RB","North Texas","American Athletic","0.1461","0.0294","0.2889","0.1556","0.157","0.107","0.189","0.104"
"2023","5084084","Kevin Jennings","QB","SMU","American Athletic","0.1411","0.2378","0.0584","0.117","0.135","0.203","0.088","0.218"
"2023","4362569","Kobe Lewis","RB","Florida Atlantic","American Athletic","0.1406","0.0597","0.247","0.179","0.126","0.085","0.123","0.109"
"2023","4426948","Luke McCaffrey","WR","Rice","American Athletic","0.1386","0.22","0.0398","0.1281","0.172","0.092","0.113","0.167"
"2023","4430845","Darvon Hubbard","RB","Temple","American Athletic","0.133","0.0554","0.2654","0.1633","0.098","0.129","0.161","0.077"
"2023","4362538","Juma Otoviano","RB","Rice","American Athletic","0.1323","0.0363","0.2557","0.1635","0.152","0.046","0.165","0.064"
"2023","5158343","Braxton Woodson","QB","Navy","American Athletic","0.1221","0.2212","0.0811","0.0963","0.127","0.168","0.073","0.194"
"2023","4432718","LJ Johnson Jr.","RB","SMU","American Athletic","0.1153","0.0244","0.1965","0.1468","0.11","0.07","0.126","0.062"
"2023","4683319","Bill Jackson","RB","Tulsa","American Athletic","0.1147","0.0208","0.182","0.1384","0.121","0.07","0.12","0.086"
"2023","4708067","Kai Horton","QB","Tulane","American Athletic","0.1135","0.2237","0.0303","0.1065","0.085","0.137","0.092","0.143"
"2023","4428438","Edward Saydee","RB","Temple","American Athletic","0.1112","0.0495","0.2168","0.1433","0.117","0.059","0.106","0.077"
"2023","4362073","Casey Thompson","QB","Florida Atlantic","American Athletic","0.1107","0.1838","0.0238","0.0957","0.126","0.134","0.086","0.147"
"2023","4571563","Sean Atkins","WR","South Florida","American Athletic","0.1098","0.2189","0.0133","0.1101","0.123","0.093","0.083","0.124"
"2023","4880964","Terron Kellman","RB","Charlotte","American Athletic","0.1089","0.0088","0.1929","0.1265","0.126","0.056","0.124","0.081"
"2023","4426893","Joshua Cephus","WR","UT San Antonio","American Athletic","0.1064","0.2205","0","0.0942","0.103","0.143","0.098","0.127"
"2023","4433827","Rocko Griffin","RB","UT San Antonio","American Athletic","0.1054","0.0197","0.188","0.1353","0.094","0.063","0.102","0.067"
"2023","4880697","Daba Fofana","FB","Navy","American Athletic","0.1045","0.023","0.139","0.0997","0.11","0.104","0.161","0.068"
"2023","4361959","Quincy Patterson II","QB","Temple","American Athletic","0.104","0.103","0.11","0.0974","0.098","0.118","0.116","0.112"
"2023","4880511","Jordan Ford","RB","Tulsa","American Athletic","0.0992","0.0298","0.1493","0.1186","0.104","0.059","0.106","0.068"
"2023","4600403","Braylon Braxton","QB","Tulsa","American Athletic","0.0968","0.1369","0.0716","0.0593","0.118","0.112","0.091","0.147"
"2023","4805256","Sutton Smith","RB","Memphis","American Athletic","0.0941","0.0432","0.1571","0.1324","0.087","0.029","0.097","0.037"
"2023","4431597","Roc Taylor","WR","Memphis","American Athletic","0.0885","0.1605","0.0025","0.0858","0.091","0.093","0.047","0.131"
"2023","4432785","Camar Wheaton","RB","SMU","American Athletic","0.0865","0.0067","0.1576","0.0963","0.103","0.048","0.126","0.038"
"2023","4426840","Shadrick Byrd","RB","Charlotte","American Athletic","0.0856","0.0205","0.1405","0.0926","0.095","0.062","0.07","0.084"
"2023","4432297","Isaiah Jacobs","RB","UAB","American Athletic","0.0853","0.0387","0.141","0.1149","0.079","0.038","0.079","0.043"
"2023","4685087","Kamdyn Benjamin","WR","Tulsa","American Athletic","0.0824","0.2024","0.002","0.048","0.057","0.187","0.087","0.122"
"2023","5081517","Brandon Chatman","RB","Navy","American Athletic","0.0814","0.0876","0.0792","0.1196","0.064","0.046","0.054","0.055"
"2023","5091725","Lee Beebe","RB","UAB","American Athletic","0.0793","0.0342","0.1332","0.094","0.09","0.032","0.07","0.064"
"2023","4912067","Chase Sowell","WR","East Carolina","American Athletic","0.0765","0.1446","0","0.045","0.068","0.14","0.07","0.113"
"2023","4775136","Owen McCown","QB","UT San Antonio","American Athletic","0.0759","0.131","0.0248","0.0604","0.075","0.116","0.082","0.093"
"2023","4379405","Jaylen Johnson","WR","East Carolina","American Athletic","0.0752","0.1421","0","0.074","0.052","0.105","0.035","0.099"
"2023","4705930","Hahsaun Wilson","RB","Charlotte","American Athletic","0.0726","0.0059","0.1286","0.0988","0.075","0.025","0.103","0.029"
"2023","5091739","Chris Brazzell II","WR","Tulane","American Athletic","0.0704","0.1632","0","0.0675","0.043","0.121","0.052","0.089"
"2023","4430270","Jay Maclin","WR","North Texas","American Athletic","0.0702","0.1303","0","0.0561","0.087","0.077","0.073","0.087"
"2023","4427111","Michel Dukes","RB","South Florida","American Athletic","0.0702","0.0189","0.1174","0.0872","0.068","0.044","0.087","0.039"
"2023","5077060","Amare Thomas","WR","UAB","American Athletic","0.0697","0.123","0.0104","0.0601","0.09","0.064","0.039","0.111"
"2023","4567792","K'Wan Powell","RB","South Florida","American Athletic","0.0673","0.0147","0.1155","0.0734","0.068","0.059","0.087","0.053"
"2023","4372769","Lawrence Keys III","WR","Tulane","American Athletic","0.0658","0.1421","0.0081","0.0675","0.057","0.066","0.044","0.081"
"2023","5081504","Blake Horvath","QB","Navy","American Athletic","0.0651","0.0599","0.0676","0.0498","0.068","0.087","0.073","0.076"
"2023","4879499","Tony Johnson","WR","Florida Atlantic","American Athletic","0.0651","0.1122","0.0089","0.071","0.061","0.067","0.048","0.068"
"2023","4429284","DeMeer Blankumsee","WR","Memphis","American Athletic","0.0649","0.1152","0.005","0.049","0.084","0.076","0.035","0.119"
"2023","4870616","Javious Bond","RB","East Carolina","American Athletic","0.0646","0.0299","0.1063","0.0675","0.1","0.017","0.088","0.049"
"2023","5081508","Eli Heidenreich","RB","Navy","American Athletic","0.0638","0.0922","0.0521","0.0664","0.068","0.064","0.029","0.089"
"2023","4875912","Tejhaun Palmer","WR","UAB","American Athletic","0.0637","0.1207","0","0.0522","0.079","0.076","0.061","0.085"
"2023","4429239","Zae Baines","WR","Temple","American Athletic","0.0617","0.095","0.0097","0.0602","0.049","0.076","0.055","0.07"
"2023","4596539","Yulkeith Brown","WR","Tulane","American Athletic","0.0579","0.1184","0.0121","0.0675","0.053","0.044","0.052","0.05"
"2023","4686769","Ashaad Clayton","RB","Tulane","American Athletic","0.0579","0.0289","0.0808","0.0623","0.068","0.044","0.028","0.077"
"2023","4426619","Joachim Bangda","RB","Charlotte","American Athletic","0.0571","0.0117","0.0952","0.0586","0.055","0.056","0.081","0.037"
"2023","4368341","Je'Quan Burton","WR","Florida Atlantic","American Athletic","0.056","0.1002","0.003","0.0494","0.045","0.079","0.043","0.071"
"2023","4361492","Amad Anderson Jr.","WR","Temple","American Athletic","0.0556","0.0871","0.0065","0.0458","0.057","0.076","0.085","0.045"
"2023","4428938","Dante Wright","WR","Temple","American Athletic","0.0556","0.0871","0.0065","0.0659","0.045","0.059","0.04","0.052"
"2023","4691272","Stone Earle","QB","North Texas","American Athletic","0.0555","0.0798","0.0276","0.0561","0.059","0.059","0.039","0.066"
"2023","4912361","Devan Williams","WR","Tulsa","American Athletic","0.055","0.131","0.0041","0.0367","0.064","0.07","0.053","0.079"
"2023","4838273","Rawson Macneill","WR","Rice","American Athletic","0.0549","0.0998","0","0.0463","0.051","0.085","0.041","0.076"
"2023","5082284","Boden Groen","TE","Rice","American Athletic","0.0549","0.0998","0","0.0681","0.043","0.046","0.026","0.056"
"2023","4683012","Eddie Lee Marburger","QB","UT San Antonio","American Athletic","0.0548","0.107","0.0062","0.0314","0.056","0.09","0.073","0.07"
"2023","4360978","David Martin-Robinson","TE","Temple","American Athletic","0.0544","0.0851","0.0065","0.0401","0.061","0.071","0.055","0.07"
"2023","4427649","Kelley Joiner Jr.","RB","South Florida","American Athletic","0.0534","0.0337","0.072","0.0642","0.052","0.039","0.061","0.034"
"2023","4374391","Roderic Burns","WR","North Texas","American Athletic","0.0521","0.0966","0","0.0408","0.059","0.059","0.044","0.076"
"2023","4687493","Brandon Thomas","RB","Memphis","American Athletic","0.0515","0.0062","0.1072","0.0441","0.052","0.047","0.113","0.012"
"2023","4698227","Naiem Simmons","WR","South Florida","American Athletic","0.0514","0.1095","0","0.0436","0.059","0.063","0.03","0.073"
"2023","4894661","Durell Robinson","RB","Charlotte","American Athletic","0.0506","0.0029","0.0905","0.0741","0.036","0.037","0.049","0.029"
"2023","4686606","Isaiah Johnson","RB","North Texas","American Athletic","0.0487","0.0189","0.0854","0.0357","0.07","0.041","0.078","0.045"
