"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2020","4240069","Malik Cunningham","QB","Louisville","ACC","0.5923","0.9614","0.2732","0.5181","0.539","0.851","0.592","0.694"
"2020","4039300","D'Eriq King","QB","Miami","ACC","0.5765","0.8695","0.2675","0.5215","0.601","0.685","0.409","0.737"
"2020","4372768","Phil Jurkovec","QB","Boston College","ACC","0.5515","0.8512","0.165","0.4706","0.576","0.692","0.414","0.759"
"2020","4429066","Jeff Sims","QB","Georgia Tech","ACC","0.5477","0.9076","0.2599","0.5033","0.529","0.664","0.465","0.652"
"2020","4370775","Brennan Armstrong","QB","Virginia","ACC","0.5304","0.7234","0.3121","0.5435","0.5","0.559","0.44","0.58"
"2020","4239994","Chase Brice","QB","Duke","ACC","0.5228","0.8918","0.1417","0.4448","0.556","0.638","0.352","0.735"
"2020","4426875","Sam Howell","QB","North Carolina","ACC","0.5189","0.9793","0.1326","0.4489","0.543","0.688","0.435","0.726"
"2020","4240703","Kenny Pickett","QB","Pittsburgh","ACC","0.5118","0.7826","0.1907","0.4566","0.474","0.663","0.48","0.586"
"2020","4361994","Sam Hartman","QB","Wake Forest","ACC","0.4876","0.8802","0.1161","0.4046","0.441","0.714","0.325","0.697"
"2020","4360310","Trevor Lawrence","QB","Clemson","ACC","0.4509","0.6867","0.1402","0.4198","0.47","0.517","0.361","0.55"
"2020","4240025","Bailey Hockman","QB","NC State","ACC","0.3865","0.6682","0.0896","0.336","0.372","0.538","0.291","0.528"
"2020","4240858","Hendon Hooker","QB","Virginia Tech","ACC","0.3736","0.6007","0.2349","0.3372","0.371","0.452","0.337","0.471"
"2020","4360799","Jordan Travis","QB","Florida State","ACC","0.3595","0.4557","0.2648","0.3321","0.371","0.417","0.375","0.385"
"2020","4037121","Rex Culpepper","QB","Syracuse","ACC","0.3251","0.5339","0.05","0.2491","0.31","0.464","0.29","0.422"
"2020","4239996","Travis Etienne","RB","Clemson","ACC","0.258","0.1225","0.4365","0.2988","0.256","0.174","0.291","0.185"
"2020","4035886","Khalil Herbert","RB","Virginia Tech","ACC","0.2347","0.0513","0.3468","0.2962","0.228","0.111","0.226","0.127"
"2020","4430871","Sean Tucker","RB","Syracuse","ACC","0.2342","0.0407","0.4893","0.3132","0.236","0.106","0.239","0.145"
"2020","4361579","Javonte Williams","RB","North Carolina","ACC","0.221","0.0777","0.3413","0.2138","0.215","0.213","0.287","0.188"
"2020","4240657","Michael Carter","RB","North Carolina","ACC","0.2199","0.0777","0.3391","0.2874","0.185","0.106","0.181","0.121"
"2020","4240391","Tommy DeVito","QB","Syracuse","ACC","0.2142","0.3144","0.0821","0.1736","0.222","0.278","0.196","0.265"
"2020","4240418","Christian Beal-Smith","RB","Wake Forest","ACC","0.214","0.018","0.3994","0.2533","0.252","0.1","0.282","0.114"
"2020","4568660","Vincent Davis","RB","Pittsburgh","ACC","0.2124","0.0641","0.3896","0.2457","0.229","0.131","0.25","0.165"
"2020","4240455","Deon Jackson","RB","Duke","ACC","0.2118","0.0422","0.3869","0.2746","0.183","0.134","0.301","0.073"
"2020","4360802","Javian Hawkins","RB","Louisville","ACC","0.208","0.0534","0.3428","0.241","0.204","0.135","0.197","0.165"
"2020","4361655","Ricky Person Jr.","RB","NC State","ACC","0.2053","0.0518","0.3682","0.231","0.193","0.156","0.302","0.102"
"2020","4427728","Zonovan Knight","RB","NC State","ACC","0.2005","0.0588","0.3507","0.2152","0.234","0.125","0.206","0.17"
"2020","4239941","Travis Levy","RB","Boston College","ACC","0.1971","0.107","0.3131","0.2386","0.205","0.098","0.201","0.142"
"2020","4362509","Cam'Ron Harris","RB","Miami","ACC","0.1871","0.0517","0.3299","0.1977","0.175","0.173","0.26","0.139"
"2020","4242490","Braxton Burmeister","QB","Virginia Tech","ACC","0.1792","0.326","0.0895","0.1378","0.19","0.267","0.161","0.265"
"2020","4567048","Kenneth Walker III","RB","Wake Forest","ACC","0.1776","0.009","0.3371","0.2237","0.18","0.079","0.239","0.088"
"2020","4360205","David Bailey","RB","Boston College","ACC","0.1765","0.0287","0.367","0.1863","0.201","0.128","0.296","0.08"
"2020","4429795","Jahmyr Gibbs","RB","Georgia Tech","ACC","0.1718","0.0924","0.2361","0.1967","0.176","0.11","0.134","0.161"
"2020","4360406","Mataeo Durant","RB","Duke","ACC","0.1702","0.0317","0.3134","0.2","0.174","0.121","0.193","0.11"
"2020","4372519","Jashaun Corbin","RB","Florida State","ACC","0.1617","0.0728","0.2492","0.1788","0.156","0.114","0.197","0.124"
"2020","4429020","D.J. Uiagalelei","QB","Clemson","ACC","0.1598","0.2329","0.0635","0.116","0.172","0.221","0.152","0.227"
"2020","4361653","Devin Leary","QB","NC State","ACC","0.1546","0.2729","0.0299","0.1286","0.15","0.206","0.116","0.219"
"2020","4429615","Zay Flowers","WR","Boston College","ACC","0.1485","0.2376","0.0337","0.1569","0.153","0.128","0.095","0.175"
"2020","4240850","Lindell Stone","QB","Virginia","ACC","0.1471","0.2589","0.0202","0.1231","0.158","0.186","0.14","0.192"
