"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2019","3929824","Brian Lewerke","QB","Michigan State","Big Ten","0.5886","0.971","0.2133","0.5141","0.579","0.858","0.515","0.723"
"2019","4036149","Nathan Stanley","QB","Iowa","Big Ten","0.5566","0.9952","0.1342","0.4416","0.578","0.793","0.543","0.713"
"2019","4035292","Shea Patterson","QB","Michigan","Big Ten","0.5271","0.9554","0.1432","0.4854","0.507","0.699","0.416","0.673"
"2019","4259592","Sean Clifford","QB","Penn State","Big Ten","0.5196","0.9117","0.2118","0.4133","0.573","0.72","0.467","0.69"
"2019","4362887","Justin Fields","QB","Ohio State","Big Ten","0.5032","0.9098","0.1992","0.4449","0.55","0.611","0.447","0.642"
"2019","4361182","Adrian Martinez","QB","Nebraska","Big Ten","0.468","0.8248","0.2426","0.3966","0.484","0.616","0.431","0.597"
"2019","4240756","Tanner Morgan","QB","Minnesota","Big Ten","0.4334","0.9913","0.0618","0.3818","0.435","0.596","0.275","0.635"
"2019","4242331","Jack Coan","QB","Wisconsin","Big Ten","0.4245","0.9938","0.0697","0.3342","0.453","0.606","0.321","0.702"
"2019","4045290","Peyton Ramsey","QB","Indiana","Big Ten","0.4213","0.6372","0.1799","0.349","0.457","0.561","0.363","0.556"
"2019","4036262","Brandon Peters","QB","Illinois","Big Ten","0.4133","0.7573","0.1164","0.32","0.421","0.619","0.379","0.538"
"2019","4242335","Jonathan Taylor","RB","Wisconsin","Big Ten","0.4065","0.109","0.6056","0.504","0.396","0.238","0.46","0.177"
"2019","4360204","Johnny Langan","TE","Rutgers","Big Ten","0.3951","0.5992","0.264","0.3398","0.384","0.513","0.361","0.489"
"2019","4037603","Josh Jackson","QB","Maryland","Big Ten","0.382","0.6645","0.0874","0.3189","0.377","0.531","0.383","0.456"
"2019","4361493","Jack Plummer","QB","Purdue","Big Ten","0.3545","0.4849","0.134","0.2897","0.38","0.486","0.295","0.466"
"2019","4241985","J.K. Dobbins","RB","Ohio State","Big Ten","0.3366","0.0702","0.5527","0.3888","0.326","0.242","0.391","0.212"
"2019","4361529","Isaih Pacheco","RB","Rutgers","Big Ten","0.2809","0.0649","0.44","0.3243","0.341","0.162","0.337","0.185"
"2019","3116074","Rodney Smith","RB","Minnesota","Big Ten","0.2792","0.0321","0.4542","0.3403","0.299","0.119","0.298","0.175"
"2019","4035633","Aidan Smith","QB","Northwestern","Big Ten","0.2757","0.5238","0.1163","0.2477","0.267","0.358","0.233","0.336"
"2019","4382470","Elijah Collins","RB","Michigan State","Big Ten","0.2657","0.0491","0.5095","0.3427","0.273","0.109","0.27","0.167"
"2019","4371953","Stevie Scott","RB","Indiana","Big Ten","0.2343","0.0619","0.4497","0.2917","0.216","0.159","0.354","0.071"
"2019","4241941","Anthony McFarland","RB","Maryland","Big Ten","0.2258","0.0764","0.3846","0.2559","0.251","0.115","0.228","0.19"
"2019","4360423","Michael Penix Jr.","QB","Indiana","Big Ten","0.2154","0.3562","0.0556","0.2031","0.255","0.21","0.146","0.278"
"2019","4260394","Aidan O'Connell","QB","Purdue","Big Ten","0.2012","0.2981","0.0344","0.1838","0.221","0.209","0.195","0.221"
"2019","4036210","Tyrrell Pigrome","QB","Maryland","Big Ten","0.1952","0.2924","0.0944","0.1457","0.219","0.246","0.168","0.272"
"2019","4239998","Hunter Johnson","QB","Northwestern","Big Ten","0.193","0.3714","0.0782","0.1579","0.187","0.279","0.201","0.228"
"2019","4426385","Zach Charbonnet","RB","Michigan","Big Ten","0.1871","0.0322","0.3372","0.2016","0.207","0.141","0.219","0.15"
"2019","3917611","Reggie Corbin","RB","Illinois","Big Ten","0.1845","0.0185","0.3397","0.2571","0.172","0.071","0.165","0.104"
"2019","4037295","Dedrick Mills","RB","Nebraska","Big Ten","0.1844","0.0701","0.266","0.2328","0.171","0.116","0.182","0.123"
"2019","4429527","King Doerue","RB","Purdue","Big Ten","0.182","0.0585","0.4158","0.2423","0.151","0.124","0.195","0.102"
"2019","4361263","Drake Anderson","RB","Northwestern","Big Ten","0.1792","0.0286","0.2833","0.2136","0.218","0.084","0.169","0.145"
"2019","4259588","Journey Brown","RB","Penn State","Big Ten","0.1774","0.0484","0.2894","0.2283","0.169","0.096","0.171","0.106"
"2019","4241940","Javon Leake","RB","Maryland","Big Ten","0.1732","0.0365","0.3182","0.2362","0.153","0.1","0.161","0.108"
"2019","4569587","Wan'Dale Robinson","WR","Nebraska","Big Ten","0.1694","0.1688","0.1745","0.1868","0.187","0.134","0.167","0.158"
"2019","4429676","Tyler Goodson","RB","Iowa","Big Ten","0.1621","0.0577","0.2835","0.1994","0.179","0.095","0.159","0.117"
"2019","4379504","Mekhi Sargent","RB","Iowa","Big Ten","0.1609","0.0505","0.2886","0.1766","0.16","0.168","0.164","0.14"
"2019","4570409","David Bell","WR","Purdue","Big Ten","0.1473","0.2283","0.0069","0.1616","0.144","0.147","0.105","0.153"
"2019","3791146","Elijah Sindelar","QB","Purdue","Big Ten","0.1473","0.2113","0.0378","0.156","0.133","0.169","0.111","0.16"
"2019","3862133","Dre Brown","RB","Illinois","Big Ten","0.1439","0.0237","0.2565","0.1571","0.176","0.083","0.214","0.09"
"2019","4372071","Hassan Haskins","RB","Michigan","Big Ten","0.1435","0.0198","0.2633","0.1565","0.134","0.135","0.21","0.071"
"2019","246044","Tyler Johnson","WR","Minnesota","Big Ten","0.1308","0.3178","0.006","0.1169","0.143","0.159","0.124","0.163"
"2019","4240750","Mohamed Ibrahim","RB","Minnesota","Big Ten","0.1285","0.0146","0.2092","0.1143","0.119","0.179","0.183","0.103"
"2019","4258235","Whop Philyor","WR","Indiana","Big Ten","0.1243","0.2124","0.0238","0.0938","0.144","0.166","0.09","0.188"
"2019","4240380","KJ Hamler","WR","Penn State","Big Ten","0.1217","0.2365","0.0306","0.1272","0.112","0.134","0.081","0.143"
"2019","4371942","Matt Robinson","QB","Illinois","Big Ten","0.1181","0.2111","0.038","0.0829","0.139","0.155","0.104","0.167"
"2019","4260406","Alexander Horvath","RB","Purdue","Big Ten","0.1162","0.0415","0.2577","0.1337","0.129","0.062","0.163","0.075"
"2019","4241983","Cody White","WR","Michigan State","Big Ten","0.1087","0.2031","0.0142","0.0972","0.115","0.142","0.105","0.125"
"2019","4360939","Rashod Bateman","WR","Minnesota","Big Ten","0.104","0.2595","0","0.1065","0.095","0.132","0.041","0.148"
"2019","4240573","Ihmir Smith-Marsette","WR","Iowa","Big Ten","0.1037","0.1827","0.0278","0.0997","0.116","0.112","0.073","0.132"
"2019","3918003","Brycen Hopkins","TE","Purdue","Big Ten","0.1006","0.1585","0","0.0891","0.103","0.136","0.111","0.105"
"2019","4426658","Noah Cain","RB","Penn State","Big Ten","0.1001","0.0256","0.1647","0.1329","0.096","0.051","0.138","0.033"
"2019","4036156","Toren Young","RB","Iowa","Big Ten","0.0965","0.0048","0.2","0.1481","0.097","0.011","0.099","0.023"
"2019","4361354","Master Teague","RB","Ohio State","Big Ten","0.0963","0.0125","0.1641","0.1169","0.074","0.089","0.098","0.065"
"2019","4035793","Quintez Cephus","WR","Wisconsin","Big Ten","0.0959","0.2492","0","0.0663","0.113","0.144","0.083","0.158"
"2019","4035654","Riley Lees","WR","Northwestern","Big Ten","0.0952","0.2286","0.0085","0.096","0.088","0.112","0.09","0.097"
"2019","4034860","JD Spielman","WR","Nebraska","Big Ten","0.0941","0.2261","0.0085","0.1149","0.081","0.076","0.062","0.087"
"2019","4242268","Andrew Marty","QB","Northwestern","Big Ten","0.089","0.0667","0.1057","0.0929","0.076","0.089","0.079","0.09"
"2019","4574732","Aaron Young","RB","Rutgers","Big Ten","0.088","0.0763","0.0987","0.0927","0.081","0.097","0.084","0.084"
"2019","4361530","Artur Sitkowski","QB","Rutgers","Big Ten","0.088","0.2023","0.0107","0.0656","0.09","0.123","0.066","0.128"
"2019","4360486","Nico Ragaini","WR","Iowa","Big Ten","0.087","0.1731","0.0025","0.0598","0.093","0.134","0.073","0.132"
"2019","4259308","Raheem Blackshear","RB","Rutgers","Big Ten","0.0864","0.1183","0.0667","0.0888","0.114","0.058","0.066","0.097"
"2019","3929831","Darrell Stewart Jr.","WR","Michigan State","Big Ten","0.0852","0.1674","0.0024","0.0844","0.076","0.12","0.04","0.113"
"2019","4243539","Noah Vedral","QB","Nebraska","Big Ten","0.0841","0.1433","0.0468","0.0632","0.089","0.122","0.072","0.119"
"2019","4372063","Ronnie Bell","WR","Michigan","Big Ten","0.0835","0.1733","0.0023","0.0796","0.083","0.104","0.064","0.102"
"2019","4240540","Ra'Von Bonner","RB","Illinois","Big Ten","0.0812","0.0106","0.1473","0.0971","0.081","0.048","0.11","0.052"
"2019","3915522","K.J. Hill","WR","Ohio State","Big Ten","0.0812","0.183","0.0039","0.0764","0.101","0.07","0.072","0.096"
"2019","4035767","Garrett Groshek","RB","Wisconsin","Big Ten","0.0803","0.0935","0.0737","0.0477","0.087","0.163","0.052","0.167"
"2019","4361198","Maurice Washington","RB","Nebraska","Big Ten","0.079","0.0478","0.1021","0.0862","0.089","0.058","0.081","0.063"
"2019","4361264","Isaiah Bowser","RB","Northwestern","Big Ten","0.0789","0.0254","0.1163","0.096","0.076","0.067","0.074","0.062"
"2019","4360516","Tyrone Tracy Jr.","RB","Iowa","Big Ten","0.0775","0.1418","0.0152","0.094","0.075","0.067","0.043","0.083"
"2019","4361370","Chris Olave","WR","Ohio State","Big Ten","0.0758","0.1704","0.0039","0.0719","0.07","0.102","0.06","0.092"
"2019","3728275","Shannon Brooks","RB","Minnesota","Big Ten","0.0748","0","0.1275","0.0857","0.092","0.02","0.092","0.042"
"2019","4258248","Peyton Hendershot","TE","Indiana","Big Ten","0.0746","0.1372","0.0026","0.0599","0.108","0.057","0.085","0.083"
"2019","3910083","McLane Carter","QB","Rutgers","Big Ten","0.0741","0.1832","0","0.0541","0.081","0.104","0.078","0.093"
