"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2021","4250360","Bailey Zappe","QB","Western Kentucky","Conference USA","0.5815","0.8061","0.0895","0.5466","0.601","0.618","0.525","0.708"
"2021","4245186","Frank Harris","QB","UT San Antonio","Conference USA","0.4985","0.8777","0.1745","0.4184","0.51","0.667","0.453","0.662"
"2021","4259269","Chris Reynolds","QB","Charlotte","Conference USA","0.4926","0.824","0.1558","0.4734","0.454","0.596","0.436","0.562"
"2021","4575668","Gavin Hardison","QB","UTEP","Conference USA","0.4071","0.8393","0.0457","0.327","0.427","0.534","0.322","0.558"
"2021","4037642","Austin Kendall","QB","Louisiana Tech","Conference USA","0.3731","0.6148","0.1086","0.3129","0.358","0.535","0.305","0.515"
"2021","4240628","N'Kosi Perry","QB","Florida Atlantic","Conference USA","0.3673","0.625","0.1122","0.3064","0.369","0.494","0.341","0.468"
"2021","4036215","Max Bortenschlager","QB","Florida International","Conference USA","0.3465","0.6075","0.0271","0.2691","0.351","0.496","0.301","0.47"
"2021","4360163","Austin Aune","QB","North Texas","Conference USA","0.3305","0.7","0.0866","0.2268","0.297","0.565","0.232","0.55"
"2021","4430104","Sincere McCormick","RB","UT San Antonio","Conference USA","0.3162","0.048","0.5478","0.3908","0.276","0.21","0.329","0.191"
"2021","4291782","Chase Cunningham","QB","Middle Tennessee","Conference USA","0.312","0.4848","0.1091","0.2981","0.32","0.339","0.239","0.374"
"2021","4430686","Grant Wells","QB","Marshall","Conference USA","0.3094","0.5225","0.0767","0.3041","0.348","0.261","0.24","0.378"
"2021","4363410","Dylan Hopkins","QB","UAB","Conference USA","0.2967","0.6219","0.0847","0.239","0.279","0.423","0.241","0.412"
"2021","4430775","Hayden Wolff","QB","Old Dominion","Conference USA","0.2642","0.549","0.0024","0.2295","0.266","0.346","0.178","0.358"
"2021","4360932","DeAndre Torrey","RB","North Texas","Conference USA","0.2304","0.027","0.3682","0.3015","0.24","0.089","0.239","0.137"
"2021","4689993","Jake Lange","QB","Southern Mississippi","Conference USA","0.2261","0.4803","0.0218","0.2249","0.224","0.237","0.156","0.261"
"2021","4429805","Frank Gore Jr.","RB","Southern Mississippi","Conference USA","0.2115","0.0822","0.3243","0.2076","0.256","0.164","0.296","0.172"
"2021","4430388","DeWayne McBride","RB","UAB","Conference USA","0.2064","0.0094","0.3388","0.2445","0.218","0.119","0.303","0.081"
