"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4427313","Ta'Quan Roberson","QB","Connecticut","FBS Independents","0.4711","0.847","0.0981","0.4128","0.43","0.638","0.3","0.636"
"2023","4879928","Bryson Daily","QB","Army","FBS Independents","0.4463","0.7267","0.373","0.3612","0.448","0.592","0.469","0.541"
"2023","4361994","Sam Hartman","QB","Notre Dame","FBS Independents","0.4277","0.8646","0.0685","0.3492","0.441","0.585","0.323","0.662"
"2023","4426430","Taisun Phommachanh","QB","UMass","FBS Independents","0.3634","0.6667","0.0776","0.3166","0.398","0.432","0.303","0.466"
"2023","4426530","Kay'Ron Adams","RB","UMass","FBS Independents","0.3564","0.0655","0.6482","0.3762","0.365","0.295","0.451","0.267"
"2023","4569682","Audric Estime","RB","Notre Dame","FBS Independents","0.283","0.0497","0.4772","0.336","0.28","0.156","0.332","0.152"
"2023","5086034","Camryn Edwards","RB","Connecticut","FBS Independents","0.1816","0.0449","0.321","0.208","0.213","0.098","0.224","0.125"
"2023","4873234","Victor Rosa","RB","Connecticut","FBS Independents","0.1618","0.0369","0.2891","0.1835","0.181","0.092","0.212","0.11"
"2023","4731981","Carlos Davis","QB","UMass","FBS Independents","0.1581","0.2764","0.0471","0.1536","0.149","0.171","0.149","0.168"
"2023","5150313","Kanye Udoh","RB","Army","FBS Independents","0.1364","0.0062","0.1766","0.1706","0.117","0.125","0.118","0.102"
"2023","4712328","Anthony Simpson","WR","UMass","FBS Independents","0.1276","0.2251","0.036","0.1254","0.145","0.11","0.109","0.142"
"2023","4870808","Jeremiyah Love","RB","Notre Dame","FBS Independents","0.0973","0.0221","0.1598","0.119","0.103","0.034","0.088","0.067"
"2023","4912052","Justin Joly","TE","Connecticut","FBS Independents","0.0776","0.1557","0","0.0856","0.052","0.11","0.018","0.103"
"2023","5082144","Hayden Reed","RB","Army","FBS Independents","0.0758","0.0311","0.0901","0.0803","0.071","0.092","0.083","0.063"
"2023","4691889","Gregory DeRosiers","RB","UMass","FBS Independents","0.0749","0.0484","0.1025","0.0878","0.066","0.068","0.051","0.073"
"2023","4569001","Cameron Ross","WR","Connecticut","FBS Independents","0.0724","0.1372","0.008","0.0642","0.064","0.104","0.041","0.099"
"2023","4362499","Mark Pope","WR","UMass","FBS Independents","0.0721","0.1339","0.0139","0.0909","0.05","0.075","0.046","0.065"
"2023","4577324","Jakobi Buchanan","RB","Army","FBS Independents","0.0702","0","0.0919","0.0702","0.071","0.053","0.114","0.029"
"2023","5150300","Champ Harris","QB","Army","FBS Independents","0.0702","0.2236","0.027","0.0602","0.079","0.046","0.066","0.088"
"2023","4685509","Gi'Bran Payne","RB","Notre Dame","FBS Independents","0.0698","0.0304","0.1027","0.0397","0.054","0.177","0.146","0.048"
