"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2022","4368768","DJ Irons","QB","Akron","Mid-American","0.6098","0.7958","0.3128","0.5986","0.592","0.67","0.511","0.694"
"2022","4361636","John Paddock","QB","Ball State","Mid-American","0.5619","0.9977","0.0392","0.4622","0.56","0.764","0.486","0.763"
"2022","4239937","Matt McDonald","QB","Bowling Green","Mid-American","0.4993","0.8376","0.0935","0.4092","0.5","0.656","0.453","0.639"
"2022","4570057","Cole Snyder","QB","Buffalo","Mid-American","0.4852","0.8757","0.1486","0.4157","0.482","0.627","0.314","0.715"
"2022","4570259","Daniel Richardson","QB","Central Michigan","Mid-American","0.4297","0.8036","0.0364","0.3406","0.426","0.594","0.345","0.583"
"2022","4430431","Kurtis Rourke","QB","Ohio","Mid-American","0.4126","0.7176","0.1132","0.3795","0.412","0.491","0.39","0.475"
"2022","4427191","Dequan Finn","QB","Toledo","Mid-American","0.4083","0.6975","0.1885","0.3456","0.395","0.573","0.335","0.549"
"2022","4241193","Taylor Powell","QB","Eastern Michigan","Mid-American","0.3787","0.743","0.0642","0.3304","0.405","0.467","0.272","0.533"
"2022","4576189","Aveon Smith","QB","Miami (OH)","Mid-American","0.3695","0.5425","0.2271","0.2969","0.331","0.532","0.371","0.451"
"2022","4428439","Collin Schlee","QB","Kent State","Mid-American","0.367","0.6899","0.15","0.3277","0.378","0.455","0.337","0.44"
"2022","4430699","Jack Salopek","QB","Western Michigan","Mid-American","0.3582","0.6755","0.0911","0.3113","0.345","0.456","0.289","0.439"
"2022","4714365","Carson Steele","RB","Ball State","Mid-American","0.349","0.0567","0.7199","0.4174","0.377","0.17","0.444","0.176"
"2022","4430468","Marquez Cooper","RB","Kent State","Mid-American","0.312","0.0222","0.5152","0.3672","0.287","0.227","0.353","0.214"
"2022","4431499","Sieh Bangura","RB","Ohio","Mid-American","0.292","0.0764","0.5104","0.3385","0.289","0.206","0.357","0.184"
"2022","4360492","Samson Evans","RB","Eastern Michigan","Mid-American","0.2776","0.0447","0.4889","0.3274","0.236","0.211","0.393","0.12"
"2022","4428119","Lew Nichols","RB","Central Michigan","Mid-American","0.252","0.0724","0.4538","0.3031","0.256","0.163","0.277","0.182"
"2022","4428732","Sean Tyler","RB","Western Michigan","Mid-American","0.2456","0.059","0.4193","0.3013","0.235","0.17","0.303","0.159"
"2022","4576294","Harrison Waylee","RB","Northern Illinois","Mid-American","0.2318","0.0658","0.3538","0.2883","0.191","0.195","0.245","0.148"
"2022","4427243","Brett Gabbert","QB","Miami (OH)","Mid-American","0.1875","0.336","0.0644","0.1921","0.18","0.194","0.169","0.195"
"2022","4612211","Jaison Patterson","RB","Bowling Green","Mid-American","0.1789","0.0152","0.3832","0.2343","0.174","0.094","0.194","0.103"
"2022","4597247","Austin Smith","QB","Eastern Michigan","Mid-American","0.1751","0.243","0.1185","0.1399","0.17","0.257","0.134","0.258"
"2022","4429801","Tucker Gleason","QB","Toledo","Mid-American","0.167","0.3","0.0655","0.1225","0.164","0.238","0.163","0.236"
"2022","4360073","Jayshon Jackson","WR","Ball State","Mid-American","0.1597","0.2653","0.0336","0.1429","0.127","0.255","0.164","0.18"
"2022","4428858","Cam Wiley","RB","Akron","Mid-American","0.1593","0.0471","0.3524","0.1831","0.168","0.096","0.241","0.066"
"2022","4429454","Ron Cook Jr.","RB","Buffalo","Mid-American","0.1589","0.0476","0.2618","0.1802","0.188","0.083","0.197","0.102"
"2022","4618083","Ethan Hampton","QB","Northern Illinois","Mid-American","0.1567","0.3636","0.0154","0.1261","0.172","0.189","0.137","0.216"
