"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2021","4361435","Carson Strong","QB","Nevada","Mountain West","0.625","0.9083","0.0521","0.5771","0.645","0.705","0.551","0.737"
"2021","4243322","Jake Haener","QB","Fresno State","Mountain West","0.5896","0.9493","0.116","0.5685","0.55","0.713","0.455","0.742"
"2021","4243276","Todd Centeio","QB","Colorado State","Mountain West","0.5364","0.9517","0.1933","0.4463","0.462","0.796","0.452","0.704"
"2021","4426499","Hank Bachmeier","QB","Boise State","Mountain West","0.5275","0.9604","0.0896","0.5066","0.425","0.735","0.406","0.632"
"2021","4373934","Chevan Cordeiro","QB","Hawai'i","Mountain West","0.4844","0.7237","0.1718","0.431","0.468","0.634","0.4","0.604"
"2021","4036473","Logan Bonner","QB","Utah State","Mountain West","0.4184","0.7533","0.0819","0.3496","0.417","0.562","0.386","0.525"
"2021","4683451","Cameron Friel","QB","UNLV","Mountain West","0.3271","0.5714","0.0294","0.2522","0.349","0.421","0.313","0.415"
"2021","4697127","Brad Roberts","RB","Air Force","Mountain West","0.3148","0.009","0.3625","0.387","0.32","0.191","0.349","0.166"
"2021","4035225","Nick Starkel","QB","San José State","Mountain West","0.291","0.5263","0.0036","0.2815","0.254","0.364","0.248","0.333"
"2021","4037293","Lucas Johnson","QB","San Diego State","Mountain West","0.2896","0.6064","0.0664","0.2652","0.292","0.349","0.243","0.355"
"2021","4693814","Haaziq Daniels","QB","Air Force","Mountain West","0.2627","0.8919","0.1683","0.1977","0.249","0.393","0.228","0.402"
"2021","4570242","Nick Nash","WR","San José State","Mountain West","0.254","0.3421","0.147","0.237","0.244","0.326","0.121","0.362"
"2021","4240350","Xazavian Valladay","RB","Wyoming","Mountain West","0.2527","0.0696","0.3667","0.2674","0.288","0.16","0.266","0.218"
"2021","4361690","Sean Chambers","QB","Wyoming","Mountain West","0.237","0.4778","0.0882","0.2256","0.194","0.325","0.183","0.304"
"2021","4361159","Greg Bell","RB","San Diego State","Mountain West","0.2269","0.0133","0.3814","0.2525","0.239","0.151","0.274","0.161"
"2021","4428890","Levi Williams","QB","Wyoming","Mountain West","0.2225","0.3861","0.1216","0.1866","0.18","0.355","0.193","0.296"
"2021","4052178","Charles Williams","RB","UNLV","Mountain West","0.2168","0.0374","0.4412","0.3087","0.186","0.099","0.2","0.138"
"2021","4360205","David Bailey","RB","Colorado State","Mountain West","0.2124","0.0322","0.3622","0.2655","0.248","0.075","0.251","0.129"
"2021","4243003","Ronnie Rivers","RB","Fresno State","Mountain West","0.21","0.075","0.3877","0.242","0.212","0.124","0.238","0.133"
"2021","4361444","Toa Taua","RB","Nevada","Mountain West","0.2098","0.0833","0.4792","0.2587","0.21","0.12","0.243","0.119"
"2021","4242321","Tyler Nevens","RB","San José State","Mountain West","0.2026","0.0117","0.4373","0.2333","0.225","0.106","0.315","0.086"
"2021","4589218","Aaron Dumas","RB","New Mexico","Mountain West","0.1863","0","0.3117","0.1962","0.212","0.137","0.276","0.126"
"2021","4249917","Calvin Turner Jr.","RB","Hawai'i","Mountain West","0.1857","0.1849","0.1902","0.1753","0.194","0.203","0.224","0.181"
"2021","4367728","Dedrick Parson","RB","Hawai'i","Mountain West","0.1805","0.0845","0.3129","0.2184","0.19","0.098","0.247","0.088"
"2021","4255990","Calvin Tyler Jr.","RB","Utah State","Mountain West","0.1651","0.021","0.3138","0.2035","0.169","0.078","0.187","0.104"
"2021","4038940","Terry Wilson","QB","New Mexico","Mountain West","0.163","0.3463","0.0416","0.1423","0.154","0.229","0.147","0.195"
"2021","4243004","Jordan Mims","RB","Fresno State","Mountain West","0.162","0.0507","0.3086","0.1735","0.156","0.152","0.193","0.117"
"2021","4429835","George Holani","RB","Boise State","Mountain West","0.1547","0.0326","0.2783","0.1522","0.229","0.055","0.179","0.136"
"2021","4242494","Cyrus Habibi-Likio","RB","Boise State","Mountain West","0.1524","0.0536","0.2524","0.1575","0.185","0.094","0.151","0.143"
"2021","4709977","Brayden Schager","QB","Hawai'i","Mountain West","0.1519","0.2511","0.0215","0.1034","0.171","0.209","0.147","0.215"
"2021","4572387","Jordon Brookshire","QB","San Diego State","Mountain West","0.1487","0.2872","0.0512","0.1414","0.138","0.172","0.102","0.191"
"2021","4430551","Titus Swen","RB","Wyoming","Mountain West","0.1487","0.0158","0.2314","0.1671","0.18","0.077","0.193","0.089"
