"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2021","4035312","Anthony Brown","QB","Oregon","Pac-12","0.572","0.9534","0.2515","0.5366","0.593","0.621","0.4","0.778"
"2021","4685201","Tanner McKee","QB","Stanford","Pac-12","0.536","0.8375","0.1276","0.4869","0.517","0.664","0.442","0.664"
"2021","4426348","Jayden Daniels","QB","Arizona State","Pac-12","0.5251","0.9606","0.2181","0.4114","0.561","0.747","0.447","0.761"
"2021","4242408","Chase Garbers","QB","California","Pac-12","0.5088","0.8034","0.1958","0.434","0.482","0.653","0.509","0.603"
"2021","4429149","Brendon Lewis","QB","Colorado","Pac-12","0.5","0.9556","0.1572","0.3594","0.524","0.711","0.389","0.739"
"2021","4367178","Dorian Thompson-Robinson","QB","UCLA","Pac-12","0.4787","0.83","0.2265","0.4726","0.387","0.66","0.419","0.526"
"2021","4569598","Dylan Morris","QB","Washington","Pac-12","0.4576","0.7707","0.0746","0.4098","0.452","0.551","0.369","0.602"
"2021","4360824","Chance Nolan","QB","Oregon State","Pac-12","0.4353","0.904","0.1016","0.4369","0.327","0.594","0.244","0.602"
"2021","4697623","Jayden de Laura","QB","Washington State","Pac-12","0.4345","0.7222","0.0734","0.3836","0.481","0.485","0.435","0.5"
"2021","4362075","Cameron Rising","QB","Utah","Pac-12","0.4177","0.7857","0.1257","0.3812","0.388","0.527","0.397","0.489"
"2021","4430635","Will Plummer","QB","Arizona","Pac-12","0.362","0.5771","0.1003","0.3198","0.323","0.519","0.26","0.472"
"2021","4428512","Kedon Slovis","QB","USC","Pac-12","0.3064","0.521","0.0215","0.3358","0.253","0.335","0.221","0.324"
"2021","4360691","Travis Dye","RB","Oregon","Pac-12","0.2796","0.1282","0.4099","0.2837","0.268","0.282","0.376","0.192"
"2021","4426385","Zach Charbonnet","RB","UCLA","Pac-12","0.2749","0.0793","0.4163","0.2872","0.346","0.148","0.358","0.189"
"2021","4697815","Rachaad White","RB","Arizona State","Pac-12","0.2601","0.1242","0.3585","0.297","0.268","0.151","0.308","0.178"
"2021","4255988","B.J. Baylor","RB","Oregon State","Pac-12","0.2588","0.0254","0.4289","0.2929","0.353","0.05","0.316","0.154"
"2021","4360654","Jarek Broussard","RB","Colorado","Pac-12","0.2229","0.0512","0.3531","0.2776","0.229","0.132","0.233","0.152"
"2021","4360083","Tavion Thomas","RB","Utah","Pac-12","0.2214","0.0074","0.3929","0.2306","0.247","0.172","0.28","0.164"
"2021","4689114","Jaxson Dart","QB","USC","Pac-12","0.2039","0.3273","0.0403","0.1741","0.214","0.244","0.15","0.291"
"2021","4569330","Austin Jones","RB","Stanford","Pac-12","0.1873","0.085","0.331","0.2092","0.203","0.119","0.218","0.138"
"2021","4361142","Max Borghi","RB","Washington State","Pac-12","0.1857","0","0.4239","0.2434","0.156","0.124","0.201","0.105"
"2021","4362087","Keaontay Ingram","RB","USC","Pac-12","0.1743","0.0399","0.3575","0.194","0.189","0.108","0.216","0.109"
"2021","4243163","Alex Fontenot","RB","Colorado","Pac-12","0.1569","0.0444","0.2423","0.1673","0.147","0.145","0.222","0.109"
"2021","4039009","Sean McGrew","RB","Washington","Pac-12","0.1434","0.0213","0.3015","0.156","0.181","0.078","0.206","0.069"
"2021","4036032","Brittain Brown","RB","UCLA","Pac-12","0.141","0.051","0.2061","0.1567","0.178","0.056","0.17","0.1"
"2021","4565770","Damien Moore","RB","California","Pac-12","0.1394","0.0485","0.2407","0.1613","0.173","0.053","0.153","0.103"
"2021","4046677","Deon McIntosh","RB","Washington State","Pac-12","0.1393","0.0107","0.3043","0.1587","0.122","0.124","0.148","0.105"
"2021","4569156","Michael Wiley","RB","Arizona","Pac-12","0.1329","0.0729","0.2082","0.1436","0.151","0.09","0.155","0.107"
