"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2020","4567218","Bo Nix","QB","Auburn","SEC","0.6162","0.9843","0.2372","0.5273","0.591","0.835","0.574","0.774"
"2020","4034946","Kyle Trask","QB","Florida","SEC","0.5599","0.8693","0.1295","0.5645","0.455","0.757","0.47","0.635"
"2020","4240904","Kellen Mond","QB","Texas A&M","SEC","0.5483","0.9818","0.1766","0.4548","0.55","0.766","0.403","0.799"
"2020","4362874","Matt Corral","QB","Ole Miss","SEC","0.5462","0.9682","0.215","0.5","0.536","0.679","0.409","0.736"
"2020","4431375","Ken Seals","QB","Vanderbilt","SEC","0.5154","0.956","0.086","0.4483","0.494","0.688","0.345","0.731"
"2020","4426444","Connor Bazelak","QB","Missouri","SEC","0.5115","0.8801","0.1027","0.4469","0.489","0.667","0.444","0.675"
"2020","4034948","Feleipe Franks","QB","Arkansas","SEC","0.5067","0.8397","0.2163","0.4718","0.45","0.676","0.451","0.615"
"2020","4566196","Will Rogers","QB","Mississippi State","SEC","0.4947","0.6169","0.0602","0.4795","0.515","0.5","0.46","0.539"
"2020","4241464","Mac Jones","QB","Alabama","SEC","0.4882","0.9367","0.0488","0.4729","0.441","0.636","0.406","0.597"
"2020","4038940","Terry Wilson","QB","Kentucky","SEC","0.4484","0.8086","0.2257","0.3925","0.437","0.576","0.348","0.638"
"2020","4036357","Collin Hill","QB","South Carolina","SEC","0.3948","0.7421","0.0631","0.3592","0.327","0.555","0.32","0.502"
"2020","4241457","Najee Harris","RB","Alabama","SEC","0.3415","0.1267","0.5521","0.3774","0.32","0.266","0.372","0.242"
"2020","4570674","Kevin Harris","RB","South Carolina","SEC","0.3257","0.0849","0.5556","0.3662","0.361","0.204","0.434","0.187"
"2020","4241205","Larry Rountree III","RB","Missouri","SEC","0.3223","0.0545","0.6193","0.373","0.342","0.196","0.364","0.201"
"2020","4426891","Isaiah Spiller","RB","Texas A&M","SEC","0.3161","0.0848","0.5143","0.3554","0.319","0.204","0.392","0.191"
"2020","4035167","Jarrett Guarantano","QB","Tennessee","SEC","0.3091","0.5655","0.0778","0.2245","0.313","0.481","0.358","0.394"
"2020","4044431","K.J. Costello","QB","Mississippi State","SEC","0.3069","0.3763","0.0602","0.2871","0.321","0.34","0.272","0.365"
