"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","58","South Florida","American Athletic","East","1.7","9","1","8","0","7","0","7","0","4","1","3","0","5","0","5","0"
"2020","151","East Carolina","American Athletic","East","2.9","9","3","6","0","8","3","5","0","4","1","3","0","5","2","3","0"
"2020","202","Tulsa","American Athletic","West","6.2","9","6","3","0","7","6","1","0","3","3","0","0","5","3","2","0"
"2020","218","Temple","American Athletic","East","1","7","1","6","0","7","1","6","0","3","1","2","0","4","0","4","0"
"2020","235","Memphis","American Athletic","West","5.3","11","8","3","0","8","5","3","0","6","6","0","0","4","1","3","0"
"2020","248","Houston","American Athletic","West","3.4","8","3","5","0","6","3","3","0","4","2","2","0","3","1","2","0"
"2020","2116","UCF","American Athletic","East","6.4","10","6","4","0","8","5","3","0","4","2","2","0","5","4","1","0"
"2020","2132","Cincinnati","American Athletic","East","9","10","9","1","0","7","7","0","0","7","7","0","0","2","2","0","0"
"2020","2426","Navy","American Athletic","West","4.7","10","3","7","0","7","3","4","0","5","1","4","0","4","2","2","0"
"2020","2567","SMU","American Athletic","West","6.2","10","7","3","0","7","4","3","0","4","3","1","0","6","4","2","0"
"2020","2655","Tulane","American Athletic","West","5.6","12","6","6","0","8","3","5","0","5","3","2","0","6","3","3","0"
