"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","52","Florida State","ACC","Atlantic","3.2","9","3","6","0","8","2","6","0","5","3","2","0","4","0","4","0"
"2020","59","Georgia Tech","ACC","Coastal","4.2","10","3","7","0","9","3","6","0","6","2","4","0","4","1","3","0"
"2020","97","Louisville","ACC","Atlantic","5.5","11","4","7","0","10","3","7","0","6","4","2","0","5","0","5","0"
"2020","103","Boston College","ACC","Atlantic","4.3","11","6","5","0","10","5","5","0","6","4","2","0","5","2","3","0"
"2020","150","Duke","ACC","Coastal","2.2","11","2","9","0","10","1","9","0","5","1","4","0","6","1","5","0"
"2020","152","NC State","ACC","Atlantic","6.2","12","8","4","0","10","7","3","0","6","5","1","0","5","3","2","0"
"2020","153","North Carolina","ACC","Coastal","8.6","12","8","4","0","10","7","3","0","6","5","1","0","5","3","2","0"
"2020","154","Wake Forest","ACC","Atlantic","4.7","9","4","5","0","7","3","4","0","4","3","1","0","4","1","3","0"
"2020","183","Syracuse","ACC","Atlantic","1.4","11","1","10","0","10","1","9","0","6","1","5","0","5","0","5","0"
"2020","221","Pittsburgh","ACC","Coastal","6.1","11","6","5","0","10","5","5","0","6","4","2","0","5","2","3","0"
"2020","228","Clemson","ACC","Atlantic","9.1","12","10","2","0","10","9","1","0","6","6","0","0","4","3","1","0"
"2020","258","Virginia","ACC","Coastal","4.3","10","5","5","0","9","4","5","0","6","5","1","0","4","0","4","0"
"2020","259","Virginia Tech","ACC","Coastal","6.8","11","5","6","0","10","5","5","0","6","3","3","0","5","2","3","0"
"2020","2390","Miami","ACC","Coastal","6.8","11","8","3","0","9","7","2","0","5","4","1","0","5","4","1","0"
