"Year","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","Auburn","SEC","West","6.4","13","6","7","0","8","3","5","0","7","3","4","0","5","3","2","0"
"2023","UAB","American Athletic","","6.1","12","4","8","0","8","3","5","0","6","4","2","0","6","0","6","0"
"2023","South Alabama","Sun Belt","West","7.8","13","7","6","0","8","4","4","0","6","4","2","0","7","3","4","0"
"2023","Arkansas","SEC","West","5.5","12","4","8","0","8","1","7","0","6","2","4","0","4","1","3","0"
"2023","Arizona State","Pac-12","","3.6","12","3","9","0","9","2","7","0","8","2","6","0","4","1","3","0"
"2023","Arizona","Pac-12","","8.7","13","10","3","0","9","7","2","0","6","5","1","0","6","4","2","0"
"2023","San Diego State","Mountain West","West","5.6","12","4","8","0","8","2","6","0","7","3","4","0","5","1","4","0"
"2023","San José State","Mountain West","West","7.1","13","7","6","0","8","6","2","0","6","4","2","0","6","3","3","0"
"2023","Stanford","Pac-12","","2.4","12","3","9","0","9","2","7","0","7","0","7","0","5","3","2","0"
"2023","California","Pac-12","","6.4","13","6","7","0","9","4","5","0","6","3","3","0","6","3","3","0"
"2023","UCLA","Pac-12","","8.6","13","8","5","0","9","4","5","0","6","4","2","0","6","3","3","0"
"2023","USC","Pac-12","","6.3","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2023","Colorado State","Mountain West","Mountain","4.6","12","5","7","0","8","3","5","0","6","4","2","0","6","1","5","0"
"2023","Colorado","Pac-12","","3.3","12","4","8","0","9","1","8","0","6","2","4","0","6","2","4","0"
"2023","Connecticut","FBS Independents","","3.6","12","3","9","0","1","1","0","0","6","1","5","0","6","2","4","0"
"2023","Florida State","ACC","Atlantic","10.5","14","13","1","0","9","9","0","0","6","6","0","0","5","5","0","0"
"2023","Jacksonville State","Conference USA","","7.6","13","9","4","0","8","6","2","0","6","5","1","0","6","3","3","0"
"2023","Florida","SEC","East","5.9","12","5","7","0","8","3","5","0","6","4","2","0","5","1","4","0"
"2023","South Florida","American Athletic","","6.8","13","7","6","0","8","4","4","0","6","4","2","0","6","2","4","0"
"2023","Georgia Tech","ACC","Coastal","5.8","13","7","6","0","8","5","3","0","6","3","3","0","5","3","2","0"
"2023","Georgia","SEC","East","12.6","14","13","1","0","9","8","1","0","7","7","0","0","4","4","0","0"
"2023","Hawai'i","Mountain West","West","4","13","5","8","0","8","3","5","0","7","4","3","0","6","1","5","0"
"2023","Iowa State","Big 12","","8","13","7","6","0","9","6","3","0","7","3","4","0","6","4","2","0"
"2023","Boise State","Mountain West","Mountain","9.1","14","8","6","0","9","7","2","0","6","5","1","0","7","3","4","0"
"2023","Northwestern","Big Ten","West","4.9","13","8","5","0","9","5","4","0","6","5","1","0","5","2","3","0"
"2023","Indiana","Big Ten","East","4.2","12","3","9","0","9","1","8","0","6","3","3","0","5","0","5","0"
