"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2021","66","Iowa State","Big 12","","7.3","13","7","6","0","9","5","4","0","6","5","1","0","6","2","4","0"
"2021","197","Oklahoma State","Big 12","","10.1","14","12","2","0","10","8","2","0","7","7","0","0","5","4","1","0"
"2021","201","Oklahoma","Big 12","","8.4","13","11","2","0","9","7","2","0","7","7","0","0","4","2","2","0"
"2021","239","Baylor","Big 12","","10.2","14","12","2","0","10","8","2","0","7","7","0","0","5","3","2","0"
"2021","251","Texas","Big 12","","4.6","12","5","7","0","9","3","6","0","6","4","2","0","5","1","4","0"
"2021","277","West Virginia","Big 12","","6","13","6","7","0","9","4","5","0","6","4","2","0","6","2","4","0"
"2021","2305","Kansas","Big 12","","1.7","12","2","10","0","9","1","8","0","6","1","5","0","6","1","5","0"
"2021","2306","Kansas State","Big 12","","7.4","13","8","5","0","9","4","5","0","7","4","3","0","4","2","2","0"
"2021","2628","TCU","Big 12","","4.8","12","5","7","0","9","3","6","0","7","4","3","0","5","1","4","0"
"2021","2641","Texas Tech","Big 12","","6","13","7","6","0","9","3","6","0","6","3","3","0","5","2","3","0"
