"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2020","5","UAB","Conference USA","West","7.4","9","6","3","0","5","4","1","0","4","3","1","0","5","3","2","0"
"2020","98","Western Kentucky","Conference USA","East","4.5","12","5","7","0","7","4","3","0","5","3","2","0","6","2","4","0"
"2020","242","Rice","Conference USA","West","2.6","5","2","3","0","5","2","3","0","2","0","2","0","3","2","1","0"
"2020","249","North Texas","Conference USA","West","4.2","10","4","6","0","7","3","4","0","6","2","4","0","3","2","1","0"
"2020","276","Marshall","Conference USA","East","7","10","7","3","0","6","4","2","0","7","5","2","0","2","2","0","0"
"2020","2226","Florida Atlantic","Conference USA","East","3.6","9","5","4","0","6","4","2","0","4","4","0","0","4","1","3","0"
"2020","2229","Florida International","Conference USA","East","0.9","5","0","5","0","3","0","3","0","3","0","3","0","2","0","2","0"
"2020","2348","Louisiana Tech","Conference USA","West","2.8","10","5","5","0","6","4","2","0","4","3","1","0","5","2","3","0"
"2020","2393","Middle Tennessee","Conference USA","East","3.5","9","3","6","0","5","2","3","0","3","0","3","0","6","3","3","0"
"2020","2429","Charlotte","Conference USA","East","2.2","6","2","4","0","4","2","2","0","2","1","1","0","4","1","3","0"
"2020","2572","Southern Mississippi","Conference USA","West","3.5","10","3","7","0","6","2","4","0","7","2","5","0","3","1","2","0"
"2020","2636","UT San Antonio","Conference USA","West","6.3","12","7","5","0","6","4","2","0","6","5","1","0","5","2","3","0"
"2020","2638","UTEP","Conference USA","West","4","8","3","5","0","4","0","4","0","3","2","1","0","5","1","4","0"
