"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2021","189","Bowling Green","Mid-American","East","3","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2021","193","Miami (OH)","Mid-American","East","6.3","13","7","6","0","8","5","3","0","5","5","0","0","7","1","6","0"
"2021","195","Ohio","Mid-American","East","3.9","12","3","9","0","8","3","5","0","6","1","5","0","6","2","4","0"
"2021","2006","Akron","Mid-American","East","1.9","12","2","10","0","8","1","7","0","6","1","5","0","6","1","5","0"
"2021","2050","Ball State","Mid-American","West","4.2","13","6","7","0","8","4","4","0","6","3","3","0","6","3","3","0"
"2021","2084","Buffalo","Mid-American","East","4.4","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2021","2117","Central Michigan","Mid-American","West","8.3","13","9","4","0","8","6","2","0","6","5","1","0","6","3","3","0"
"2021","2199","Eastern Michigan","Mid-American","West","3.5","13","7","6","0","8","4","4","0","6","4","2","0","6","3","3","0"
"2021","2309","Kent State","Mid-American","East","5.7","14","7","7","0","9","6","3","0","5","5","0","0","7","2","5","0"
"2021","2459","Northern Illinois","Mid-American","West","7.7","14","9","5","0","9","7","2","0","6","4","2","0","6","4","2","0"
"2021","2649","Toledo","Mid-American","West","8","13","7","6","0","8","5","3","0","6","3","3","0","6","4","2","0"
"2021","2711","Western Michigan","Mid-American","West","9.4","13","8","5","0","8","4","4","0","6","4","2","0","6","3","3","0"
