"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2019","21","San Diego State","Mountain West","West","8.6","13","10","3","0","8","5","3","0","6","4","2","0","6","5","1","0"
"2019","23","San José State","Mountain West","West","5.3","12","5","7","0","8","2","6","0","6","3","3","0","6","2","4","0"
"2019","36","Colorado State","Mountain West","Mountain","5.3","12","4","8","0","8","3","5","0","6","2","4","0","5","2","3","0"
"2019","62","Hawai'i","Mountain West","West","8.2","15","10","5","0","9","5","4","0","8","6","2","0","6","3","3","0"
"2019","68","Boise State","Mountain West","Mountain","10.1","14","12","2","0","9","9","0","0","7","7","0","0","6","5","1","0"
"2019","167","New Mexico","Mountain West","Mountain","1.9","12","2","10","0","8","0","8","0","6","2","4","0","6","0","6","0"
"2019","278","Fresno State","Mountain West","West","6.4","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2019","328","Utah State","Mountain West","Mountain","5.7","13","7","6","0","8","6","2","0","6","4","2","0","6","3","3","0"
"2019","2005","Air Force","Mountain West","Mountain","10.9","13","11","2","0","8","7","1","0","6","6","0","0","6","4","2","0"
"2019","2439","UNLV","Mountain West","West","4.8","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2019","2440","Nevada","Mountain West","West","6.3","13","7","6","0","8","4","4","0","6","4","2","0","6","3","3","0"
"2019","2751","Wyoming","Mountain West","Mountain","7.2","13","8","5","0","8","4","4","0","6","6","0","0","6","1","5","0"
