"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","9","Arizona State","Pac-12","","3.6","12","3","9","0","9","2","7","0","8","2","6","0","4","1","3","0"
"2023","12","Arizona","Pac-12","","8.7","13","10","3","0","9","7","2","0","6","5","1","0","6","4","2","0"
"2023","24","Stanford","Pac-12","","2.4","12","3","9","0","9","2","7","0","7","0","7","0","5","3","2","0"
"2023","25","California","Pac-12","","6.4","13","6","7","0","9","4","5","0","6","3","3","0","6","3","3","0"
"2023","26","UCLA","Pac-12","","8.6","13","8","5","0","9","4","5","0","6","4","2","0","6","3","3","0"
"2023","30","USC","Pac-12","","6.3","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2023","38","Colorado","Pac-12","","3.3","12","4","8","0","9","1","8","0","6","2","4","0","6","2","4","0"
"2023","204","Oregon State","Pac-12","","9.3","13","8","5","0","9","5","4","0","6","5","1","0","6","3","3","0"
"2023","254","Utah","Pac-12","","8.7","13","8","5","0","9","5","4","0","7","6","1","0","5","2","3","0"
"2023","264","Washington","Pac-12","","10.6","15","14","1","0","10","10","0","0","7","7","0","0","5","5","0","0"
"2023","265","Washington State","Pac-12","","5.6","12","5","7","0","9","2","7","0","6","4","2","0","6","1","5","0"
"2023","2483","Oregon","Pac-12","","12.7","14","12","2","0","10","8","2","0","7","7","0","0","5","4","1","0"
