"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2019","2","Auburn","SEC","West","9.2","13","9","4","0","8","5","3","0","7","6","1","0","4","2","2","0"
"2019","8","Arkansas","SEC","West","2.3","12","2","10","0","8","0","8","0","7","2","5","0","4","0","4","0"
"2019","57","Florida","SEC","East","10.8","13","11","2","0","8","6","2","0","6","6","0","0","4","3","1","0"
"2019","61","Georgia","SEC","East","11.5","14","12","2","0","9","7","2","0","7","6","1","0","4","4","0","0"
"2019","96","Kentucky","SEC","East","8.1","13","8","5","0","8","3","5","0","8","6","2","0","4","1","3","0"
"2019","99","LSU","SEC","West","14.6","15","15","0","0","9","9","0","0","7","7","0","0","5","5","0","0"
"2019","142","Missouri","SEC","East","7.1","12","6","6","0","8","3","5","0","7","5","2","0","5","1","4","0"
"2019","145","Ole Miss","SEC","West","5.1","12","4","8","0","8","2","6","0","7","4","3","0","5","0","5","0"
"2019","238","Vanderbilt","SEC","East","2.5","12","3","9","0","8","1","7","0","7","3","4","0","5","0","5","0"
"2019","245","Texas A&M","SEC","West","8","13","8","5","0","8","4","4","0","7","5","2","0","4","1","3","0"
"2019","333","Alabama","SEC","West","11.4","13","11","2","0","8","6","2","0","7","6","1","0","4","3","1","0"
"2019","344","Mississippi State","SEC","West","6.3","13","6","7","0","8","3","5","0","7","4","3","0","4","1","3","0"
"2019","2579","South Carolina","SEC","East","4.3","12","4","8","0","8","3","5","0","7","3","4","0","4","1","3","0"
"2019","2633","Tennessee","SEC","East","7.6","13","8","5","0","8","5","3","0","8","5","3","0","4","2","2","0"
