"Season","Team","Conference","StatName","StatValue"
"2019","Louisville","ACC","kickReturnTDs","1"
"2019","NC State","ACC","passingTDs","14"
"2019","Boston College","ACC","fourthDownConversions","13"
"2019","North Carolina","ACC","tacklesForLoss","105"
"2019","Syracuse","ACC","interceptions","7"
"2019","Florida State","ACC","kickReturnYards","483"
"2019","Virginia","ACC","fourthDownConversions","9"
"2019","Pittsburgh","ACC","totalYards","4946"
"2019","Duke","ACC","tacklesForLoss","86"
"2019","Georgia Tech","ACC","netPassingYards","1607"
"2019","Syracuse","ACC","rushingAttempts","501"
"2019","Wake Forest","ACC","games","13"
"2019","Duke","ACC","passAttempts","378"
"2019","Louisville","ACC","kickReturns","35"
"2019","Duke","ACC","passingTDs","18"
"2019","Boston College","ACC","interceptionYards","61"
"2019","Virginia","ACC","fumblesLost","6"
"2019","Florida State","ACC","penaltyYards","953"
"2019","Syracuse","ACC","passCompletions","250"
"2019","Virginia","ACC","fumblesRecovered","10"
"2019","Georgia Tech","ACC","interceptionYards","65"
"2019","North Carolina","ACC","puntReturns","13"
"2019","Wake Forest","ACC","firstDowns","307"
"2019","Pittsburgh","ACC","penaltyYards","888"
"2019","Florida State","ACC","fumblesRecovered","17"
"2019","Virginia","ACC","turnovers","21"
"2019","Louisville","ACC","interceptionTDs","0"
"2019","Boston College","ACC","rushingAttempts","659"
"2019","Georgia Tech","ACC","puntReturns","16"
"2019","Clemson","ACC","rushingAttempts","566"
"2019","Florida State","ACC","possessionTime","20480"
"2019","Georgia Tech","ACC","fumblesRecovered","13"
"2019","Louisville","ACC","passCompletions","178"
"2019","Miami","ACC","interceptionYards","136"
"2019","Pittsburgh","ACC","passAttempts","513"
"2019","Wake Forest","ACC","rushingYards","2282"
"2019","Duke","ACC","thirdDownConversions","64"
"2019","Pittsburgh","ACC","rushingAttempts","441"
"2019","Clemson","ACC","rushingYards","3606"
"2019","Pittsburgh","ACC","sacks","60"
"2019","North Carolina","ACC","totalYards","6162"
"2019","Virginia","ACC","interceptionYards","279"
"2019","Boston College","ACC","passesIntercepted","10"
"2019","Pittsburgh","ACC","interceptions","10"
"2019","Virginia","ACC","fourthDowns","16"
"2019","Virginia Tech","ACC","kickReturnTDs","0"
"2019","Wake Forest","ACC","sacks","36"
"2019","Clemson","ACC","fourthDownConversions","6"
"2019","Boston College","ACC","thirdDowns","207"
"2019","Syracuse","ACC","fumblesRecovered","19"
"2019","Boston College","ACC","kickReturnTDs","0"
"2019","Syracuse","ACC","fumblesLost","9"
"2019","Clemson","ACC","netPassingYards","4325"
"2019","Clemson","ACC","thirdDownConversions","80"
"2019","Miami","ACC","totalYards","4774"
"2019","Syracuse","ACC","games","12"
"2019","Florida State","ACC","penalties","119"
"2019","Louisville","ACC","sacks","38"
"2019","Wake Forest","ACC","possessionTime","23609"
