"Season","Team","Conference","StatName","StatValue"
"2022","Texas","Big 12","interceptions","7"
"2022","Texas Tech","Big 12","thirdDownConversions","77"
"2022","Texas","Big 12","firstDowns","296"
"2022","Kansas","Big 12","tacklesForLoss","57"
"2022","Texas","Big 12","passingTDs","22"
"2022","Oklahoma","Big 12","kickReturnTDs","0"
"2022","Kansas","Big 12","kickReturnTDs","0"
"2022","Iowa State","Big 12","passCompletions","313"
"2022","Oklahoma","Big 12","fumblesLost","7"
"2022","Iowa State","Big 12","rushingTDs","10"
"2022","Kansas State","Big 12","penalties","74"
"2022","Kansas","Big 12","passAttempts","371"
"2022","West Virginia","Big 12","netPassingYards","2720"
"2022","Oklahoma State","Big 12","kickReturns","33"
"2022","Kansas State","Big 12","kickReturns","35"
"2022","Kansas","Big 12","games","13"
"2022","Oklahoma","Big 12","thirdDownConversions","80"
"2022","Oklahoma State","Big 12","passesIntercepted","13"
"2022","West Virginia","Big 12","rushingAttempts","446"
"2022","TCU","Big 12","interceptions","8"
"2022","TCU","Big 12","interceptionTDs","4"
"2022","Oklahoma State","Big 12","penalties","46"
"2022","Texas Tech","Big 12","rushingYards","2073"
"2022","Iowa State","Big 12","thirdDownConversions","80"
"2022","West Virginia","Big 12","rushingTDs","24"
"2022","Iowa State","Big 12","fumblesRecovered","14"
"2022","Iowa State","Big 12","rushingYards","1286"
"2022","Oklahoma","Big 12","interceptionYards","131"
"2022","Oklahoma","Big 12","fourthDownConversions","11"
"2022","Baylor","Big 12","interceptions","11"
"2022","Texas Tech","Big 12","totalYards","6000"
"2022","Oklahoma","Big 12","totalYards","6169"
"2022","Kansas","Big 12","rushingAttempts","446"
"2022","Baylor","Big 12","fourthDownConversions","30"
"2022","Kansas State","Big 12","passCompletions","242"
"2022","Oklahoma","Big 12","passCompletions","251"
"2022","TCU","Big 12","possessionTime","27379"
"2022","Texas Tech","Big 12","possessionTime","23388"
"2022","Oklahoma","Big 12","fourthDowns","27"
"2022","TCU","Big 12","puntReturns","25"
"2022","West Virginia","Big 12","tacklesForLoss","68"
"2022","Kansas State","Big 12","interceptionTDs","1"
"2022","Kansas","Big 12","rushingTDs","29"
"2022","Texas Tech","Big 12","kickReturnTDs","1"
"2022","Texas Tech","Big 12","puntReturnTDs","0"
"2022","West Virginia","Big 12","kickReturns","25"
"2022","Kansas","Big 12","puntReturns","4"
"2022","Oklahoma","Big 12","fumblesRecovered","8"
"2022","Texas Tech","Big 12","passingTDs","26"
"2022","Iowa State","Big 12","puntReturnYards","87"
"2022","Texas","Big 12","kickReturnTDs","0"
"2022","Oklahoma State","Big 12","thirdDownConversions","72"
"2022","Oklahoma","Big 12","penalties","74"
"2022","West Virginia","Big 12","rushingYards","2058"
"2022","TCU","Big 12","rushingYards","2899"
"2022","TCU","Big 12","passCompletions","292"
"2022","West Virginia","Big 12","penaltyYards","636"
"2022","West Virginia","Big 12","puntReturnTDs","0"
"2022","Texas","Big 12","sacks","27"
"2022","Texas","Big 12","netPassingYards","3138"
"2022","Kansas","Big 12","interceptionYards","208"
"2022","West Virginia","Big 12","puntReturnYards","73"
"2022","Texas Tech","Big 12","interceptionTDs","0"
"2022","Oklahoma State","Big 12","passingTDs","24"
"2022","Iowa State","Big 12","thirdDowns","191"
"2022","Oklahoma State","Big 12","netPassingYards","3634"
"2022","Iowa State","Big 12","interceptions","15"
"2022","Kansas State","Big 12","rushingAttempts","569"
"2022","West Virginia","Big 12","possessionTime","22559"
"2022","Kansas State","Big 12","puntReturnTDs","2"
"2022","Oklahoma","Big 12","turnovers","15"
"2022","Oklahoma State","Big 12","thirdDowns","204"
"2022","Texas","Big 12","passesIntercepted","10"
"2022","Iowa State","Big 12","tacklesForLoss","64"
"2022","Baylor","Big 12","rushingAttempts","535"
"2022","West Virginia","Big 12","fourthDowns","32"
"2022","Kansas State","Big 12","interceptions","6"
"2022","Texas","Big 12","passAttempts","405"
"2022","TCU","Big 12","penaltyYards","744"
"2022","Kansas State","Big 12","sacks","30"
"2022","Oklahoma State","Big 12","turnovers","23"
"2022","Texas","Big 12","totalYards","5582"
"2022","Baylor","Big 12","totalYards","5380"
"2022","Texas","Big 12","games","13"
"2022","Oklahoma State","Big 12","possessionTime","21663"
"2022","Texas","Big 12","fourthDownConversions","12"
"2022","Oklahoma State","Big 12","fourthDownConversions","5"
"2022","Baylor","Big 12","kickReturns","35"
"2022","West Virginia","Big 12","interceptionTDs","2"
"2022","Iowa State","Big 12","passAttempts","479"
"2022","Texas Tech","Big 12","fourthDowns","53"
"2022","Iowa State","Big 12","interceptionTDs","0"
"2022","Texas","Big 12","puntReturnYards","186"
"2022","Texas","Big 12","passCompletions","248"
