"Season","Team","Conference","StatName","StatValue"
"2020","Utah","Pac-12","kickReturnTDs","0"
"2020","UCLA","Pac-12","fourthDownConversions","7"
"2020","Colorado","Pac-12","rushingTDs","15"
"2020","Stanford","Pac-12","tacklesForLoss","29"
"2020","Washington","Pac-12","puntReturnTDs","0"
"2020","Arizona State","Pac-12","puntReturnYards","35"
"2020","Washington","Pac-12","fumblesRecovered","5"
"2020","Arizona State","Pac-12","interceptionYards","12"
"2020","Arizona","Pac-12","rushingYards","846"
"2020","Arizona","Pac-12","netPassingYards","1065"
"2020","UCLA","Pac-12","rushingAttempts","319"
"2020","Washington State","Pac-12","totalYards","1536"
"2020","Oregon","Pac-12","passCompletions","120"
"2020","Arizona State","Pac-12","netPassingYards","777"
"2020","Washington","Pac-12","fumblesLost","0"
"2020","Oregon State","Pac-12","interceptionYards","1"
"2020","USC","Pac-12","rushingYards","584"
"2020","Arizona","Pac-12","possessionTime","8396"
"2020","Arizona State","Pac-12","tacklesForLoss","24"
"2020","UCLA","Pac-12","rushingYards","1614"
"2020","Arizona","Pac-12","rushingTDs","4"
"2020","UCLA","Pac-12","rushingTDs","13"
"2020","Arizona","Pac-12","passCompletions","113"
"2020","Arizona State","Pac-12","rushingTDs","16"
"2020","UCLA","Pac-12","interceptionTDs","0"
"2020","Washington","Pac-12","sacks","10"
"2020","California","Pac-12","kickReturnTDs","0"
"2020","California","Pac-12","interceptionYards","54"
"2020","Arizona State","Pac-12","kickReturnYards","301"
"2020","USC","Pac-12","puntReturns","10"
"2020","Stanford","Pac-12","passesIntercepted","2"
"2020","Colorado","Pac-12","totalYards","2483"
"2020","Washington State","Pac-12","kickReturnTDs","0"
"2020","USC","Pac-12","totalYards","2500"
"2020","Oregon","Pac-12","rushingAttempts","237"
"2020","Oregon","Pac-12","fumblesLost","9"
"2020","California","Pac-12","fourthDowns","8"
"2020","Colorado","Pac-12","puntReturns","11"
"2020","Washington","Pac-12","interceptions","3"
"2020","California","Pac-12","firstDowns","73"
"2020","UCLA","Pac-12","puntReturnYards","49"
"2020","Oregon","Pac-12","passesIntercepted","5"
"2020","Stanford","Pac-12","fourthDowns","7"
"2020","Utah","Pac-12","kickReturns","4"
"2020","Arizona","Pac-12","thirdDownConversions","26"
"2020","Washington","Pac-12","totalYards","1611"
"2020","Stanford","Pac-12","thirdDownConversions","40"
"2020","Colorado","Pac-12","interceptions","7"
"2020","California","Pac-12","fumblesLost","2"
"2020","Stanford","Pac-12","interceptionTDs","0"
"2020","Utah","Pac-12","kickReturnYards","113"
"2020","UCLA","Pac-12","turnovers","13"
"2020","Oregon State","Pac-12","thirdDownConversions","40"
"2020","Arizona","Pac-12","puntReturns","5"
"2020","Stanford","Pac-12","kickReturnYards","513"
"2020","USC","Pac-12","sacks","13"
"2020","Arizona State","Pac-12","firstDowns","81"
"2020","USC","Pac-12","netPassingYards","1916"
"2020","Arizona","Pac-12","rushingAttempts","184"
"2020","UCLA","Pac-12","thirdDowns","96"
"2020","Washington State","Pac-12","interceptionYards","36"
"2020","Oregon State","Pac-12","fumblesLost","3"
"2020","Washington","Pac-12","passesIntercepted","3"
"2020","UCLA","Pac-12","fumblesRecovered","2"
"2020","Colorado","Pac-12","kickReturns","14"
"2020","Washington State","Pac-12","possessionTime","7553"
"2020","Oregon","Pac-12","penalties","41"
"2020","Utah","Pac-12","interceptionYards","201"
"2020","Arizona State","Pac-12","penalties","28"
"2020","UCLA","Pac-12","puntReturns","5"
"2020","California","Pac-12","sacks","7"
"2020","Arizona State","Pac-12","thirdDownConversions","21"
"2020","Washington State","Pac-12","fourthDownConversions","3"
"2020","Colorado","Pac-12","puntReturnTDs","1"
"2020","USC","Pac-12","interceptionTDs","0"
"2020","Utah","Pac-12","sacks","7"
"2020","Colorado","Pac-12","fourthDowns","7"
"2020","USC","Pac-12","possessionTime","10887"
"2020","Arizona","Pac-12","fumblesRecovered","1"
"2020","Utah","Pac-12","netPassingYards","1079"
"2020","Utah","Pac-12","firstDowns","102"
"2020","Oregon State","Pac-12","kickReturnTDs","0"
"2020","UCLA","Pac-12","totalYards","3185"
"2020","Washington State","Pac-12","thirdDownConversions","20"
"2020","Utah","Pac-12","passCompletions","95"
"2020","Arizona","Pac-12","kickReturns","14"
"2020","Arizona State","Pac-12","kickReturns","9"
"2020","Arizona","Pac-12","thirdDowns","78"
"2020","California","Pac-12","totalYards","1278"
"2020","Arizona","Pac-12","puntReturnTDs","0"
"2020","Arizona","Pac-12","puntReturnYards","35"
"2020","Oregon State","Pac-12","penalties","43"
"2020","Oregon State","Pac-12","passesIntercepted","5"
"2020","Washington State","Pac-12","turnovers","8"
"2020","UCLA","Pac-12","passCompletions","130"
"2020","Washington State","Pac-12","netPassingYards","1019"
