"Season","Team","Conference","StatName","StatValue"
"2019","Tennessee","SEC","puntReturns","17"
"2019","Vanderbilt","SEC","penalties","76"
"2019","Tennessee","SEC","kickReturnYards","290"
"2019","Vanderbilt","SEC","passingTDs","10"
"2019","Kentucky","SEC","passCompletions","128"
"2019","Tennessee","SEC","interceptions","13"
"2019","South Carolina","SEC","puntReturnYards","146"
"2019","Arkansas","SEC","rushingYards","1766"
"2019","Texas A&M","SEC","rushingTDs","24"
"2019","Missouri","SEC","games","12"
"2019","Vanderbilt","SEC","kickReturnTDs","0"
"2019","Kentucky","SEC","fourthDownConversions","14"
"2019","Florida","SEC","rushingTDs","21"
"2019","Auburn","SEC","thirdDowns","189"
"2019","Arkansas","SEC","netPassingYards","2315"
"2019","LSU","SEC","rushingYards","2502"
"2019","LSU","SEC","totalYards","8526"
"2019","Mississippi State","SEC","turnovers","23"
"2019","Auburn","SEC","turnovers","17"
"2019","LSU","SEC","passCompletions","426"
"2019","Ole Miss","SEC","fourthDownConversions","17"
"2019","South Carolina","SEC","tacklesForLoss","95"
"2019","Mississippi State","SEC","interceptions","10"
"2019","Missouri","SEC","firstDowns","243"
"2019","Florida","SEC","interceptions","10"
"2019","Alabama","SEC","interceptionYards","245"
"2019","Vanderbilt","SEC","firstDowns","190"
"2019","Auburn","SEC","rushingYards","2591"
"2019","Mississippi State","SEC","thirdDowns","149"
"2019","Ole Miss","SEC","passingTDs","11"
"2019","Florida","SEC","firstDowns","297"
"2019","Arkansas","SEC","penaltyYards","492"
"2019","Missouri","SEC","interceptionTDs","4"
"2019","Florida","SEC","penaltyYards","618"
"2019","Kentucky","SEC","fumblesLost","12"
"2019","Florida","SEC","interceptionTDs","0"
"2019","LSU","SEC","passAttempts","567"
"2019","LSU","SEC","interceptions","7"
"2019","Ole Miss","SEC","netPassingYards","2328"
"2019","Florida","SEC","interceptionYards","160"
"2019","Tennessee","SEC","passingTDs","19"
"2019","Texas A&M","SEC","fourthDowns","11"
"2019","Auburn","SEC","kickReturns","23"
"2019","Florida","SEC","rushingAttempts","398"
"2019","Arkansas","SEC","passingTDs","14"
"2019","Kentucky","SEC","totalYards","5102"
"2019","South Carolina","SEC","fumblesRecovered","8"
"2019","LSU","SEC","firstDowns","419"
"2019","South Carolina","SEC","thirdDowns","186"
"2019","Arkansas","SEC","puntReturnTDs","0"
"2019","Florida","SEC","kickReturnTDs","0"
"2019","Vanderbilt","SEC","fourthDownConversions","8"
"2019","Arkansas","SEC","firstDowns","219"
"2019","Georgia","SEC","kickReturns","16"
"2019","Auburn","SEC","interceptionYards","181"
"2019","Georgia","SEC","rushingYards","2591"
"2019","Auburn","SEC","fumblesRecovered","24"
"2019","LSU","SEC","thirdDowns","183"
"2019","Mississippi State","SEC","puntReturnTDs","0"
"2019","Texas A&M","SEC","kickReturnYards","431"
"2019","Arkansas","SEC","thirdDownConversions","55"
"2019","Arkansas","SEC","turnovers","21"
"2019","Mississippi State","SEC","passCompletions","186"
"2019","Kentucky","SEC","fumblesRecovered","16"
"2019","Kentucky","SEC","rushingYards","3624"
"2019","Georgia","SEC","possessionTime","27109"
"2019","Ole Miss","SEC","thirdDowns","182"
"2019","Vanderbilt","SEC","puntReturnYards","158"
"2019","Texas A&M","SEC","puntReturnYards","330"
"2019","Georgia","SEC","fumblesLost","7"
"2019","Georgia","SEC","passingTDs","26"
"2019","LSU","SEC","rushingAttempts","513"
"2019","Auburn","SEC","passesIntercepted","9"
"2019","Auburn","SEC","thirdDownConversions","76"
"2019","Vanderbilt","SEC","passCompletions","202"
"2019","Missouri","SEC","penalties","83"
"2019","Missouri","SEC","passesIntercepted","8"
"2019","Missouri","SEC","puntReturnTDs","1"
"2019","Georgia","SEC","games","14"
"2019","Georgia","SEC","thirdDownConversions","77"
"2019","Georgia","SEC","fourthDownConversions","6"
"2019","Florida","SEC","thirdDownConversions","65"
"2019","Vanderbilt","SEC","games","12"
"2019","Ole Miss","SEC","rushingAttempts","559"
"2019","Florida","SEC","passesIntercepted","16"
"2019","South Carolina","SEC","passingTDs","12"
"2019","Tennessee","SEC","penalties","83"
"2019","Missouri","SEC","interceptions","8"
"2019","Mississippi State","SEC","fumblesLost","13"
