"Season","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility"
"2022","CamRon","Jackson","DL","Memphis","Memphis","2022-01-19T12:42:00.000Z","","3","Immediate"
"2022","Malachi","Ledbetter","EDGE","Simon Fraser","Washington State","2022-01-10T06:00:00.000Z","","","Immediate"
"2022","Isaiah","Johnson","CB","Dartmouth","Syracuse","2022-02-07T16:48:00.000Z","","","Immediate"
"2022","Maurice","White","DL","Memphis","Central Michigan","2022-08-08T13:42:00.000Z","0.78","2","Immediate"
"2022","Emeka","Megwa","RB","Washington","","2022-08-02T14:06:00.000Z","0.85","3","Immediate"
"2022","Jaden","Hullaby","RB","Texas","New Mexico","2022-04-29T02:50:00.000Z","","3","Immediate"
"2022","Demarquez","Trotter","S","Western Kentucky","","2022-08-26T15:28:00.000Z","","2","Immediate"
"2022","Janaz","Jordan","DL","Colorado","Towson","2022-08-26T17:48:00.000Z","","3","Immediate"
"2022","Ken","Talley","EDGE","Penn State","Michigan State","2022-09-07T18:20:00.000Z","","4","Immediate"
"2022","Marcus","Clarke","CB","Miami","Missouri","2022-08-21T01:26:00.000Z","0.87","3","Immediate"
"2022","George","Reid","LB","Temple","","2022-02-09T14:14:00.000Z","","2","Immediate"
"2022","Mike","Evans","WR","Robert Morris","West Virginia","2021-12-04T06:00:00.000Z","","","Immediate"
"2022","Kamren","Washington","DL","Sam Houston State","Memphis","2022-04-15T19:53:00.000Z","","","Immediate"
"2022","Jon","Sot","P","Harvard","Notre Dame","2021-12-03T20:53:00.000Z","","","Immediate"
"2022","Xavier","Hamlett","CB","Nevada","","2021-12-01T15:43:00.000Z","","","Immediate"
"2022","Ivan","Escobar","DL","New Mexico State","","2022-07-01T22:42:00.000Z","","3","Immediate"
"2022","AJ","Toney","WR","Samford","Middle Tennessee","2022-07-01T22:15:00.000Z","","3","Immediate"
"2022","Andrew","Robison","DUAL","Nicholls","Florida International","2022-07-01T05:00:00.000Z","","2","Immediate"
"2022","Davion","Ross","ATH","Eastern Kentucky","Memphis","2022-05-05T22:15:00.000Z","","2","Immediate"
"2022","Kobe","Baynes","OT","Louisville","Kansas","2022-08-16T18:04:00.000Z","","3","Immediate"
"2022","Sammy","Solomon","DL","UMass","Misericordia","2022-01-01T06:00:00.000Z","","3","Immediate"
"2022","Joel","Williams","CB","Kentucky","Memphis","2022-08-08T15:45:00.000Z","0.86","3","Immediate"
"2022","Micah","Davis","WR","Air Force","Iowa Western C.C.","2022-07-01T16:05:00.000Z","","","Immediate"
"2022","Eyabi","Anoma","EDGE","UT Martin","Michigan","2022-08-15T17:09:00.000Z","0.89","3","Immediate"
"2022","Malachi","Burns","WR","Missouri Western State","Middle Tennessee","2022-05-30T12:53:00.000Z","","3","Immediate"
"2022","Jalen","Hampton","RB","Virginia Tech","Elon","2022-04-29T13:49:00.000Z","","3","Immediate"
"2022","Jerrell","Boykins Jr.","DL","Louisiana Tech","Hutchinson C.C.","2022-01-02T00:18:00.000Z","","","Immediate"
"2022","Samari","Collier","DUAL","Illinois","","2022-07-30T15:48:00.000Z","","3","Immediate"
"2022","Jahzion","Harris","EDGE","Texas A&M","Rutgers","2022-07-28T17:29:00.000Z","0.87","3","Immediate"
"2022","Demarkcus","Bowman","RB","Florida","UCF","2022-06-27T19:04:00.000Z","0.88","3","TBD"
"2022","Dajeun","Gibson","S","Middle Tennessee","","2022-07-28T13:14:00.000Z","","3","Immediate"
"2022","Luke","Collinsworth","OT","Cincinnati","","2022-07-28T13:11:00.000Z","","3","Immediate"
"2022","Beau","Allen","QB","Kentucky","Tarleton State","2022-07-27T17:14:00.000Z","0.84","3","Immediate"
