"Season","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility"
"2024","Kyle","Williams","WR","Washington State","","2023-12-27T18:20:00.000Z","","3","Immediate"
"2024","Julian","Humphrey","CB","Georgia","","2024-01-03T00:27:00.000Z","","4","Immediate"
"2024","Terrell","Dawkins","DL","South Carolina","","2024-03-14T21:33:00.000Z","","3","Immediate"
"2024","Jordan","van den Berg","DL","Penn State","Georgia Tech","2024-03-11T22:00:00.000Z","","3","Immediate"
"2024","Jack","Bailey","IOL","Colorado","","2024-03-06T20:20:00.000Z","","3","Immediate"
"2024","Lake","Ellis","CB","Bryant","UMass","2023-11-24T20:05:00.000Z","","","Immediate"
"2024","Decamerion","Richardson","CB","Mississippi State","Ole Miss","2023-12-13T17:23:00.000Z","0.91","4","Immediate"
"2024","Carson","Voss","P","Western Michigan","","2023-12-08T06:00:00.000Z","","","Immediate"
"2024","Jacalyn","Morrison","CB","Notre Dame College","","2024-03-07T06:00:00.000Z","","","Immediate"
"2024","Thai","Chiaokhiao-Bowman","WR","Florida","","2023-12-04T15:55:00.000Z","","3","Immediate"
"2024","Mikail","Kamara","DL","James Madison","Indiana","2023-12-05T01:43:00.000Z","0.85","3","Immediate"
"2024","Laine","Jenkins","EDGE","Illinois","","2023-09-01T15:04:00.000Z","","3","Immediate"
"2024","Jeremiah","Wilson","CB","Syracuse","Houston","2023-11-20T17:56:00.000Z","0.88","3","Immediate"
"2024","Kendren","Smith","CB","Pennsylvania","Virginia","2023-11-20T06:00:00.000Z","0.88","3","Immediate"
"2024","Zach","Horton","TE","James Madison","Indiana","2023-12-05T01:42:00.000Z","0.85","3","Immediate"
"2024","Keelan","Cox","DL","Wyoming","","2023-12-09T15:17:00.000Z","","","Withdrawn"
"2024","Kaden","Schickel","LS","James Madison","Michigan State","2023-12-05T01:37:00.000Z","","","Immediate"
"2024","Noah","Toster","WR","South Alabama","South Alabama","2024-01-22T21:34:00.000Z","","","Immediate"
"2024","Jordan","Shaw","CB","Indiana","Arizona","2023-12-05T17:32:00.000Z","0.89","3","Immediate"
"2024","Bryston","Dixon","DL","Georgia Tech","South Alabama","2023-12-15T16:01:00.000Z","","3","Immediate"
"2024","Hunter","Vivaldi","WR","Texas A&M","","2023-09-05T17:48:00.000Z","","","Immediate"
"2024","Garrett","Miller","TE","Purdue","Texas A&M","2023-12-15T05:40:00.000Z","0.88","3","Immediate"
"2024","Sebastian","Valdez","DL","Montana State","Washington","2023-12-13T02:19:00.000Z","0.9","4","Immediate"
"2024","Aakil","Washington","LB","Liberty","","2023-10-09T17:32:00.000Z","","2","Immediate"
"2024","Ahmad","Nalls","LB","Kent State","","2023-10-02T17:34:00.000Z","","3","Immediate"
"2024","Cayson","Pfeiffer","LS","Cincinnati","Wisconsin","2023-11-26T17:48:00.000Z","","","Immediate"
"2024","Luke","Painton","OT","Columbia","UMass","2023-11-25T18:38:00.000Z","","","Immediate"
"2024","Caleb","Rillos","TE","Air Force","","2023-09-20T15:30:00.000Z","","","Immediate"
"2024","Isaiah","Taylor","S","Arizona","Miami","2023-12-04T16:57:00.000Z","0.85","3","Immediate"
"2024","Jalen","Mayala","EDGE","UAB","","2024-01-03T22:06:00.000Z","","3","Immediate"
"2024","Dylan","Devito","LB","Arizona State","","2023-09-29T17:35:00.000Z","","2","Immediate"
"2024","Will","Shaffer","LB","Arizona State","Utah State","2023-09-29T15:15:00.000Z","","3","Immediate"
"2024","Bryce","Ramsey","IOL","Southern Mississippi","Marshall","2023-11-28T15:27:00.000Z","","3","Immediate"
"2024","Jackson","Hawes","TE","Yale","Georgia Tech","2023-11-20T22:38:00.000Z","0.85","3","Immediate"
"2024","Jaden","Watkins","CB","Duke","","2023-11-28T15:16:00.000Z","","3","Immediate"
"2024","Jason","Chambers","CB","North Carolina Central","Appalachian State","2023-12-06T18:09:00.000Z","","","Immediate"
"2024","Greyson","Morgan","TE","Hawai'i","","2023-09-27T17:35:00.000Z","","","Immediate"
"2024","Dallas","Branch","CB","San Diego State","Kent State","2023-09-27T15:13:00.000Z","","2","Immediate"
"2024","Jay","Rudolph","TE","San Diego State","Sacramento State","2023-09-27T14:56:00.000Z","","3","Immediate"
"2024","Devontae","Houston","RB","Connecticut","","2023-09-27T14:53:00.000Z","0.85","3","Immediate"
"2024","Alex","Washington","CB","Boston College","","2023-09-26T17:36:00.000Z","","3","Immediate"
"2024","Jake","Overman","TE","Oregon State","Pittsburgh","2023-09-25T14:53:00.000Z","0.86","3","Immediate"
"2024","Kyler","Laing","EDGE","Buffalo","Florida Atlantic","2023-09-20T17:37:00.000Z","","3","Immediate"
"2024","Charles","Shelling","RB","Texas A&M","","2023-09-19T17:38:00.000Z","","","Immediate"
"2024","Abdul-Lateef","Audu","CB","Western Kentucky","","2023-11-28T16:34:00.000Z","","3","Immediate"
"2024","Matthew","Sluka","QB","Holy Cross","UNLV","2023-11-20T21:11:00.000Z","0.88","3","Immediate"
"2024","Terrence","Spence","S","Holy Cross","","2023-11-20T18:40:00.000Z","","2","Immediate"
"2024","Joey","Slackman","DL","Pennsylvania","Florida","2023-11-20T14:41:00.000Z","0.92","4","Immediate"
"2024","Jacob","Rizy","OT","Harvard","","2023-11-20T14:30:00.000Z","","","Immediate"
"2024","Brian","Brewton","RB","Connecticut","Middle Tennessee","2023-09-18T22:38:00.000Z","","2","Immediate"
