"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2023","4567097","Taulia Tagovailoa","QB","Maryland","Big Ten","0.5745","0.9106","0.125","0.5524","0.596","0.604","0.413","0.72"
"2023","4429032","Hudson Card","QB","Purdue","Big Ten","0.5225","0.9229","0.1613","0.4588","0.522","0.651","0.42","0.69"
"2023","4893657","Gavin Wimsatt","QB","Rutgers","Big Ten","0.51","0.967","0.2345","0.4311","0.522","0.643","0.449","0.68"
"2023","4714771","Drew Allar","QB","Penn State","Big Ten","0.4947","0.9412","0.1155","0.3826","0.522","0.657","0.471","0.694"
"2023","4433971","Kyle McCord","QB","Ohio State","Big Ten","0.4521","0.8652","0.0485","0.3673","0.461","0.629","0.412","0.622"
"2023","4432722","Athan Kaliakmanis","QB","Minnesota","Big Ten","0.44","0.9325","0.1088","0.3722","0.38","0.661","0.376","0.595"
"2023","4597679","Luke Altmyer","QB","Illinois","Big Ten","0.4398","0.6667","0.1775","0.3634","0.475","0.563","0.401","0.583"
"2023","4899046","Brendan Sorsby","QB","Indiana","Big Ten","0.4337","0.6578","0.2312","0.3905","0.426","0.506","0.452","0.478"
"2023","4360271","Tanner Mordecai","QB","Wisconsin","Big Ten","0.4333","0.6709","0.1718","0.3913","0.441","0.51","0.404","0.511"
"2023","4433970","J.J. McCarthy","QB","Michigan","Big Ten","0.4264","0.9229","0.0819","0.3558","0.43","0.584","0.365","0.583"
"2023","4360056","Ben Bryant","QB","Northwestern","Big Ten","0.3783","0.6573","0.0868","0.3286","0.396","0.445","0.287","0.493"
"2023","4683263","Heinrich Haarberg","QB","Nebraska","Big Ten","0.3717","0.6278","0.2258","0.3268","0.337","0.517","0.266","0.5"
"2023","4565552","Deacon Hill","QB","Iowa","Big Ten","0.3539","0.7288","0.0575","0.2684","0.33","0.53","0.307","0.489"
"2023","4795295","Katin Houser","QB","Michigan State","Big Ten","0.3175","0.5208","0.0994","0.2468","0.329","0.456","0.317","0.401"
"2023","4608686","Kyle Monangai","RB","Rutgers","Big Ten","0.3097","0.033","0.479","0.3695","0.307","0.214","0.331","0.203"
"2023","4429096","Blake Corum","RB","Michigan","Big Ten","0.2955","0.0452","0.473","0.3438","0.3","0.162","0.365","0.167"
