"Season","Team","Conference","StatName","StatValue"
"2023","UT San Antonio","American Athletic","rushingAttempts","516"
"2023","California","Pac-12","thirdDownConversions","74"
"2023","San Diego State","Mountain West","interceptions","10"
"2023","Rice","American Athletic","kickReturns","26"
"2023","Texas","Big 12","interceptionTDs","2"
"2023","Florida International","Conference USA","turnovers","21"
"2023","Troy","Sun Belt","puntReturnYards","91"
"2023","Mississippi State","SEC","passAttempts","348"
"2023","Baylor","Big 12","kickReturns","42"
"2023","Washington State","Pac-12","netPassingYards","4028"
"2023","Wake Forest","ACC","netPassingYards","2352"
"2023","Maryland","Big Ten","kickReturnTDs","1"
"2023","Army","FBS Independents","possessionTime","23429"
"2023","Michigan","Big Ten","puntReturns","31"
"2023","Memphis","American Athletic","passAttempts","481"
"2023","Wisconsin","Big Ten","puntReturns","22"
"2023","Texas A&M","SEC","puntReturnTDs","1"
"2023","Hawai'i","Mountain West","fourthDownConversions","16"
"2023","SMU","American Athletic","possessionTime","25291"
"2023","Washington State","Pac-12","puntReturnTDs","0"
"2023","Florida State","ACC","fumblesRecovered","7"
"2023","San José State","Mountain West","netPassingYards","2853"
"2023","Virginia","ACC","netPassingYards","3010"
"2023","Tulane","American Athletic","totalYards","5181"
"2023","Western Michigan","Mid-American","rushingAttempts","479"
"2023","Cincinnati","Big 12","rushingTDs","14"
"2023","Auburn","SEC","interceptionTDs","1"
"2023","Georgia","SEC","passingTDs","29"
"2023","Toledo","Mid-American","interceptionTDs","1"
"2023","Nevada","Mountain West","possessionTime","21830"
"2023","Arkansas","SEC","fourthDownConversions","10"
"2023","Western Michigan","Mid-American","fourthDowns","39"
"2023","NC State","ACC","netPassingYards","2519"
"2023","UNLV","Mountain West","interceptions","12"
"2023","Utah","Pac-12","interceptions","11"
"2023","BYU","Big 12","thirdDowns","156"
"2023","Boise State","Mountain West","netPassingYards","3098"
"2023","USC","Pac-12","netPassingYards","4329"
"2023","Texas State","Sun Belt","thirdDownConversions","81"
"2023","TCU","Big 12","puntReturnTDs","1"
"2023","UNLV","Mountain West","puntReturnYards","314"
"2023","Georgia State","Sun Belt","sacks","29"
"2023","Buffalo","Mid-American","passingTDs","14"
"2023","Hawai'i","Mountain West","games","13"
"2023","Colorado State","Mountain West","rushingYards","1114"
"2023","Iowa","Big Ten","penalties","51"
"2023","Army","FBS Independents","puntReturnTDs","2"
"2023","Stanford","Pac-12","puntReturnYards","48"
"2023","Maryland","Big Ten","rushingYards","1409"
"2023","Miami (OH)","Mid-American","totalYards","4529"
"2023","Miami (OH)","Mid-American","possessionTime","24891"
"2023","Charlotte","American Athletic","passingTDs","7"
"2023","Florida International","Conference USA","passesIntercepted","6"
"2023","Florida State","ACC","possessionTime","24689"
"2023","UTEP","Conference USA","sacks","24"
"2023","UMass","FBS Independents","passCompletions","212"
"2023","Oklahoma","Big 12","kickReturns","21"
"2023","Arizona","Pac-12","interceptionYards","88"
"2023","New Mexico","Mountain West","puntReturnYards","-7"
"2023","Bowling Green","Mid-American","fumblesRecovered","11"
"2023","Maryland","Big Ten","penalties","71"
"2023","San Diego State","Mountain West","fumblesLost","7"
"2023","Baylor","Big 12","netPassingYards","3156"
"2023","Boise State","Mountain West","games","14"
"2023","Florida International","Conference USA","totalYards","3843"
"2023","Georgia","SEC","rushingYards","2676"
"2023","Virginia","ACC","passAttempts","396"
"2023","Florida State","ACC","penaltyYards","792"
"2023","South Carolina","SEC","puntReturns","15"
"2023","Florida International","Conference USA","interceptionTDs","1"
"2023","Florida Atlantic","American Athletic","possessionTime","19734"
"2023","Georgia","SEC","turnovers","14"
"2023","Charlotte","American Athletic","totalYards","3753"
"2023","South Carolina","SEC","totalYards","4357"
"2023","Northern Illinois","Mid-American","thirdDownConversions","73"
"2023","BYU","Big 12","kickReturnYards","612"
"2023","Charlotte","American Athletic","fumblesRecovered","6"
"2023","Texas Tech","Big 12","kickReturns","33"
"2023","Troy","Sun Belt","rushingTDs","19"
"2023","Vanderbilt","SEC","firstDowns","204"
"2023","Michigan State","Big Ten","passesIntercepted","9"
"2023","Mississippi State","SEC","tacklesForLoss","67"
