"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"-7156"," Team","Purdue","Big Ten","fumbles","REC","0"
"-6635"," Team","Michigan","Big Ten","defensive","TOT","1"
"-6223"," Team","Indiana","Big Ten","rushing","YDS","-19"
"-8025"," Team","Wisconsin","Big Ten","passing","YPA","0.0"
"-7156"," Team","Purdue","Big Ten","fumbles","LOST","1"
"-6223"," Team","Indiana","Big Ten","defensive","SOLO","1"
"-6639"," Team","Michigan State","Big Ten","defensive","SACKS","1"
"-6635"," Team","Michigan","Big Ten","rushing","CAR","13"
"-6246"," Team","Iowa","Big Ten","punting","TB","0"
"-6210"," Team","Illinois","Big Ten","rushing","CAR","6"
"-6246"," Team","Iowa","Big Ten","punting","In 20","0"
"-6210"," Team","Illinois","Big Ten","punting","TB","0"
"-8025"," Team","Wisconsin","Big Ten","passing","ATT","2"
"-6246"," Team","Iowa","Big Ten","punting","NO","1"
"-6958"," Team","Northwestern","Big Ten","rushing","CAR","15"
"-6544"," Team","Maryland","Big Ten","rushing","TD","0"
"-6639"," Team","Michigan State","Big Ten","rushing","YDS","-24"
"-6635"," Team","Michigan","Big Ten","defensive","SACKS","0"
"-6544"," Team","Maryland","Big Ten","rushing","CAR","4"
"-7014"," Team","Ohio State","Big Ten","passing","ATT","1"
"-6958"," Team","Northwestern","Big Ten","passing","COMPLETIONS","0"
"-6223"," Team","Indiana","Big Ten","rushing","YPC","-3.8"
"-8025"," Team","Wisconsin","Big Ten","passing","PCT","0.000"
"-6210"," Team","Illinois","Big Ten","punting","In 20","0"
"-6958"," Team","Northwestern","Big Ten","passing","INT","0"
"-6635"," Team","Michigan","Big Ten","passing","INT","0"
"-6210"," Team","Illinois","Big Ten","passing","TD","0"
"-6639"," Team","Michigan State","Big Ten","passing","COMPLETIONS","0"
"-6958"," Team","Northwestern","Big Ten","rushing","YPC","-3.3"
"-6958"," Team","Northwestern","Big Ten","passing","YPA","0.0"
"-6223"," Team","Indiana","Big Ten","fumbles","FUM","2"
"-8025"," Team","Wisconsin","Big Ten","rushing","LONG","0"
"-6635"," Team","Michigan","Big Ten","passing","YDS","0"
"-7238"," Team","Rutgers","Big Ten","rushing","YDS","-86"
"-6685"," Team","Minnesota","Big Ten","passing","YDS","0"
"-6223"," Team","Indiana","Big Ten","defensive","PD","0"
"-7156"," Team","Purdue","Big Ten","rushing","CAR","6"
"-6685"," Team","Minnesota","Big Ten","passing","TD","0"
"-6639"," Team","Michigan State","Big Ten","defensive","PD","0"
"-7156"," Team","Purdue","Big Ten","rushing","LONG","0"
"-7014"," Team","Ohio State","Big Ten","rushing","TD","0"
"-6639"," Team","Michigan State","Big Ten","passing","PCT","0.000"
"-6958"," Team","Northwestern","Big Ten","passing","ATT","5"
"-6958"," Team","Northwestern","Big Ten","rushing","YDS","-50"
"-6544"," Team","Maryland","Big Ten","rushing","YDS","-4"
"-6635"," Team","Michigan","Big Ten","fumbles","FUM","1"
"-6223"," Team","Indiana","Big Ten","fumbles","LOST","0"
"-6685"," Team","Minnesota","Big Ten","passing","PCT","0.000"
"-6635"," Team","Michigan","Big Ten","defensive","QB HUR","0"
"-7014"," Team","Ohio State","Big Ten","rushing","LONG","0"
"-6223"," Team","Indiana","Big Ten","defensive","TD","0"
"-6635"," Team","Michigan","Big Ten","rushing","YPC","-1.7"
"-7014"," Team","Ohio State","Big Ten","passing","INT","0"
"-6210"," Team","Illinois","Big Ten","punting","YDS","7"
"-6210"," Team","Illinois","Big Ten","rushing","YDS","-8"
